messageKey,,en,de,es,fr,pt,ru
application.font.size.extra_large,Extra large,Extra large,Extra groß,Extra grande,Très grand,Extra grande,Очень большой
application.font.size.extra_small,Extra small,Extra small,Extra klein,Extra pequeño,Très petit,Extra pequeno,Очень маленький
application.font.size.large,Large,Large,Groß,Grande,Grand,Grande,Большой
application.font.size.normal,Normal,Normal,Normal,Normal,Normal,Normal,Нормальный
application.font.size.small,Small,Small,Klein,Pequeño,Petit,Pequeno,Маленький
application.language.english,English,English,English,English,English,English,English
application.language.french,Français,Français,Français,Français,Français,Français,Français
application.language.german,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
application.language.portuguese,Português,Português,Português,Português,Português,Português,Português
application.language.russian,русский,русский,русский,русский,русский,русский,русский
application.language.spanish,Español,Español,Español,Español,Español,Español,Español
application.orientation.horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,По горизонтали
application.orientation.vertical,Vertical,Vertical,Vertikal,Vertical,Vertical,Vertical,Вертикальный
blueprint.add.to.wishlist,Add to wishlist,Add to wishlist,Zur Wunschliste hinzufügen,Agregar a la lista de deseos,Ajouter à la liste de souhaits,Adicionar à lista de desejos,Добавить в список желаний
blueprint.category.name.blueprints,Blueprints,Blueprints,Blaupausen,Planos,Plans,Blueprints,Чертежи
blueprint.category.name.core_internal,Core Internals,Core Internals,Kernintern,Internales núcleos,Noyau internes,Principais internos,Основное оборудование
blueprint.category.name.engineer_unlocks,Engineer Unlocks,Engineer Unlocks,Engineer-Freischaltungen,Desbloqueo del ingeniero,"Ingénieurs, Déverrouillage",Desbloqueios do engenheiro,"Инженеры, разблокировка"
blueprint.category.name.experimental_effects,Experimental Effects,Experimental Effects,Experimentelle Effekte,Efectos experimentales,Effets expérimentaux,Efeitos experimentais,Экспериментальные эффекты
blueprint.category.name.hardpoint,Hardpoints,Hardpoints,Hardpoints,Puntos duros,Points durs,Hardpoints,Гнезда
blueprint.category.name.optional_internal,Optional Internals,Optional Internals,Optionale Interna,Internales opcionales,Internes facultatifs,Internos opcionais,Дополнительное оборудование
blueprint.category.name.suit_grades,Suit Grades,Suit Grades,Anzugnoten,Grados del traje,Niveaux de combinaison,Graus de terno,Уровни костюма
blueprint.category.name.suit_modules,Suit Modules,Suit Modules,Anzugmodule,Módulos de trajes,Modules de combinaison,Módulos de traje,Модули костюма
blueprint.category.name.synthesis,Synthesis,Synthesis,Synthese,Síntesis,Synthèse,Síntese,Синтез
blueprint.category.name.techbroker,Techbroker Blueprints,Techbroker Blueprints,Techbroker -Blaupausen,Planos de techbroker,Blueprints TechBroker,Blueprints do TechBroker,Чертежи техноброкеров
blueprint.category.name.utility_mount,Utility Mounts,Utility Mounts,Versorgungsrettungen,Soporte de servicios públicos,Supports de services publics,Montagens de utilidade,Внешнее оборудование
blueprint.category.name.weapon_grades,Weapon Grades,Weapon Grades,Waffengrade,Grados de armas,Niveaux d''armes,Graus de armas,Уровни оружия
blueprint.category.name.weapon_modules,Weapon Modules,Weapon Modules,Waffenmodule,Módulos de armas,Modules d''armes,Módulos de arma,Модули оружия
blueprint.description.added_melee_damage,Improves the damage dealt by fists and weapon strikes,Improves the damage dealt by fists and weapon strikes,"Verbessert den Schaden, der durch Fäuste und Waffenangriffe verursacht wird",Mejora el daño infligido por puños y golpes de armas,Améliore les dégâts infligés par les poings et les coups d''arme,Melhora o dano causado por punhos e golpes de arma,Увеличивает урон от ударов кулаками и оружием
blueprint.description.artemis_suit_grade_1_2,"Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorez la combinaison pour augmenter les emplacements d''ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, blindagem e resistências","Улучшите костюм для увеличения инженерных слотов, щита и сопротивлений"
blueprint.description.artemis_suit_grade_2_3,"Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorer la combinaison pour augmenter les emplacements d''ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, blindagem e resistências","Улучшите костюм для увеличения инженерных слотов, щита и сопротивлений"
blueprint.description.artemis_suit_grade_3_4,"Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorer la combinaison pour augmenter les emplacements d''ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, blindagem e resistências","Улучшите костюм для увеличения инженерных слотов, щита и сопротивлений"
blueprint.description.artemis_suit_grade_4_5,"Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorer la combinaison pour augmenter les emplacements d''ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, blindagem e resistências","Улучшите костюм для увеличения инженерных слотов, щита и сопротивлений"
blueprint.description.audio_masking,Reduces the weapon''s simulated sound when fired in unpressurised environments,Reduces the weapon''s simulated sound when fired in unpressurised environments,"Reduziert das simulierte Geräusch der Waffe, wenn es in drucklosen Umgebungen abgefeuert wird",Reduce el sonido simulado del arma cuando se dispara en entornos sin presión.,Réduit le son simulé de l''arme lorsqu''elle est tirée dans des environnements sans pression,Reduz o som simulado da arma quando disparada em ambientes não pressurizados,Уменьшает имитируемый звук оружия при стрельбе в негерметичной среде
blueprint.description.combat_movement_speed,Removes the movement penalty while aiming down sights,Removes the movement penalty while aiming down sights,Entfernt die Bewegungseinbuße beim Zielen auf das Visier,Elimina la penalización de movimiento al apuntar hacia abajo.,Supprime la pénalité de mouvement lors de la visée vers le bas,Remove a penalidade de movimento ao apontar para baixo,Снимает штраф передвижения при прицеливании
blueprint.description.damage_resistance,"Increases protection against certain damage types. The higher your resistance is, the lower the damage reduction will be.","Increases protection against certain damage types. The higher your resistance is, the lower the damage reduction will be.","Erhöht den Schutz gegen bestimmte Schadensarten. Je höher Ihr Widerstand ist, desto geringer ist die Schadensreduzierung.","Aumenta la protección contra ciertos tipos de daño. Cuanto mayor sea su resistencia, menor será la reducción de daño.","Augmente la protection contre certains types de dommages. Plus votre résistance est élevée, plus la réduction des dégâts sera faible.","Aumenta a proteção contra certos tipos de danos. Quanto maior for sua resistência, menor será a redução de danos.","Повышает защиту от определенных типов урона. Чем выше ваше сопротивление, тем меньше будет снижение урона."
blueprint.description.dominator_suit_grade_1_2,"Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorez la combinaison pour augmenter les emplacements d''ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, escudo e resistências","Улучшите костюм, чтобы увеличить инженерные слоты, щит и сопротивление"
blueprint.description.dominator_suit_grade_2_3,"Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorer la combinaison pour augmenter les emplacements d''ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, escudo e resistências","Улучшите костюм, чтобы увеличить инженерные слоты, щит и сопротивление"
blueprint.description.dominator_suit_grade_3_4,"Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorer la combinaison pour augmenter les emplacements d''ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, escudo e resistências","Улучшите костюм, чтобы увеличить инженерные слоты, щит и сопротивление"
blueprint.description.dominator_suit_grade_4_5,"Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorer la combinaison pour augmenter les emplacements d''ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, escudo e resistências","Улучшите костюм, чтобы увеличить инженерные слоты, щит и сопротивление"
blueprint.description.engineer_a1,Travel 100 light-years in Apex Interstellar Transport shuttles,Travel 100 light-years in Apex Interstellar Transport shuttles,Reise 100 Lichtjahre in Apex Interstellar Transport Shuttles,Viaja 100 años luz en lanzaderas de transporte interestelar Apex,Voyagez 100 années-lumière dans les navettes de transport interstellaire Apex,Viaje 100 anos-luz nos ônibus de transporte interestelar da Apex,Пролетите 100 св. лет на шаттлах Apex Interstellar
blueprint.description.engineer_a2,Provide Domino Green with 5 units of Push to learn about Kit Fowler,Provide Domino Green with 5 units of Push to learn about Kit Fowler,"Versorge Domino Green mit 5 Einheiten Push, um mehr über Kit Fowler zu erfahren",Proporcione a Domino Green 5 unidades de Push para aprender sobre Kit Fowler,Fournissez à Domino Green 5 unités de Push pour en savoir plus sur Kit Fowler,Forneça ao Domino Green 5 unidades de Push para aprender sobre o Kit Fowler,"Предоставьте Domino Green 5 единиц рывка, чтобы узнать о Ките Фаулере"
blueprint.description.engineer_a3,Sell 10 Opinion Polls to Bartenders,Sell 10 Opinion Polls to Bartenders,10 Umfrageergebnisse an Barkeeper verkaufen,Vender 10 encuestas de opinión a los camareros,Vendre 10 sondages d''opinion aux barmans,Vender 10 pesquisas de opinião para barmen,Продайте 10 опросов общественного мнения барменам
blueprint.description.engineer_a4,Provide Kit Fowler with 5 units of Surveillance Equipment to learn about Yarden Bond,Provide Kit Fowler with 5 units of Surveillance Equipment to learn about Yarden Bond,"Versorge Kit Fowler mit 5 Einheiten Überwachungsausrüstung, um mehr über Yarden Bond zu erfahren",Proporcione a Kit Fowler 5 unidades de Equipo de vigilancia para aprender sobre Yarden Bond,Fournissez à Kit Fowler 5 unités d''équipement de surveillance pour en savoir plus sur Yarden Bond,Forneça ao Kit Fowler 5 unidades de equipamento de vigilância para aprender sobre o Yarden Bond,"Предоставьте Киту Фаулеру 5 единиц оборудования для наблюдения, чтобы узнать о Ярден Бонд"
blueprint.description.engineer_a5,Sell 8 Smear Campaign Plans to Bartenders,Sell 8 Smear Campaign Plans to Bartenders,Verkaufe 8 Kampagnenpläne an Barkeeper,Vender 8 planes de campaña de difamación a los camareros,Vendre 8 plans de campagne de dénigrement aux barmans,Vender 8 planos de campanha difamatórios para barmen,Продайте 8 планов кампании по дискредитации барменам
blueprint.description.engineer_b1,Complete 10 low threat Conflict Zones,Complete 10 low threat Conflict Zones,Schließe 10 Konfliktzonen mit geringer Bedrohung ab,Completa 10 zonas de conflicto de baja amenaza,Terminez 10 zones de conflit à faible menace,Completar 10 zonas de conflito de baixa ameaça,Завершите 10 конфликтных зон с низким уровнем угрозы
blueprint.description.engineer_b2,Provide Hero Ferrari with 15 units of Settlement Defence Plans to learn about Wellington Beck,Provide Hero Ferrari with 15 units of Settlement Defence Plans to learn about Wellington Beck,"Stelle Hero Ferrari 15 Einheiten Siedlungsverteidigungspläne bereit, um mehr über Wellington Beck zu erfahren",Proporcione a Hero Ferrari 15 unidades de Planes de defensa del asentamiento para aprender sobre Wellington Beck,Fournissez au héros Ferrari 15 unités de plans de défense des colonies pour en savoir plus sur Wellington Beck,Forneça ao Hero Ferrari 15 unidades de Planos de Defesa do Assentamento para aprender sobre Wellington Beck,"Предоставьте герою Феррари 15 единиц планов обороны поселения, чтобы узнать о Веллингтоне-Беке"
blueprint.description.engineer_b3,"Sell 25 total units of Classic Entertainment, Multimedia Entertainment, and/or Cat Media to Bartenders","Sell 25 total units of Classic Entertainment, Multimedia Entertainment, and/or Cat Media to Bartenders","Verkaufe insgesamt 25 Einheiten von Klassische Unterhaltung, Multimedia-Unterhaltung und/oder Katzen-Medien an Barkeeper","Vender 25 unidades en total de Entretenimiento clásico, Entretenimiento multimedia y / o Cat Media a Bartenders","Vendre 25 unités au total de divertissement classique, de divertissement multimédia et/ou de Cat Media aux barmans","Vender 25 unidades no total de Classic Entertainment, Multimedia Entertainment e / ou Cat Media para Bartenders","Продайте 25 единиц классических развлечений, мультимедийных развлечений и / или медиаконтента с котиками барменам"
blueprint.description.engineer_b4,Provide Wellington Beck with 5 units of InSight Entertainment Suites to learn about Uma Laszlo,Provide Wellington Beck with 5 units of InSight Entertainment Suites to learn about Uma Laszlo,"Stelle Wellington Beck 5 Einheiten Insight-Entertainment-Bibliothek zur Verfügung, um mehr über Uma Laszlo zu erfahren",Proporcione a Wellington Beck 5 unidades de InSight Entertainment Suites para aprender sobre Uma Laszlo,Fournissez à Wellington Beck 5 unités de suites de divertissement InSight pour en savoir plus sur Uma Laszlo,Forneça a Wellington Beck 5 unidades de InSight Entertainment Suites para saber mais sobre Uma Laszlo,"Предоставьте Веллингтон-Беку 5 единиц развлекательных устройств InSight, чтобы узнать об Уме Ласло"
blueprint.description.engineer_b5,Reach Unfriendly reputation or lower with Sirius Corporation,Reach Unfriendly reputation or lower with Sirius Corporation,Erreiche einen unfreundlichen Ruf oder niedriger bei der Sirius Corporation,Alcanza una reputación hostil o inferior con Sirius Corporation,Atteindre une réputation hostile ou inférieure avec Sirius Corporation,Alcance reputação hostil ou inferior com a Sirius Corporation,Добейтесь недружественной репутации или ниже с Корпорацией Сириус
blueprint.description.engineer_c1,Complete 10 Restore or Reactivation On Foot missions,Complete 10 Restore or Reactivation On Foot missions,Schließe 10 Missionen zur Wiederherstellung oder Reaktivierung zu Fuß ab,Completa 10 misiones de restauración o reactivación a pie.,Terminez 10 missions de restauration ou de réactivation à pied,Complete 10 missões de restauração ou reativação a pé,Завершите 10 миссий восстановления или реактивации пешком
blueprint.description.engineer_c2,Provide Jude Navarro with 5 units of Genetic Repair Meds to learn about Terra Velasquez,Provide Jude Navarro with 5 units of Genetic Repair Meds to learn about Terra Velasquez,"Stelle Jude Navarro 5 Einheiten Gen-Reparatursets zur Verfügung, um mehr über Terra Velasquez zu erfahren",Proporcione a Jude Navarro 5 unidades de Medicamentos de reparación genética para aprender sobre Terra Velásquez,Fournissez à Jude Navarro 5 unités de médicaments de réparation génétique pour en savoir plus sur Terra Velasquez,Forneça a Jude Navarro 5 unidades de medicamentos de reparo genético para aprender sobre Terra Velasquez,"Предоставьте Джуду Наварро 5 единиц Генно-репаративных препаратов, чтобы узнать о Терре Веласкес"
blueprint.description.engineer_c3,Complete 6 Covert Heist and 6 Covert Theft On Foot missions,Complete 6 Covert Heist and 6 Covert Theft On Foot missions,Schließe 6 verdeckte Raubüberfälle und 6 verdeckte Diebstahl zu Fuß Missionen ab,Completa 6 misiones de Robo encubierto y 6 Robo encubierto a pie.,Terminez 6 missions de braquage secret et 6 missions de vol secret à pied,Complete 6 missões Covert Heist e 6 Covert Theft On Foot,Завершите 6 скрытых ограблений и 6 скрытых краж пешком.
blueprint.description.engineer_c4,Provide Terra Velasquez with 15 units of Financial Projections to learn about Oden Geiger,Provide Terra Velasquez with 15 units of Financial Projections to learn about Oden Geiger,"Stelle Terra Velasquez 15 Einheiten Finanzprognosen bereit, um mehr über Oden Geiger zu erfahren",Proporcione a Terra Velásquez 15 unidades de Proyecciones financieras para aprender sobre Oden Geiger,Fournissez à Terra Velasquez 15 unités de projections financières pour en savoir plus sur Oden Geiger,Forneça à Terra Velasquez 15 unidades de projeções financeiras para aprender sobre Oden Geiger,"Предоставьте Терре Веласкес 15 единиц финансовых прогнозов, чтобы узнать об Одене Гейгере"
