"messageKey","","en","de","es","fr","pt","ru","zh"
"blank","","","","","","","",""
"application.font.size.extra_large","Extra large","Extra large","","","","","",""
"application.font.size.extra_small","Extra small","Extra small","","","","","",""
"application.font.size.large","Large","Large","","","","","",""
"application.font.size.normal","Normal","Normal","","","","","",""
"application.font.size.small","Small","Small","","","","","",""
"application.orientation.horizontal","Horizontal","Horizontal","","","","","",""
"application.orientation.vertical","Vertical","Vertical","","","","","",""
"game.expansion.horizons","Horizons (Odyssey content not available)","Horizons (Odyssey content not available)","","","","","",""
"game.expansion.odyssey","Odyssey","Odyssey","","","","","",""
"game.expansion.none","Base game","Base game","","","","","",""
"tabs.engineers","Engineers","Engineers","","","","","",""
"tabs.import","Import","Import","","","","","",""
"tabs.imported.wishlist","Imported wishlist","Imported wishlist","","","","","",""
"tabs.loadout","Loadout Editor","Loadout Editor","","","","","",""
"tabs.settings","Settings","Settings","","","","","",""
"tabs.trade","Trade","Trade","","","","","",""
"tabs.wishlist","Wishlist{0}","Wishlist{0}","","","","","",""
"tabs.odyssey","Odyssey","Odyssey","","","","","",""
"tabs.horizons","Horizons","Horizons","","","","","",""
"tabs.odyssey.materials","Materials","Materials","","","","","",""
"tabs.horizons.materials","Materials","Materials","","","","","",""
"tabs.horizons.commodities","Commodities","Commodities","","","","","",""
"statusbar.last.message","Latest observed relevant message: {0} ({1})","Latest observed relevant message: {0} ({1})","","","","","",""
"statusbar.login","Please login to the game","Please login to the game","","","","","",""
"statusbar.watching.none","None - No Odyssey journals found at {0}","None - No Odyssey journals found at {0}","","","","","",""
"statusbar.watching","Watching: {0}","Watching: {0}","","","","","",""
"statusbar.api.last.update","Last API Update: {0}","Last API Update: {0}","","","","","",""
"url.scheme.registration.text","This app can handle url’s starting with edomh://. These links can be used to share data between users. You can create these links in the relevant places.","This app can handle url’s starting with edomh://. These links can be used to share data between users. You can create these links in the relevant places.","","","","","",""
