"messageKey","","en","de","es","fr","pt","ru","zh"
"blueprint.add.to.wishlist","Add to wishlist","Add to wishlist","Zur Wunschliste hinzufügen","Agregar a la lista de deseos","Ajouter à la liste de souhaits","Adicionar à lista de desejos","Добавить в список желаемого","加入愿望单"
"blueprint.header.available","Available","Available","Verfügbar","Disponible","Disponible","Disponível","Доступно","可用"
"blueprint.header.give","Give","Give","Geben","Dar","Donner","Doar","Дать","捐赠"
"blueprint.header.material","Materials","Materials","Materialien","Materiales","Matériaux","Materiais","Материалы","材料"
"blueprint.header.objective","Objectives","Objectives","Ziele","Objetivos","Objectifs","Objetivos","Цели","任务目标"
"blueprint.header.receive","Receive","Receive","Empfangen","Recibir","Recevoir","Receber","Получить","接收"
"blueprint.header.required","Required","Required","Erforderlich","Obligatorio","Obligatoire","Obrigatório","Требуется","需要"
"blueprint.label.completed.referrals","Completed Referrals","Completed Referrals","Abgeschlossene Empfehlungen","Referencias completadas","Parrainages terminés","Referências concluídas","Завершенные рефералы","已完成的介绍任务"
"blueprint.label.description","Description","Description","Beschreibung","Descripción","","Descrição","Описание","描述"
"blueprint.label.engineers","Engineers crafting this blueprint:","Engineers crafting this blueprint:","Ingenieure die diesen Bauplan erstellen:","Ingenieros que elaboran este plano:","Ingénieurs créant ce plan:","Engenheiros Executando este Projeto:","Инженеры, создающие этот чертеж:","能制作该蓝图的工程师："
"blueprint.label.modifiers","Modifiers","Modifiers","Modifikatoren","Modificadores","Modificateurs","Modificadores","Модификаторы","修正"
"blueprint.label.nearest","Closest Technology Broker","Closest Technology Broker","Nächster Technologie-Händler","Broker de tecnología más cercano.","","Mediador de Tecnologia Mais Próximo","Ближайший техноброкер","最近的科技代理人"
"blueprint.on.wishlist","{0} on wishlist","{0} on wishlist","{0} auf Wunschliste","{0} en la lista de deseos","{0} sur la liste de souhaits","{0} na lista de desejos","{0} в списке желаний","{0} 在愿望单中"
"blueprint.category.name.blueprints","Blueprints","Blueprints","Bauplan","Planos","Plans","Projetos","Чертежи","蓝图"
"blueprint.synthesis.grade1","BASIC","BASIC","EINFACH","BÁSICO","BASIQUE","Básico","БАЗОВЫЙ","基本"
"blueprint.synthesis.grade2","STANDARD","STANDARD","","ESTÁNDAR","LA NORME","PADRÃO","СТАНДАРТНЫЙ","标准"
"blueprint.synthesis.grade3","PREMIUM","PREMIUM","","PREMIUM","PRIME","PRÊMIO","ПРЕМИУМ","高级"
"blueprint.label.tips","Tips","Tips","Tipps","Consejos","Des astuces","Dicas","Советы","提示"
"blueprint.engineer.pinnable.tooltip","Double-click to pin blueprint to this engineer","Double-click to pin blueprint to this engineer","Doppelklick um Bauplan beim Ingenieur an zu pinnen","Haga doble clic para fijar un plano a este ingeniero","Double-cliquez pour épingler Blueprint à cet ingénieur","Clique duas vezes para fixar o plano para este engenheiro","Дважды щелкните, чтобы прикрепить чертеж к этому инженеру","双击来固定(pin)这名工程师的这张蓝图"
"blueprint.add.to.wishlist.all.grade","Add all grades to {0}","Add all grades to {0}","Füge alle Stufen zu {0} hinzu","Agregue todos los niveles a {0}","Ajouter toutes les notes à {0}","Adicione todas as notas a {0}","Добавьте все апгрейды в {0}","把每一级都加入 {0}"
"blueprint.add.to.wishlist.single.grade","Add this grade to {0}","Add this grade to {0}","Füge diese Stufe zu {0} hinzu","Agregue este nivel a {0}","Ajoutez cette note à {0}","Adicione esta nota a {0}","Добавьте этот апгрейд в {0}","把这一级加入 {0}"
"blueprint.is.live","LIVE-only blueprint","LIVE-only blueprint","Nur LIVE-Blaupause","Plano solo en LIVE","Blueprint en LIVE","Projeto Corrente","Чертеж для LIVE-версии","仅限LIVE模式的蓝图"
"blueprint.label.leveling","Reputation gain","Reputation gain","","Aumento de reputación","","Aumento de Reputação","Получение репутации","获取声望"
"blueprint.label.leveling.crafting","Craft module upgrades","","","Crear mejoras de módulos","","Criar melhorias nos módulos","Создавать улучшения модуля","制造模块升级"
"blueprint.label.leveling.sellcommodities","Sell commodities at the station","","","Vender mercancías en la estación","","Vender mercadorias na estação","Продавать товары на станции","在该站点售出货物"
"blueprint.label.leveling.sellexploration","Sell exploration data at the station","","","Vender datos de exploración en la estación","","Vender dados de exploração na estação","Сдавать исследовательские данные на станции","在该站点售出探索数据"
"blueprint.label.leveling.sellbounties","Hand in bounty vouchers at the station","","","Canjear recompensas en la estación","","Recolher recompensas na estação","Сдавать ваучеры на награду на станции","在该站点兑现赏金兑换券"
"blueprint.label.leveling.sellbonds","Hand in combat bonds at the station","","","Canjear bonos de combate en la estación","","Recolher bônus de combate na estação","Сдавать боевые облигации на станции","在该站点兑换战斗债券"
"blueprint.engineer.pin","Pin","","","Anclar","","","Закрепить","固定"
"blueprint.engineer.unpin","Unpin","","","Desanclar","","","Открепить","取消固定"
"blueprint.label.nearest.guardian.structure","Closest Guardian Structure","","","","","","",""
