"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"modifier.horizons.unit.absolute_damage_ratio","%","","","%","%","","%","%","%"
"modifier.horizons.unit.ammo_capacity","","","","","","","","",""
"modifier.horizons.unit.ammo_clip_size","","","","","","","","",""
"modifier.horizons.unit.ammo_cost","Cr","","","Cr","Cr","","Кр","Cr","Cr"
"modifier.horizons.unit.ammo_maximum","","","","","","","","",""
"modifier.horizons.unit.anti_xeno_damage","none","","","ninguno","aucun","","none","无","none"
"modifier.horizons.unit.anti_xeno_damage_ratio","%","","","","%","","%","%","%"
"modifier.horizons.unit.area_fsds_reboot","none","","","ninguno","aucun","","none","无","none"
"modifier.horizons.unit.anti_guardian_zone_resistance","none","","","ninguna","aucun","","none","无","none"
"modifier.horizons.unit.area_heat_increased_sensors_disrupted","none","","","ninguna","aucun","","none","无","none"
"modifier.horizons.unit.armour","","","","","","","","",""
"modifier.horizons.unit.armour_hardness","%","","","","%","","%","%","%"
"modifier.horizons.unit.armour_piercing","AP","","","","AP","","AP","AP","AP"
"modifier.horizons.unit.auto_reload_while_firing","none","","","ninguna","aucun","","none","无","none"
"modifier.horizons.unit.bin_count","","","","","","","","",""
"modifier.horizons.unit.boost_augmenter_power_use","","","","","","","","",""
"modifier.horizons.unit.boost_cost","MW","","","","MW","","МВт","兆瓦","მვ"
"modifier.horizons.unit.boost_speed","m/s","","","","m/s","","м/с","米/秒","მ/წმ"
"modifier.horizons.unit.boost_speed_multiplier","x","","","","x","","x","x","x"
"modifier.horizons.unit.boot_time","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.breach_damage","HP","","","","","","HP","HP","HP"
"modifier.horizons.unit.broken_regen_rate","MJ/s","","","","MJ/s","","МДж/с","兆焦/秒","MJ/s"
"modifier.horizons.unit.burst_interval","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.burst_rate_of_fire","/s","","","","/s","","/с","/秒","/წმ"
"modifier.horizons.unit.burst_size","","","","","","","","",""
"modifier.horizons.unit.cabin_capacity","","","","","","","","",""
"modifier.horizons.unit.cabin_class","","","","","","","","",""
"modifier.horizons.unit.cargo_capacity","T","","","","T","","T","吨","T"
"modifier.horizons.unit.caustic_damage_ratio","%","","","","%","","%","%","%"
"modifier.horizons.unit.caustic_resistance","%","","","","%","","%","%","%"
"modifier.horizons.unit.charge_time","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.collision_resistance","%","","","","%","","%","%","%"
"modifier.horizons.unit.consumption","/s","","","","/s","","/с","/秒","/წმ"
"modifier.horizons.unit.crew","","","","","","","","",""
"modifier.horizons.unit.damage","HP","","","","","","HP","HP","HP"
"modifier.horizons.unit.damage_boost","%","","","","%","","%","%","%"
"modifier.horizons.unit.damage_falloff_start","M","","","","M","","M","米","M"
"modifier.horizons.unit.damage_increases_with_heat_level","none","","","ninguno","aucun","","none","无","none"
"modifier.horizons.unit.damage_multiplier","x","","","","x","","x","x","x"
"modifier.horizons.unit.damage_partially_explosive","none","","","ninguno","aucun","","none","无","none"
"modifier.horizons.unit.damage_partially_kinetic","none","","","ninguno","aucun","","none","无","none"
"modifier.horizons.unit.damage_partially_thermal","none","","","ninguno","aucun","","none","无","none"
"modifier.horizons.unit.damage_per_second","HP/s","","","","","","HP/с","HP/秒","HP/s"
"modifier.horizons.unit.damage_type","","","","","","","","",""
"modifier.horizons.unit.discovery_scanner_passive_range","LS","","","","sl","","Св. сек","光秒","LS"
"modifier.horizons.unit.discovery_scanner_range","LS","","","","sl","","Св. сек","光秒","LS"
