"messageKey","","en","de","es","fr","pt","ru","zh"
"blueprint.horizons.name.abrasion_blaster","Abrasion Blaster","","","","","","",""
"blueprint.horizons.name.abrasion_blaster_pre","Abrasion Blaster","Abrasion Blaster","","","","","",""
"blueprint.horizons.name.advanced_docking_computer","Advanced Docking Computer","","","","","","",""
"blueprint.horizons.name.advanced_missile_rack","Advanced Missile Rack","Advanced Missile Rack","","","","","",""
"blueprint.horizons.name.advanced_multi_cannon","Advanced Multi Cannon","Advanced Multi Cannon","","","","","",""
"blueprint.horizons.name.advanced_plasma_accelerator","Advanced Plasma Accelerator","Advanced Plasma Accelerator","","","","","",""
"blueprint.horizons.name.afm_refill","AFM Refill","AFM Refill","","","","","",""
"blueprint.horizons.name.anti_corrosion_cargo_rack","Anti Corrosion Cargo Rack","Anti Corrosion Cargo Rack","","","","","",""
"blueprint.horizons.name.armour","Armour","Armour","","","","","",""
"blueprint.horizons.name.auto_field_maintenance_unit","Auto Field Maintenance Unit","Auto Field Maintenance Unit","","","","","",""
"blueprint.horizons.name.ax_explosive_munitions","AX Explosive Munitions","AX Explosive Munitions","","","","","",""
"blueprint.horizons.name.ax_missile_rack","Ax Missile Rack","Ax Missile Rack","","","","","",""
"blueprint.horizons.name.ax_missile_rack_pre","Ax Missile Rack","Ax Missile Rack","","","","","",""
"blueprint.horizons.name.ax_multi_cannon","Ax Multi Cannon","Ax Multi Cannon","","","","","",""
"blueprint.horizons.name.ax_multi_cannon_pre","Enhanced Ax Multi Cannon","Enhanced Ax Multi Cannon","","","","","",""
"blueprint.horizons.name.ax_remote_flak_munitions","AX Remote Flak Munitions","AX Remote Flak Munitions","","","","","",""
"blueprint.horizons.name.ax_small_calibre_munitions","AX Small Calibre Munitions","AX Small Calibre Munitions","","","","","",""
"blueprint.horizons.name.beam_laser","Beam Laser","Beam Laser","","","","","",""
"blueprint.horizons.name.bi_weave_shield_generator","Bi-Weave Shield Generator","","","","","","",""
"blueprint.horizons.name.burst_laser","Burst Laser","Burst Laser","","","","","",""
"blueprint.horizons.name.business_class_passenger_cabin","Business Class Passenger Cabin","","","","","","",""
"blueprint.horizons.name.business_class_passenger_cabin.short","(BUS)","","","","","","",""
"blueprint.horizons.name.cannon","Cannon","Cannon","","","","","",""
"blueprint.horizons.name.cargo_rack","Cargo Rack","Cargo Rack","","","","","",""
"blueprint.horizons.name.caustic_sink_launcher","Caustic Sink Launcher","Caustic Sink Launcher","","","","","",""
"blueprint.horizons.name.caustic_sink_launcher.short","Caustic","","","","","","",""
"blueprint.horizons.name.caustic_sinks","Caustic Sinks","Caustic Sinks","","","","","",""
"blueprint.horizons.name.chaff","Chaff","Chaff","","","","","",""
"blueprint.horizons.name.chaff_launcher","Chaff Launcher","Chaff Launcher","","","","","",""
"blueprint.horizons.name.collector_limpet_controller","Collector Limpet Controller","Collector Limpet Controller","","","","","",""
"blueprint.horizons.name.configurable_explosive_munitions","Configurable Explosive Munitions","Configurable Explosive Munitions","","","","","",""
"blueprint.horizons.name.configurable_small_calibre_munitions","Configurable Small Calibre Munitions","Configurable Small Calibre Munitions","","","","","",""
"blueprint.horizons.name.cytoscrambler_burst_laser","Cytoscrambler Burst Laser","Cytoscrambler Burst Laser","","","","","",""
"blueprint.horizons.name.decontamination_limpet_controller","Decontamination Limpet Controller","Decontamination Limpet Controller","","","","","",""
"blueprint.horizons.name.detailed_surface_scanner","Detailed Surface Scanner","Detailed Surface Scanner","","","","","",""
"blueprint.horizons.name.detailed_surface_scanner_pre","Detailed Surface Scanner","","","","","","",""
"blueprint.horizons.name.economy_class_passenger_cabin","Economy Class Passenger Cabin","","","","","","",""
"blueprint.horizons.name.economy_class_passenger_cabin.short","(ECO)","","","","","","",""
"blueprint.horizons.name.electronic_countermeasure","Electronic Countermeasure","Electronic Countermeasure","","","","","",""
"blueprint.horizons.name.enforcer_multi_cannon","Enforcer Multi Cannon","Enforcer Multi Cannon","","","","","",""
"blueprint.horizons.name.engineer_a","A. Elvira Martuuk","","","","","","",""
"blueprint.horizons.name.engineer_a3a","    A3A. Professor Palin","","","","","","",""
"blueprint.horizons.name.engineer_a3b","    A3B. Lori Jameson","","","","","","",""
"blueprint.horizons.name.engineer_a3c","    A3C. Chloe Sedesi","","","","","","",""
"blueprint.horizons.name.engineer_a1","  A1. Mel Brandon ©","","","","","","",""
"blueprint.horizons.name.engineer_a2","  A2. Zacariah Nemo","","","","","","",""
"blueprint.horizons.name.engineer_a3","  A3. Marco Qwent","","","","","","",""
"blueprint.horizons.name.engineer_b","B. The Dweller","","","","","","",""
"blueprint.horizons.name.engineer_b2a","    B2A. Ram Tah","","","","","","",""
"blueprint.horizons.name.engineer_b1","  B1. Marsha Hicks ©","","","","","","",""
"blueprint.horizons.name.engineer_b2","  B2. Lei Cheung","","","","","","",""
"blueprint.horizons.name.engineer_c","C. Felicity Farseer","","","","","","",""
"blueprint.horizons.name.engineer_c1a","    C1A. Colonel Bris Dekker","","","","","","",""
"blueprint.horizons.name.engineer_c1b","    C1B. The Sarge","","","","","","",""
"blueprint.horizons.name.engineer_c1","  C1. Juri Ishmaak","","","","","","",""
"blueprint.horizons.name.engineer_d","D. Tod The Blaster Mcquinn","","","","","","",""
"blueprint.horizons.name.engineer_d2a","    D2A. Didi Vatermann","","","","","","",""
