"messageKey","","en","de","es","fr","pt","ru","zh"
"blueprint.horizons.type.description.ammo_capacity","Increases the module’s ammo capacity, but at the cost of increased reload time and mass.","Increases the module’s ammo capacity, but at the cost of increased reload time and mass.","","","","","",""
"blueprint.horizons.type.description.angled_plating","Custom angling of plates at critical points along the ship’s hull make projectile strikes more likely to glance, reducing the impact of kinetic damage at the cost of structural integrity.","Custom angling of plates at critical points along the ship’s hull make projectile strikes more likely to glance, reducing the impact of kinetic damage at the cost of structural integrity.","","","","","",""
"blueprint.horizons.type.description.armoured","Module integrity is improved with this blueprint, allowing small improvements to power generation and heat efficiency, at the cost of increased mass.","Module integrity is improved with this blueprint, allowing small improvements to power generation and heat efficiency, at the cost of increased mass.","","","","","",""
"blueprint.horizons.type.description.auto_loader","An experimental upgrade that automatically reloads the weapon, even when firing.","An experimental upgrade that automatically reloads the weapon, even when firing.","","","","","",""
"blueprint.horizons.type.description.blast_block","Advanced field resonation patterns increase resistance to explosive damage, at the cost of overall shield strength.","Advanced field resonation patterns increase resistance to explosive damage, at the cost of overall shield strength.","","","","","",""
"blueprint.horizons.type.description.blast_resistant","Kinetic and thermal resistance is lost to gain better explosive damage resistance with this blueprint.","Kinetic and thermal resistance is lost to gain better explosive damage resistance with this blueprint.","","","","","",""
"blueprint.horizons.type.description.blast_resistant_hull_reinforcement","With this modification kinetic and thermal resistance is reduced, but with the benefit of improved explosion resistance and a small integrity increase.","With this modification kinetic and thermal resistance is reduced, but with the benefit of improved explosion resistance and a small integrity increase.","","","","","",""
"blueprint.horizons.type.description.bobblehead","Thargoid Interceptor bobblehead cosmetic item that can be placed inside the cockpit.","Thargoid Interceptor bobblehead cosmetic item that can be placed inside the cockpit.","","","","","",""
"blueprint.horizons.type.description.boss_cells","Oversized cells offer increased cell strength at cost of an increased spin up time.","Oversized cells offer increased cell strength at cost of an increased spin up time.","","","","","",""
"blueprint.horizons.type.description.charge_enhanced","This blueprint impacts overall power capacity while providing a faster overall charge rate.","This blueprint impacts overall power capacity while providing a faster overall charge rate.","","","","","",""
"blueprint.horizons.type.description.clean_drive_tuning","Power draw and mass requirements are sacrificed for better thermal handling and performance with this enhancement.","Power draw and mass requirements are sacrificed for better thermal handling and performance with this enhancement.","","","","","",""
"blueprint.horizons.type.description.cluster_capacitor","Additional capacitor arrays allow the power distributor to store more energy at the cost of a slower charging rate.","Additional capacitor arrays allow the power distributor to store more energy at the cost of a slower charging rate.","","","","","",""
"blueprint.horizons.type.description.concordant_sequence","A modification that causes weapon strikes to temporarily enhance the regeneration rate of a wingman’s shield, at the cost of increased heat generation.","A modification that causes weapon strikes to temporarily enhance the regeneration rate of a wingman’s shield, at the cost of increased heat generation.","","","","","",""
"blueprint.horizons.type.description.corrosion_resistant_cargo_rack","Specialised storage rack for use in automated cargo transfer system that can resist the effects of corrosive cargo. This blueprint provides 2D and 4D cargo rack sizes.","Specialised storage rack for use in automated cargo transfer system that can resist the effects of corrosive cargo. This blueprint provides 2D and 4D cargo rack sizes.","","","","","",""
"blueprint.horizons.type.description.corrosive_shell","Experimental rounds that temporarily weaken hull hardness and increase all damage taken, at the cost of reduced ammo capacity.","Experimental rounds that temporarily weaken hull hardness and increase all damage taken, at the cost of reduced ammo capacity.","","","","","",""
"blueprint.horizons.type.description.dazzle_shell","Experimental shells that temporarily reduce a target’s sensor acuity upon impact.","Experimental shells that temporarily reduce a target’s sensor acuity upon impact.","","","","","",""
"blueprint.horizons.type.description.deep_charge","Toughened FSD power conduits and a reinforced charging field increase the amount of fuel injected when charging, allowing larger jumps at the cost of increased power draw.","Toughened FSD power conduits and a reinforced charging field increase the amount of fuel injected when charging, allowing larger jumps at the cost of increased power draw.","","","","","",""
"blueprint.horizons.type.description.deep_plating","Increased depth of plating increases the ship’s overall structural integrity, at the cost of resistance against all types of damage.","Increased depth of plating increases the ship’s overall structural integrity, at the cost of resistance against all types of damage.","","","","","",""
"blueprint.horizons.type.description.dirty_drive_tuning","With this blueprint, a drive’s integrity, thermal load and power draw are sacrificed for increased performance.","With this blueprint, a drive’s integrity, thermal load and power draw are sacrificed for increased performance.","","","","","",""
"blueprint.horizons.type.description.dispersal_field","Experimental upgrade that causes successful strikes to temporarily confuse all gimbal and turret hardpoints on the target, at the cost of direct damage potential.","Experimental upgrade that causes successful strikes to temporarily confuse all gimbal and turret hardpoints on the target, at the cost of direct damage potential.","","","","","",""
"blueprint.horizons.type.description.double_braced","Additional, hardened supports and bracing further improve module survivability.","Additional, hardened supports and bracing further improve module survivability.","","","","","",""
"blueprint.horizons.type.description.double_shot","This weapon modification enables a double shot burst of fire per trigger pull, but at a cost of decreased range.","This weapon modification enables a double shot burst of fire per trigger pull, but at a cost of decreased range.","","","","","",""
"blueprint.horizons.type.description.drag_drives","Removal of safety protocols in controller software to increase drive thrust output at the cost of additional heat generation.","Removal of safety protocols in controller software to increase drive thrust output at the cost of additional heat generation.","","","","","",""
"blueprint.horizons.type.description.drag_munition","Experimental munitions that disrupt engine exhaust flow on the target, temporarily preventing ENG power distribution from increasing thrust. (Seeker Only)","Experimental munitions that disrupt engine exhaust flow on the target, temporarily preventing ENG power distribution from increasing thrust. (Seeker Only)","","","","","",""
"blueprint.horizons.type.description.drive_distributors","Enhanced fuel and thrust balancing across the drives to improve mass curve efficiency.","Enhanced fuel and thrust balancing across the drives to improve mass curve efficiency.","","","","","",""
"blueprint.horizons.type.description.drive_strengthening","Increased mass is traded for better thermal load and integrity with this modification.","Increased mass is traded for better thermal load and integrity with this modification.","","","","","",""
"blueprint.horizons.type.description.efficient_weapon","Installing this weapon blueprint reduces thermal load and power draw.","Installing this weapon blueprint reduces thermal load and power draw.","","","","","",""
"blueprint.horizons.type.description.emissive_munitions","Experimental upgrade that causes strikes to envelope the target in energetic particles, significantly amplifying its signature, at the cost of increasing heat generation for the attacker.","Experimental upgrade that causes strikes to envelope the target in energetic particles, significantly amplifying its signature, at the cost of increasing heat generation for the attacker.","","","","","",""
"blueprint.horizons.type.description.engine_focused","System and weapon capacity and charge rates are reduced in return for increased engine capacity and charge rate.","System and weapon capacity and charge rates are reduced in return for increased engine capacity and charge rate.","","","","","",""
"blueprint.horizons.type.description.engineered_detailed_surface_scanner_v1","A pre-Engineered Detailed Surface Scanner with two Expanded Probe Scanning Radius modifications. Unlike unlocking most other Technology Broker items, which makes them permanently available for purchase with credits at station outfitting services, unlocking the Engineered Detailed Surface Scanner V1 immediately places one module in local storage at no additional cost. The module must also be unlocked repeatedly in order to obtain multiple copies. Applying any other Engineering modifications to this module will remove the bonus second modification.","A pre-Engineered Detailed Surface Scanner with two Expanded Probe Scanning Radius modifications. Unlike unlocking most other Technology Broker items, which makes them permanently available for purchase with credits at station outfitting services, unlocking the Engineered Detailed Surface Scanner V1 immediately places one module in local storage at no additional cost. The module must also be unlocked repeatedly in order to obtain multiple copies. Applying any other Engineering modifications to this module will remove the bonus second modification.","","","","","",""
"blueprint.horizons.type.description.engineered_fsd_v1","A pre-Engineered Class 5 Frame Shift Drive with Increased Range and Faster Boot Sequence. Unlike unlocking most other Technology Broker items, which makes them permanently available for purchase with credits at station outfitting services, unlocking the Engineered FSD V1 immediately places one module in local storage at no additional cost. The module must also be unlocked repeatedly in order to obtain multiple copies. Applying any other Engineering modifications to this module will remove the bonus second modification, but an Experimental Effect can be safely added or replaced.","A pre-Engineered Class 5 Frame Shift Drive with Increased Range and Faster Boot Sequence. Unlike unlocking most other Technology Broker items, which makes them permanently available for purchase with credits at station outfitting services, unlocking the Engineered FSD V1 immediately places one module in local storage at no additional cost. The module must also be unlocked repeatedly in order to obtain multiple copies. Applying any other Engineering modifications to this module will remove the bonus second modification, but an Experimental Effect can be safely added or replaced.","","","","","",""
"blueprint.horizons.type.description.engineered_missile_rack_v1","A pre-Engineered Class 2 Seeker Missile Rack with Lightweight, High Capacity, and Thermal Cascade. Unlike unlocking most other Technology Broker items, which makes them permanently available for purchase with credits at station outfitting services, unlocking the Engineered Seeker Missile Rack V1 immediately places one module in local storage at no additional cost. The module must also be unlocked repeatedly in order to obtain multiple copies. Applying any other Engineering modifications to this module will remove the bonus second modification, but the Experimental Effect can be safely replaced.","A pre-Engineered Class 2 Seeker Missile Rack with Lightweight, High Capacity, and Thermal Cascade. Unlike unlocking most other Technology Broker items, which makes them permanently available for purchase with credits at station outfitting services, unlocking the Engineered Seeker Missile Rack V1 immediately places one module in local storage at no additional cost. The module must also be unlocked repeatedly in order to obtain multiple copies. Applying any other Engineering modifications to this module will remove the bonus second modification, but the Experimental Effect can be safely replaced.","","","","","",""
"blueprint.horizons.type.description.enhanced_low_power_shields","Module integrity is lost and mass reduced with this enhancement to decrease power draw and generate stronger shields.","Module integrity is lost and mass reduced with this enhancement to decrease power draw and generate stronger shields.","","","","","",""
"blueprint.horizons.type.description.enzyme_missile_rack","Missile rack with ordnance capable of inflicting caustic burn. There is a limit of 4 experimental modules per vessel. The Enzyme Missile Rack is a dumbfire missile rack. The missiles cause low damage on impact, but are tipped with Thargoid-derived enzymes that corrode the target’s hull over time via a caustic burn effect.","Missile rack with ordnance capable of inflicting caustic burn. There is a limit of 4 experimental modules per vessel. The Enzyme Missile Rack is a dumbfire missile rack. The missiles cause low damage on impact, but are tipped with Thargoid-derived enzymes that corrode the target’s hull over time via a caustic burn effect.","","","","","",""
"blueprint.horizons.type.description.expanded_fsd_interdictor_capture_arc","This modification trades power draw and range for an increased capture arc.","This modification trades power draw and range for an increased capture arc.","","","","","",""
"blueprint.horizons.type.description.expanded_probe_scanning_radius","This modification trades power draw for an increase in probe scanning radius.","This modification trades power draw for an increase in probe scanning radius.","","","","","",""
"blueprint.horizons.type.description.fast_charge","High speed charging units increase shield regeneration rate when active and reforming, at the cost of slightly weaker resistance versus all forms of damage.","High speed charging units increase shield regeneration rate when active and reforming, at the cost of slightly weaker resistance versus all forms of damage.","","","","","",""
"blueprint.horizons.type.description.fast_scanner","Improves the rate of the scanner at the expense of range and integrity.","Improves the rate of the scanner at the expense of range and integrity.","","","","","",""
"blueprint.horizons.type.description.faster_fsd_boot_sequence","This blueprint speeds up boot up times and gives a small range increase, at the cost of module integrity and power draw.","This blueprint speeds up boot up times and gives a small range increase, at the cost of module integrity and power draw.","","","","","",""
"blueprint.horizons.type.description.feedback_cascade","Rail slug energy charging mechanism, designed to interfere with shield cell operation. Strikes to a target deploying a shield cell will damage the shield cell bank and reduce shield restoration, at the cost of reduced damage from smaller rounds.","Rail slug energy charging mechanism, designed to interfere with shield cell operation. Strikes to a target deploying a shield cell will damage the shield cell bank and reduce shield restoration, at the cost of reduced damage from smaller rounds.","","","","","",""
"blueprint.horizons.type.description.flow_control","Advanced software and internal sensors regulate energy flow more efficiently, reducing module power draw.","Advanced software and internal sensors regulate energy flow more efficiently, reducing module power draw.","","","","","",""
"blueprint.horizons.type.description.focused_weapon","With this weapon enhancement thermal load is sacrificed for increased range and armour piercing capability.","With this weapon enhancement thermal load is sacrificed for increased range and armour piercing capability.","","","","","",""
"blueprint.horizons.type.description.force_block","Enlarged projection nodes increase resistance to kinetic damage, at the cost of overall shield strength.","Enlarged projection nodes increase resistance to kinetic damage, at the cost of overall shield strength.","","","","","",""
"blueprint.horizons.type.description.force_shell","A modification to allow firing of low explosive shells, designed to generate a propelling blast. Strikes to a target are capable of forcing ships off course, at the cost of shot accuracy.","A modification to allow firing of low explosive shells, designed to generate a propelling blast. Strikes to a target are capable of forcing ships off course, at the cost of shot accuracy.","","","","","",""
"blueprint.horizons.type.description.fsd_interrupt","Experimental munitions that cause the frame shift drive on the impacted ship to reboot, at the cost of reduced damage. (Dumbfire Only)","Experimental munitions that cause the frame shift drive on the impacted ship to reboot, at the cost of reduced damage. (Dumbfire Only)","","","","","",""
"blueprint.horizons.type.description.guardian_fsd_booster","Guardian researched module that patches into most human frame shift drives, boosting their capabilities and providing an increase in power and distance. Frame shift fuel efficiency is enhanced, increasing the distance travelled per unit of fuel and enabling single jumps of a greater size.","Guardian researched module that patches into most human frame shift drives, boosting their capabilities and providing an increase in power and distance. Frame shift fuel efficiency is enhanced, increasing the distance travelled per unit of fuel and enabling single jumps of a greater size.","","","","","",""
"blueprint.horizons.type.description.guardian_gauss_cannon_fixed_medium","Fixed-mount high-energy weapon, based on researched Guardian technology. There is a limit of 4 experimental modules per vessel.","Fixed-mount high-energy weapon, based on researched Guardian technology. There is a limit of 4 experimental modules per vessel.","","","","","",""
"blueprint.horizons.type.description.guardian_gauss_cannon_fixed_small","Fixed-mount high-energy weapon, based on researched Guardian technology. There is a limit of 4 experimental modules per vessel.","Fixed-mount high-energy weapon, based on researched Guardian technology. There is a limit of 4 experimental modules per vessel.","","","","","",""
"blueprint.horizons.type.description.guardian_hull_reinforcement","Powered module that increases the ship’s hull integrity and resistance to Thargoid, caustic and thermic damage.","Powered module that increases the ship’s hull integrity and resistance to Thargoid, caustic and thermic damage.","","","","","",""
"blueprint.horizons.type.description.guardian_hybrid_power_plant","Consumes fuel to power all ship modules. Enhanced with Guardian technology to produce greater power output at the cost of heat generated and mass. This version is based on Guardian research and has resistances to Thargoid-specific disruption technology.","Consumes fuel to power all ship modules. Enhanced with Guardian technology to produce greater power output at the cost of heat generated and mass. This version is based on Guardian research and has resistances to Thargoid-specific disruption technology.","","","","","",""
"blueprint.horizons.type.description.guardian_module_reinforcement","Powered module that protects a ship’s modules from any weapons fire penetrating the hull. It utilises its own damage capacity to absorb a proportion of the damage applied to modules, eventually burning out when its capacity reaches zero. This version is based on Guardian research and has resistances to Thargoid-specific disruption technology.","Powered module that protects a ship’s modules from any weapons fire penetrating the hull. It utilises its own damage capacity to absorb a proportion of the damage applied to modules, eventually burning out when its capacity reaches zero. This version is based on Guardian research and has resistances to Thargoid-specific disruption technology.","","","","","",""
"blueprint.horizons.type.description.guardian_plasma_charger_fixed_large","Fixed-mount plasma weapon, based on researched Guardian technology. There is a limit of 4 experimental modules per vessel. The Guardian Plasma Charger is a plasma-based weapon that utilizes Guardian technology.","Fixed-mount plasma weapon, based on researched Guardian technology. There is a limit of 4 experimental modules per vessel. The Guardian Plasma Charger is a plasma-based weapon that utilizes Guardian technology.","","","","","",""
"blueprint.horizons.type.description.guardian_plasma_charger_fixed_medium","Fixed-mount plasma weapon, based on researched Guardian technology. There is a limit of 4 experimental modules per vessel. The Guardian Plasma Charger is a plasma-based weapon that utilizes Guardian technology.","Fixed-mount plasma weapon, based on researched Guardian technology. There is a limit of 4 experimental modules per vessel. The Guardian Plasma Charger is a plasma-based weapon that utilizes Guardian technology.","","","","","",""
"blueprint.horizons.type.description.guardian_plasma_charger_fixed_small","Fixed-mount plasma weapon, based on researched Guardian technology. There is a limit of 4 experimental modules per vessel. The Guardian Plasma Charger is a plasma-based weapon that utilizes Guardian technology.","Fixed-mount plasma weapon, based on researched Guardian technology. There is a limit of 4 experimental modules per vessel. The Guardian Plasma Charger is a plasma-based weapon that utilizes Guardian technology.","","","","","",""
