"messageKey","","en","de","es","fr","pt","ru","zh"
"blueprint.horizons.type.ammo_capacity","Ammo Capacity","Ammo Capacity","","","","","",""
"blueprint.horizons.type.angled_plating","Angled Plating","Angled Plating","","","","","",""
"blueprint.horizons.type.armoured","Armoured","Armoured","","","","","",""
"blueprint.horizons.type.auto_loader","Auto Loader","Auto Loader","","","","","",""
"blueprint.horizons.type.blast_block","Blast Block","Blast Block","","","","","",""
"blueprint.horizons.type.blast_resistant","Blast Resistant","Blast Resistant","","","","","",""
"blueprint.horizons.type.blast_resistant_hull_reinforcement","Blast Resistant Hull Reinforcement","Blast Resistant Hull Reinforcement","","","","","",""
"blueprint.horizons.type.bobblehead","Bobblehead","Bobblehead","","","","","",""
"blueprint.horizons.type.boss_cells","Boss Cells","Boss Cells","","","","","",""
"blueprint.horizons.type.charge_enhanced","Charge Enhanced","Charge Enhanced","","","","","",""
"blueprint.horizons.type.clean_drive_tuning","Clean Drive Tuning","Clean Drive Tuning","","","","","",""
"blueprint.horizons.type.cluster_capacitor","Cluster Capacitor","Cluster Capacitor","","","","","",""
"blueprint.horizons.type.concordant_sequence","Concordant Sequence","Concordant Sequence","","","","","",""
"blueprint.horizons.type.corrosion_resistant_cargo_rack","Corrosion Resistant Cargo Rack","Corrosion Resistant Cargo Rack","","","","","",""
"blueprint.horizons.type.corrosive_shell","Corrosive Shell","Corrosive Shell","","","","","",""
"blueprint.horizons.type.dazzle_shell","Dazzle Shell","Dazzle Shell","","","","","",""
"blueprint.horizons.type.deep_charge","Deep Charge","Deep Charge","","","","","",""
"blueprint.horizons.type.deep_plating","Deep Plating","Deep Plating","","","","","",""
"blueprint.horizons.type.dirty_drive_tuning","Dirty Drive Tuning","Dirty Drive Tuning","","","","","",""
"blueprint.horizons.type.dispersal_field","Dispersal Field","Dispersal Field","","","","","",""
"blueprint.horizons.type.double_braced","Double Braced","Double Braced","","","","","",""
"blueprint.horizons.type.double_shot","Double Shot","Double Shot","","","","","",""
"blueprint.horizons.type.drag_drives","Drag Drives","Drag Drives","","","","","",""
"blueprint.horizons.type.drag_munition","Drag Munition (Seeker Only)","Drag Munition (Seeker Only)","","","","","",""
"blueprint.horizons.type.drive_distributors","Drive Distributors","Drive Distributors","","","","","",""
"blueprint.horizons.type.drive_strengthening","Drive Strengthening","Drive Strengthening","","","","","",""
"blueprint.horizons.type.efficient_weapon","Efficient Weapon","Efficient Weapon","","","","","",""
"blueprint.horizons.type.emissive_munitions","Emissive Munitions","Emissive Munitions","","","","","",""
"blueprint.horizons.type.engine_focused","Engine Focused","Engine Focused","","","","","",""
"blueprint.horizons.type.engineer","Engineer","Engineer","","","","","",""
"blueprint.horizons.type.engineered_detailed_surface_scanner_v1","Engineered Detailed Surface Scanner V1","Engineered Detailed Surface Scanner V1","","","","","",""
"blueprint.horizons.type.engineered_fsd_v1","Engineered FSD V1","Engineered FSD V1","","","","","",""
"blueprint.horizons.type.engineered_missile_rack_v1","Engineered Missile Rack V1","Engineered Missile Rack V1","","","","","",""
"blueprint.horizons.type.enhanced_low_power_shields","Enhanced Low Power Shields","Enhanced Low Power Shields","","","","","",""
"blueprint.horizons.type.enzyme_missile_rack","Enzyme Missile Rack","Enzyme Missile Rack","","","","","",""
"blueprint.horizons.type.expanded_fsd_interdictor_capture_arc","Expanded FSD Interdictor Capture Arc","Expanded FSD Interdictor Capture Arc","","","","","",""
"blueprint.horizons.type.expanded_probe_scanning_radius","Expanded Probe Scanning Radius","Expanded Probe Scanning Radius","","","","","",""
"blueprint.horizons.type.fast_charge","Fast Charge","Fast Charge","","","","","",""
"blueprint.horizons.type.fast_scanner","Fast Scanner","Fast Scanner","","","","","",""
"blueprint.horizons.type.faster_fsd_boot_sequence","Faster FSD Boot Sequence","Faster FSD Boot Sequence","","","","","",""
"blueprint.horizons.type.feedback_cascade","Feedback Cascade","Feedback Cascade","","","","","",""
"blueprint.horizons.type.flow_control","Flow Control","Flow Control","","","","","",""
"blueprint.horizons.type.focused_weapon","Focused Weapon","Focused Weapon","","","","","",""
"blueprint.horizons.type.force_block","Force Block","Force Block","","","","","",""
"blueprint.horizons.type.force_shell","Force Shell","Force Shell","","","","","",""
"blueprint.horizons.type.fsd_interrupt","FSD Interrupt (Dumbfire Only)","FSD Interrupt (Dumbfire Only)","","","","","",""
"blueprint.horizons.type.guardian_fsd_booster","Guardian FSD Booster","Guardian FSD Booster","","","","","",""
"blueprint.horizons.type.guardian_gauss_cannon_fixed_medium","Guardian Gauss Cannon Fixed Medium","Guardian Gauss Cannon Fixed Medium","","","","","",""
"blueprint.horizons.type.guardian_gauss_cannon_fixed_small","Guardian Gauss Cannon Fixed Small","Guardian Gauss Cannon Fixed Small","","","","","",""
"blueprint.horizons.type.guardian_hull_reinforcement","Guardian Hull Reinforcement","Guardian Hull Reinforcement","","","","","",""
"blueprint.horizons.type.guardian_hybrid_power_plant","Guardian Hybrid Power Plant","Guardian Hybrid Power Plant","","","","","",""
"blueprint.horizons.type.guardian_module_reinforcement","Guardian Module Reinforcement","Guardian Module Reinforcement","","","","","",""
"blueprint.horizons.type.guardian_plasma_charger_fixed_large","Guardian Plasma Charger Fixed Large","Guardian Plasma Charger Fixed Large","","","","","",""
"blueprint.horizons.type.guardian_plasma_charger_fixed_medium","Guardian Plasma Charger Fixed Medium","Guardian Plasma Charger Fixed Medium","","","","","",""
"blueprint.horizons.type.guardian_plasma_charger_fixed_small","Guardian Plasma Charger Fixed Small","Guardian Plasma Charger Fixed Small","","","","","",""
"blueprint.horizons.type.guardian_plasma_charger_turreted_large","Guardian Plasma Charger Turreted Large","Guardian Plasma Charger Turreted Large","","","","","",""
"blueprint.horizons.type.guardian_plasma_charger_turreted_medium","Guardian Plasma Charger Turreted Medium","Guardian Plasma Charger Turreted Medium","","","","","",""
"blueprint.horizons.type.guardian_plasma_charger_turreted_small","Guardian Plasma Charger Turreted Small","Guardian Plasma Charger Turreted Small","","","","","",""
"blueprint.horizons.type.guardian_power_distributor","Guardian Power Distributor","Guardian Power Distributor","","","","","",""
"blueprint.horizons.type.guardian_shard_cannon_fixed_large","Guardian Shard Cannon Fixed Large","Guardian Shard Cannon Fixed Large","","","","","",""
"blueprint.horizons.type.guardian_shard_cannon_fixed_medium","Guardian Shard Cannon Fixed Medium","Guardian Shard Cannon Fixed Medium","","","","","",""
"blueprint.horizons.type.guardian_shard_cannon_fixed_small","Guardian Shard Cannon Fixed Small","Guardian Shard Cannon Fixed Small","","","","","",""
"blueprint.horizons.type.guardian_shard_cannon_turreted_large","Guardian Shard Cannon Turreted Large","Guardian Shard Cannon Turreted Large","","","","","",""
"blueprint.horizons.type.guardian_shard_cannon_turreted_medium","Guardian Shard Cannon Turreted Medium","Guardian Shard Cannon Turreted Medium","","","","","",""
"blueprint.horizons.type.guardian_shard_cannon_turreted_small","Guardian Shard Cannon Turreted Small","Guardian Shard Cannon Turreted Small","","","","","",""
"blueprint.horizons.type.guardian_shield_reinforcement","Guardian Shield Reinforcement","Guardian Shield Reinforcement","","","","","",""
"blueprint.horizons.type.heavy_duty","Heavy Duty","Heavy Duty","","","","","",""
"blueprint.horizons.type.heavy_duty_hull_reinforcement","Heavy Duty Hull Reinforcement","Heavy Duty Hull Reinforcement","","","","","",""
"blueprint.horizons.type.hi_cap","Hi Cap","Hi Cap","","","","","",""
"blueprint.horizons.type.high_capacity_magazine","High Capacity Magazine","High Capacity Magazine","","","","","",""
"blueprint.horizons.type.high_charge_capacity","High Charge Capacity","High Charge Capacity","","","","","",""
"blueprint.horizons.type.high_yield_shell","High Yield Shell","High Yield Shell","","","","","",""
"blueprint.horizons.type.incendiary_rounds","Incendiary Rounds","Incendiary Rounds","","","","","",""
"blueprint.horizons.type.increased_fsd_range","Increased FSD Range","Increased FSD Range","","","","","",""
"blueprint.horizons.type.inertial_impact","Inertial Impact","Inertial Impact","","","","","",""
"blueprint.horizons.type.ion_disruptor","Ion Disruptor","Ion Disruptor","","","","","",""
"blueprint.horizons.type.javelin_fighter","XG8 Javelin Fighter","XG8 Javelin Fighter","","","","","",""
"blueprint.horizons.type.kinetic_resistant","Kinetic Resistant","Kinetic Resistant","","","","","",""
"blueprint.horizons.type.kinetic_resistant_hull_reinforcement","Kinetic Resistant Hull Reinforcement","Kinetic Resistant Hull Reinforcement","","","","","",""
