"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"blueprint.horizons.type.short.thermal_resistant_hull_reinforcement","Thermal Resistant","Thermal Resistant","Thermalresistent","Resistente","Résistant thermique","Reforço de Casco de Resistência Térmica","Термостойкий усилитель","热能抗性(Thermal Resistant)",""
"blueprint.horizons.type.short.blast_resistant_hull_reinforcement","Blast Resistant","Blast Resistant","Explosionsbeständig","Resistente a la explosión","Résistant aux explosions","Reforço de Casco de Resistência Explosiva","Взрывостойкий усилитель","爆炸抗性(Blast Resistant)",""
"blueprint.horizons.type.short.heavy_duty_hull_reinforcement","Heavy Duty","Heavy Duty","Schwerlast","Alta resistencia","À toute épreuve","Blindagem Pesada","Толстая броня","重型(Heavy Duty)",""
"blueprint.horizons.type.short.lightweight_hull_reinforcement","Lightweight","Lightweight","Leichtgewicht","Ligero","Poids léger","Blindagem Leve","Легкая броня","轻型(Lightweight)",""
"blueprint.horizons.type.short.kinetic_resistant_hull_reinforcement","Kinetic Resistant","Kinetic Resistant","Kinetisch resistent","Resistente a la cinética","Cinétique","Escudos de Resistência Cinética","Противокинетический усилитель","动能抗性(Kinetic Resistant)",""
"blueprint.horizons.type.short.enhanced_low_power_shields","Enhanced Low Power","Enhanced Low Power","","Bajas energía","","Escudos de Baixo Consumo, Aprimorados","Усиленный энергосберегающий щит","低功率强化(Enhanced Low Power)",""
"blueprint.horizons.type.short.kinetic_resistant_shields","Kinetic Resistant","Kinetic Resistant","Kinetisch resistent","Resistente a la cinética","Cinétique","Escudo de Resistência Cinética","Противокинетический щит","动能抗性(Kinetic Resistant)",""
"blueprint.horizons.type.short.reinforced_shields","Reinforced","Reinforced","Verstärkt","Reforzado","Renforcé","Escudos Reforçados","Усиленный щит","强化(Reinforced)",""
"blueprint.horizons.type.short.thermal_resistant_shields","Thermal Resistant","Thermal Resistant","Thermalresistent","Resistente","Résistant thermique","Escudo de Resistência Térmica","Термостойкий щит","热能抗性(Thermal Resistant)",""
"blueprint.horizons.type.short.efficient_weapon","Efficient","Efficient","","Eficiente","","Arma Eficiente","Эффективное орудие","节能(Efficient)",""
"blueprint.horizons.type.short.focused_weapon","Focused","Focused","","Centrado","","Arma com Foco","Точное орудие","聚焦(Focused)",""
"blueprint.horizons.type.short.lightweight_mount","Lightweight","Lightweight","Leichtgewicht","Ligero","Poids léger","Encaixe Leve","Облегчённый","轻型(Lightweight)",""
"blueprint.horizons.type.short.long_range_weapon","Long Range","Long Range","","Largo alcance","Longue portée","Arma de Longa Distância","Дальнобойное орудие","射程强化(Long Range)",""
"blueprint.horizons.type.short.rapid_fire_modification","Rapid Fire","Rapid Fire","","Disparo rápido","","Modificação de Disparo Rápido","Улучшение скорострельности","速射(Rapid Fire)",""
"blueprint.horizons.type.short.overcharged_weapon","Overcharged","Overcharged","Überladen","Sobrecargado","Surchargé","Arma Sobrecarregada","Усиленная силовая установка","超载(Overcharged)",""
"blueprint.horizons.type.short.short_range_blaster","Short Range","Short Range","","Corto alcance","Courte portée","Disparo de Curto Alcance","Бластер малого радиуса действия","近程强化(Short Range)",""
"blueprint.horizons.type.short.sturdy_mount","Sturdy Mount","Sturdy Mount","Stabiles Gestell","Montura resistente","Monture robuste","Encaixe Robusto","Прочное крепление","加固挂载(Sturdy Mount)",""
"blueprint.horizons.type.short.expanded_fsd_interdictor_capture_arc","Expanded Capture Arc","","","Arco de escáner expandido","Angle de capture augmenté","Arco de Captura do Inteditor de MDD Expandido","Расширенная дуга захвата","扩展拦截角度(Expanded Capture Arc)",""
"blueprint.horizons.type.short.expanded_probe_scanning_radius","Expanded Scanning Radius","","","Radio de escáner expandido","Rayon de scan étendu","Expansão do Raio de Escaneamento da Sonda","Увеличенный радиус сканирования","扩展扫描半径(Expanded Scanning Radius)",""
"blueprint.horizons.type.short.long_range_fsd_interdictor","Long Range","Long Range","","Rango largo","Longue portée","Inteditor de MDD de Longo Alcance","Дальнобойное орудие","扩展拦截距离(Long Range)",""
"blueprint.horizons.type.short.faster_fsd_boot_sequence","Faster Boot","Faster Boot","","Inicio rápido","Démarrage accéléré","Sequência de Inicialização do MDD Mais Rápida","Последовательность быстрого запуска","快速启动(Faster Boot)",""
