"messageKey","","en","","","","","",""
"blueprint.name.artemis_suit_grade_1_2","Artemis Suit Grade 1>2","Artemis Suit Grade 1>2","Artemis Anzug Grade 1>2","","Combinaison Artemis Grade 1>2","Traje Artemis Grau 1>2","Комбинезон Artemis 1>2",""
"blueprint.name.artemis_suit_grade_2_3","Artemis Suit Grade 2>3","Artemis Suit Grade 2>3","Artemis Anzug Grad 2>3","","Combinaison Artemis Grade 2>3","Traje Artemis Grau 2>3","Комбинезон Artemis 2>3",""
"blueprint.name.artemis_suit_grade_3_4","Artemis Suit Grade 3>4","Artemis Suit Grade 3>4","Artemis Anzug Grad 3>4","","Combinaison Artemis Grade 3>4","Traje Artemis Grau 3>4","Комбинезон Artemis 3>4",""
"blueprint.name.artemis_suit_grade_4_5","Artemis Suit Grade 4>5","Artemis Suit Grade 4>5","Artemis Anzug Grad 4>5","","Combinaison Artemis Grade 4>5","Traje Artemis Grau 4>5","Комбинезон Artemis 4>5",""
"blueprint.name.audio_masking","Audio Masking","Audio Masking","Audio-Maskierung","Enmascaramiento de Audio","Camouflage sonore","Mascaramento de Áudio","Аудиомаскировка",""
"blueprint.name.combat_movement_speed","Combat Movement Speed","Combat Movement Speed","Kampfbewegungsgeschwindigkeit","Movimiento de velocidad de Combate","","Velocidade de Movimento de Combate","Скорость передвижения в бою",""
"blueprint.name.damage_resistance","Damage Resistance","Damage Resistance","Schadensresistenz","Resistancia al daño","Résistance aux dégâts","Resistência a Danos","Сопротивление урону",""
"blueprint.name.dominator_suit_grade_1_2","Dominator Suit Grade 1>2","Dominator Suit Grade 1>2","Dominator Anzug Grade 1>2","","Combinaison Dominator Grade 1>2","Traje Dominator Grau 1>2","Комбинезон Dominator 1>2",""
"blueprint.name.dominator_suit_grade_2_3","Dominator Suit Grade 2>3","Dominator Suit Grade 2>3","Dominator Anzug Grad 2>3","","Combinaison Dominator Grade 2>3","Traje Dominator Grau 2>3","Комбинезон Dominator 2>3",""
"blueprint.name.dominator_suit_grade_3_4","Dominator Suit Grade 3>4","Dominator Suit Grade 3>4","Dominator Anzug Grad 3>4","","Combinaison Dominator Grade 3>4","Traje Dominator Grau 3>4","Комбинезон Dominator 3>4",""
"blueprint.name.dominator_suit_grade_4_5","Dominator Suit Grade 4>5","Dominator Suit Grade 4>5","Dominator Anzug Grad 4>5","","Combinaison Dominator Grade 4>5","Traje Dominator Grau 4>5","Комбинезон Dominator 4>5",""
"blueprint.name.engineer_a1","A1. Domino Green","A1. Domino Green","","","","","A1. Домино Грин",""
"blueprint.name.engineer_a2","A2. Domino Green -> Kit Fowler","A2. Domino Green -> Kit Fowler","","","","","A2. Домино Грин -> Кит Фаулер",""
"blueprint.name.engineer_a3","A3. Kit Fowler","A3. Kit Fowler","","","","","A3. Кит Фаулер",""
"blueprint.name.engineer_a4","A4. Kit Fowler -> Yarden Bond","A4. Kit Fowler -> Yarden Bond","","","","","A4. Кит Фаулер -> Ярден Бонд",""
"blueprint.name.engineer_a5","A5. Yarden Bond","A5. Yarden Bond","","","","","A5. Ярден Бонд",""
"blueprint.name.engineer_b1","B1. Hero Ferrari","B1. Hero Ferrari","","","","","B1. Хиро Феррари",""
"blueprint.name.engineer_b2","B2. Hero Ferrari -> Wellington Beck","B2. Hero Ferrari -> Wellington Beck","","","","","B2. Хиро Феррари → Веллингтон Бек",""
"blueprint.name.engineer_b3","B3. Wellington Beck","B3. Wellington Beck","","","","","B3. Веллингтон Бек",""
"blueprint.name.engineer_b4","B4. Wellington Beck -> Uma Laszlo","B4. Wellington Beck -> Uma Laszlo","","","","","B4. Веллингтон Бек -> Ума Ласло",""
"blueprint.name.engineer_b5","B5. Uma Laszlo","B5. Uma Laszlo","","","","","B5. Ума Ласло",""
"blueprint.name.engineer_c1","C1. Jude Navarro","C1. Jude Navarro","","","","","C1. Джуд Наварро",""
"blueprint.name.engineer_c2","C2. Jude Navarro -> Terra Velasquez","C2. Jude Navarro -> Terra Velasquez","","","","","C2. Джуд Наварро -> Терра Веласкез",""
"blueprint.name.engineer_c3","C3. Terra Velasquez","C3. Terra Velasquez","","","","","C3. Терра Веласкез",""
"blueprint.name.engineer_c4","C4. Terra Velasquez -> Oden Geiger","C4. Terra Velasquez -> Oden Geiger","","","","","C4. Терра Веласкез → Оден Гейгер",""
"blueprint.name.engineer_c5","C5. Oden Geiger","C5. Oden Geiger","","","","","C5. Оден Гейгер",""
"blueprint.name.engineer_d1_1","D1.1. Baltanos ©","D1.1. Baltanos ©","","","","","D1.1. Балтанос ©",""
"blueprint.name.engineer_d1_2","D1.2. Rosa Dayette ©","D1.2. Rosa Dayette ©","","","","","D1.2. Роза Дайетт ©",""
"blueprint.name.engineer_d1_3","D1.3. Eleanor Bresa ©","D1.3. Eleanor Bresa ©","","","","","D1.3. Элеанор Бреса ©",""
"blueprint.name.engineer_d2","D2. Baltanos ©, Rosa ©, Eleanor © -> Yi Shen ©","D2. Baltanos ©, Rosa ©, Eleanor © -> Yi Shen ©","","","","","D2. Балтанос ©, Роза ©, Элеанор © -> И Шэнь ©",""
"blueprint.name.engineer_d3","D3. Yi Shen ©","D3. Yi Shen ©","","","","","D3. И Шэнь ©",""
"blueprint.name.enhanced_tracking","Enhanced Tracking","Enhanced Tracking","Verbessertes Tracking","Seguimiento Mejorado","Suivi amélioré","Rastreamento Melhorado","Улучшенное отслеживание",""
"blueprint.name.extra_ammo_capacity","Extra Ammo Capacity","Extra Ammo Capacity","Zusätzliche Munitionskapazität","Capacidad de munición adicional","Capacité des munitions accrue","Capacidade de Munição Extra","Дополнительные боеприпасы",""
"blueprint.name.extra_backpack_capacity","Extra Backpack Capacity","Extra Backpack Capacity","Zusätzliche Rucksackkapazität","Capacidad De Mochila Adicional","Capacité de sac a dos accrue","Capacidade Extra de Mochila","Повышенная вместимость рюкзака",""
"blueprint.name.faster_handling","Faster Handling","Faster Handling","Schnellere Handhabung","Manejo rápido","","Manuseio Acelerado","Улучшенное обращение с оружием",""
"blueprint.name.faster_shield_regen","Faster Shield Regen","Faster Shield Regen","Schnellere Schildregeneration","Regeneración de escudo rápida","Régénération des bouclier accélérée","Regeneração Rápida de Escudo","Быстрое восстановление щита",""
"blueprint.name.greater_range_kinetic","Greater Range (Kinetic)","Greater Range (Kinetic)","Größere Reichweite (Kinetik)","Mayor Alcance (Cinético)","Portée améliorée (Kinetic)","Alcance Maior (Cinético)","Улучшенная дальность (Кинетическое)",""
"blueprint.name.greater_range_laser","Greater Range (Laser)","Greater Range (Laser)","Größere Reichweite (Laser)","Mayor Alcance (Láser)","Portée améliorée (Laser)","Alcance Maior (Laser)","Улучшенная дальность (Лазерное)",""
"blueprint.name.greater_range_plasma","Greater Range (Plasma)","Greater Range (Plasma)","Größere Reichweite (Plasma)","Mayor Alcance (Plasma)","Portée améliorée (Plasma)","Alcance Maior (Plasma)","Улучшенная дальность (Плазменное)",""
"blueprint.name.headshot_damage_kinetic","Headshot Damage (Kinetic)","Headshot Damage (Kinetic)","Kopfschuss-Schaden (Kinetik)","Daño a la cabeza (Cinético)","","Dano de Tiro na Cabeça (Cinético)","Урон от выстрела в голову (Кинетический)",""
"blueprint.name.headshot_damage_laser","Headshot Damage (Laser)","Headshot Damage (Laser)","Kopfschussschaden (Laser)","Daño a la cabeza (Láser)","","Dano de Tiro na Cabeça (Laser)","Урон от выстрела в голову (Лазерный)",""
"blueprint.name.headshot_damage_plasma","Headshot Damage (Plasma)","Headshot Damage (Plasma)","Kopfschussschaden (Plasma)","Daño a la cabeza (Plasma)","","Dano de Tiro na Cabeça (Plasma)","Урон от выстрела в голову (Плазма)",""
"blueprint.name.higher_accuracy_kinetic","Improved Hip Fire Accuracy (Kinetic)","Improved Hip Fire Accuracy (Kinetic)","Verbesserte Hüftfeuergenauigkeit (Kinetik)","Precisión desde la cadera mejorada (Cinético)","Précision sans visée améliorée (Kinetic)","Precisão de Tiro sem Mirar Melhorada (Cinético)","Повышенная точность стрельбы от бедра (Кинетический)",""
"blueprint.name.higher_accuracy_laser","Improved Hip Fire Accuracy (Laser)","Improved Hip Fire Accuracy (Laser)","Verbesserte Hüftfeuergenauigkeit (Laser)","Precisión desde la cadera mejorada (Láser)","Précision sans visée améliorée (Laser)","Precisão de Tiro sem Mirar Melhorada (Laser)","Повышенная точность стрельбы от бедра (Лазерный)",""
"blueprint.name.higher_accuracy_plasma","Improved Hip Fire Accuracy (Plasma)","Improved Hip Fire Accuracy (Plasma)","Verbesserte Hüftfeuergenauigkeit (Plasma)","Precisión desde la cadera mejorada (Plasma)","Précision sans visée améliorée (Plasma)","Precisão de Tiro sem Mirar Melhorada (Plasma)","Повышенная точность стрельбы от бедра (Плазма)",""
"blueprint.name.improved_battery_capacity","Improved Battery Capacity","Improved Battery Capacity","Verbesserte Batteriekapazität","Mejora de capacidad de Batería","Capacité de batterie accrue","Capacidade de Bateria Melhorada","Улучшенная батарея",""
"blueprint.name.improved_jump_assist","Improved Jump Assist","Improved Jump Assist","Verbesserte Sprunghilfe","Mejora de asistencia de salto","","Assistência de Salto Melhorada","Улучшенная помощь при прыжке",""
"blueprint.name.increased_air_reserves","Increased Air Reserves","Increased Air Reserves","Erhöhte Luftreserven","Reservas de oxígeno aumentadas","","Reservas de ar aumentadas","Увеличенный запас воздуха",""
