"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"blueprint.description.added_melee_damage","Improves the damage dealt by fists and weapon strikes","Improves the damage dealt by fists and weapon strikes","Verbessert den Schaden, der durch Nahkampfangriffe verursacht wird","Mejora el daño infligido por puños y golpes de armas","Améliore les dégâts infligés par les poings et les coups d’arme","Melhora o dano causado por punhos e golpes de arma","Повышает урон от кулаков и удара прикладом оружия","提高拳击和武器近战攻击造成的伤害",""
"blueprint.description.artemis_suit_grade_1_2","Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorez la combinaison pour augmenter les emplacements d’ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, blindagem e resistências","Улучшение костюма, увеличивающее количество слотов, щита и все сопротивления","升级套装以增加工程师改造槽位、护盾强度和伤害抗性",""
"blueprint.description.artemis_suit_grade_2_3","Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorer la combinaison pour augmenter les emplacements d’ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, blindagem e resistências","Улучшение костюма, увеличивающее количество слотов, щита и все сопротивления","升级套装以增加工程师改造槽位、护盾强度和伤害抗性",""
"blueprint.description.artemis_suit_grade_3_4","Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorer la combinaison pour augmenter les emplacements d’ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, blindagem e resistências","Улучшение костюма, увеличивающее количество слотов, щита и все сопротивления","升级套装以增加工程师改造槽位、护盾强度和伤害抗性",""
"blueprint.description.artemis_suit_grade_4_5","Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorer la combinaison pour augmenter les emplacements d’ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, blindagem e resistências","Улучшение костюма, увеличивающее количество слотов, щита и все сопротивления","升级套装以增加工程师改造槽位、护盾强度和伤害抗性",""
"blueprint.description.audio_masking","Reduces the weapon’s simulated sound when fired in unpressurised environments","Reduces the weapon’s simulated sound when fired in unpressurised environments","Reduziert das simulierte Geräusch der Waffe, wenn es in Atmosphärenloser Umgebungen abgefeuert wird","Reduce el sonido simulado del arma cuando se dispara en entornos sin presión.","Réduit le son simulé de l’arme lorsqu’elle est tirée dans des environnements sans pression","Reduz o som simulado da arma quando disparada em ambientes não pressurizados","Полностью убирает слышимость выстрела из любого модифицированного оружия вне помещений (или если отключена атмосфера здания) на безатмосферной планете.","在真空环境中射击时降低武器的模拟声音大小",""
"blueprint.description.combat_movement_speed","Removes the movement penalty while aiming down sights","Removes the movement penalty while aiming down sights","Entfernt die Bewegungseinbuße beim Zielen durch das Visier","Elimina la penalización de movimiento al apuntar hacia abajo.","Supprime la pénalité de mouvement lors de la visée vers le bas","Remove a penalidade de movimento ao apontar para baixo","Убират штраф на передвижение во время прицеливания.","移除瞄准时的移动速度惩罚",""
"blueprint.description.damage_resistance","Increases protection against certain damage types. The higher your resistance is, the lower the damage reduction will be.","Increases protection against certain damage types. The higher your resistance is, the lower the damage reduction will be.","Erhöht den Schutz gegen bestimmte Schadensarten. Je höher Ihr Widerstand ist, desto geringer ist die Schadensreduzierung.","Aumenta la protección contra ciertos tipos de daño. Cuanto mayor sea su resistencia, menor será la reducción de daño.","Augmente la protection contre certains types de dommages. Plus votre résistance est élevée, plus la réduction des dégâts sera faible.","Aumenta a proteção contra certos tipos de danos. Quanto maior for sua resistência, menor será a redução de danos.","Увеличивает сопротивление определённым типам урона","增强对特定伤害类型的防护。你的抗性越高，得到的伤害减免就越低。",""
"blueprint.description.dominator_suit_grade_1_2","Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorez la combinaison pour augmenter les emplacements d’ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, escudo e resistências","Улучшение костюма, увеличивающее количество слотов, щита и все сопротивления","升级套装以增加工程师改造槽位、护盾强度和伤害抗性",""
"blueprint.description.dominator_suit_grade_2_3","Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorer la combinaison pour augmenter les emplacements d’ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, escudo e resistências","Улучшение костюма, увеличивающее количество слотов, щита и все сопротивления","升级套装以增加工程师改造槽位、护盾强度和伤害抗性",""
