"messageKey","","en","de","es","fr","pt","ru","zh"
"modifier.name.air_capacity","Air Capacity","Air Capacity","Luftkapazität","Capacidad de aire","Capacité aérienne","Capacidade de ar","Запас воздуха","空气储量"
"modifier.name.ammo_capacity_multiplier","Ammo Capacity Multiplier","Ammo Capacity Multiplier","Multiplikator für die Munitionskapazität","Multiplicador de capacidad de munición","Multiplicateur de capacité de munitions","Multiplicador de capacidade de munição","Добавляет ячейки боеприпасов","弹药容量倍率"
"modifier.name.backpack_component_capacity","Backpack Component Capacity","Backpack Component Capacity","Kapazität der Rucksackkomponente","Capacidad del componente de la mochila","Capacité des composants du sac à dos","Capacidade do componente da mochila","Вместимость активов","背包素材容量"
"modifier.name.backpack_data_capacity","Backpack Data Capacity","Backpack Data Capacity","Datenkapazität des Rucksacks","Capacidad de datos de la mochila","Capacité des données du sac à dos","Capacidade de dados da mochila","Вместимость данных","背包数据容量"
"modifier.name.backpack_item_capacity","Backpack Item Capacity","Backpack Item Capacity","Rucksack-Gegenstandskapazität","Capacidad del artículo de la mochila","Capacité de l’article du sac à dos","Capacidade do item de mochila","Вместимость товаров","背包物品容量"
"modifier.name.battery_energy_capacity","Battery Energy Capacity","Battery Energy Capacity","Batterieenergiekapazität","Capacidad de energía de la batería","Capacité énergétique de la batterie","Capacidade de energia da bateria","Ёмкость аккумулятора","电池能量容量"
"modifier.name.engineer_modification_slots","Engineer Modification Slots","Engineer Modification Slots","Engineer-Modifikations-Slots","Ranuras de modificación del ingeniero","Slots de modification d’ingénieur","Slots de modificação do engenheiro","Слоты для модификаций","工程师改造槽位"
"modifier.name.explosive_damage_reduction","Explosive Damage Reduction","Explosive Damage Reduction","Explosive Schadensreduzierung","Reducción de daño explosivo","Réduction des dégâts explosifs","Redução de danos explosivos","Снижение урона от взрывов","爆炸伤害减免"
"modifier.name.explosive_damage_resistance","Explosive Damage Resistance","Explosive Damage Resistance","Widerstand gegen Explosionsschaden","Resistencia al daño explosivo","Résistance aux dégâts explosifs","Resistência a danos explosivos","Сопротивление взрывному урону","爆炸伤害抗性"
"modifier.name.fists_melee_damage_multiplier","Fists Melee Damage Multiplier","Fists Melee Damage Multiplier","Fäuste Nahkampfschadensmultiplikator","Multiplicador de daño cuerpo a cuerpo de puños","Poings multiplicateur de dégâts de mêlée","Multiplicador de dano corpo a corpo de punhos","Множитель урона в ближнем бою кулаками","拳击近战伤害倍率"
"modifier.name.footstep_audible_range_multiplier","Footstep Audible Range Multiplier","Footstep Audible Range Multiplier","Akustischer Reichweitenmultiplikator","Multiplicador de rango audible de pasos","Multiplicateur de portée audible de pas","Multiplicador de alcance audível de passo","Множитель слышимости шагов","脚步声范围倍率"
"modifier.name.handling_speed","Handling Speed","Handling Speed","Handhabungsgeschwindigkeit","Velocidad de manipulación","Vitesse de gestion","Velocidade de manuseio","Скорость доставания/убирания оружия","操作性能"
"modifier.name.headshot_damage_multiplier","Headshot Damage Multiplier","Headshot Damage Multiplier","Kopfschuss-Schadensmultiplikator","Multiplicador de daño por disparo en la cabeza","Multiplicateur de dégâts par balle","Multiplicador de dano de tiro na cabeça","Множитель урона при попадании в голову","爆头伤害倍率"
"modifier.name.hip_fire_accuracy","Hip Fire Inaccuracy Reduction","Hip Fire Inaccuracy Reduction","Reduzierung von Hüftfeuerungenauigkeiten","Reducción de la inexactitud del fuego de cadera","Réduction de l’imprécision du tir de hanche","Redução de imprecisão do quadril","Снижение неточности при стрельбе от бедра","腰射扩散减成"
"modifier.name.instability","Instability","Instability","Instabilität","Inestabilidad","Instabilité","Instabilidade","Отдача","不稳定性"
"modifier.name.kinetic_damage_reduction","Kinetic Damage Reduction","Kinetic Damage Reduction","Kinetische Schadensreduzierung","Reducción de daño cinético","Réduction des dégâts cinétiques","Redução de danos cinética","Снижение кинетического урона","动能伤害减免"
"modifier.name.kinetic_damage_resistance","Kinetic Damage Resistance","Kinetic Damage Resistance","Kinetischer Schadenswiderstand","Resistencia al daño cinético","Résistance aux dégâts cinétiques","Resistência cinética a danos","Сопротивление кинетическому урону","动能伤害抗性"
"modifier.name.los_analysis_range","Los Analysis Range","Los Analysis Range","Verlustanalysebereich","Rango de análisis de Los","Plage d’analyse de perte","intervalo de análise Los","Дальность анализа для прицела","扫描范围"
"modifier.name.los_analysis_time","Los Analysis Time","Los Analysis Time","Verlustanalysezeit","Tiempo de análisis de Los","Temps d’analyse de perte","Tempo de Análise Los","Время анализа для прицела","扫描时间"
"modifier.name.magazine_size","Magazine Size","Magazine Size","Magazingröße","Tamaño de la revista","Taille du magazine","Tamanho do Carregador","Размер магазина","弹匣容量"
"modifier.name.movement_speed_penalty","Movement Speed Penalty","Movement Speed Penalty","Strafe für die Bewegungsgeschwindigkeit","Penalización de velocidad de movimiento","Pénalité de vitesse de déplacement","Penalidade de velocidade de movimento","Штраф к скорости передвижения","移动速度惩罚"
"modifier.name.plasma_damage_reduction","Plasma Damage Reduction","Plasma Damage Reduction","Reduzierung des Plasmaschadens","Reducción de daño de plasma","Réduction des dommages du plasma","Redução de danos de plasma","Снижение урона от плазмы","等离子伤害减免"
"modifier.name.plasma_damage_resistance","Plasma Damage Resistance","Plasma Damage Resistance","Plasmaschadensresistenz","Resistencia al daño del plasma","Résistance aux dommages du plasma","Resistência a danos de plasma","Сопротивление плазменному урону","等离子伤害抗性"
"modifier.name.reload_speed","Reload Speed","Reload Speed","Neuladegeschwindigkeit","Velocidad de recarga","Vitesse de rechargement","Velocidade de recarga","Скорость перезарядки","装填速度"
"modifier.name.reload_speed_aphelion","Reload Speed Aphelion","Reload Speed Aphelion","Neuladegeschwindigkeit Aphelion","Velocidad de recarga Aphelion","Vitesse de rechargement Aphelion","Velocidade de recarga Aphelion","Скорость перезарядки Aphelion","Aphelion装填速度"
"modifier.name.shield_health","Shield Health","Shield Health","Schildgesundheit","Salud del escudo","Santé du bouclier","Saúde do escudo","Мощность щита","护盾强度"
"modifier.name.shield_regeneration_rate","Shield Regeneration Rate","Shield Regeneration Rate","Schildregenerationsrate","Tasa de regeneración del escudo","Taux de régénération du bouclier","Taxa de regeneração do escudo","Скорость восстановления щита","护盾回充速率"
"modifier.name.sprint_duration","Sprint Duration","Sprint Duration","Sprintdauer","Duración del Sprint","Durée du sprint","Duração da Sprint","Продолжительность спринта","冲刺持续时间"
"modifier.name.thermal_damage_reduction","Thermal Damage Reduction","Thermal Damage Reduction","Thermische Schadensreduzierung","Reducción de daño térmico","Réduction des dommages thermiques","Redução de danos térmicos","Снижение теплового урона","热能伤害减免"
"modifier.name.thermal_damage_resistance","Thermal Damage Resistance","Thermal Damage Resistance","Thermische Schadensresistenz","Resistencia al daño térmico","Résistance aux dommages thermiques","Resistência a danos térmicos","Сопротивление тепловому урону","热能伤害抗性"
"modifier.name.tool_energy_drain_multiplier","Tool Energy Drain Multiplier","Tool Energy Drain Multiplier","Werkzeug-Energieentzug-Multiplikator","Multiplicador de drenaje de energía de la herramienta","Multiplicateur de drain d’énergie d’outil","Multiplicador de Drenagem de Energia da Ferramenta","Множитель энергопотребления инструмента","工具能量消耗倍率"
