"messageKey","","en","de","es","fr","pt","ru","zh"
"blueprint.name.artemis_suit_grade_1_2","Artemis Suit Grade 1>2","Artemis Suit Grade 1>2","","","","","",""
"blueprint.name.artemis_suit_grade_2_3","Artemis Suit Grade 2>3","Artemis Suit Grade 2>3","","","","","",""
"blueprint.name.artemis_suit_grade_3_4","Artemis Suit Grade 3>4","Artemis Suit Grade 3>4","","","","","",""
"blueprint.name.artemis_suit_grade_4_5","Artemis Suit Grade 4>5","Artemis Suit Grade 4>5","","","","","",""
"blueprint.name.audio_masking","Audio Masking","Audio Masking","","","","","",""
"blueprint.name.combat_movement_speed","Combat Movement Speed","Combat Movement Speed","","","","","",""
"blueprint.name.damage_resistance","Damage Resistance","Damage Resistance","","","","","",""
"blueprint.name.dominator_suit_grade_1_2","Dominator Suit Grade 1>2","Dominator Suit Grade 1>2","","","","","",""
"blueprint.name.dominator_suit_grade_2_3","Dominator Suit Grade 2>3","Dominator Suit Grade 2>3","","","","","",""
"blueprint.name.dominator_suit_grade_3_4","Dominator Suit Grade 3>4","Dominator Suit Grade 3>4","","","","","",""
"blueprint.name.dominator_suit_grade_4_5","Dominator Suit Grade 4>5","Dominator Suit Grade 4>5","","","","","",""
"blueprint.name.engineer_a1","A1. Domino Green","A1. Domino Green","","","","","",""
"blueprint.name.engineer_a2","A2. Domino Green -> Kit Fowler","A2. Domino Green -> Kit Fowler","","","","","",""
"blueprint.name.engineer_a3","A3. Kit Fowler","A3. Kit Fowler","","","","","",""
"blueprint.name.engineer_a4","A4. Kit Fowler -> Yarden Bond","A4. Kit Fowler -> Yarden Bond","","","","","",""
"blueprint.name.engineer_a5","A5. Yarden Bond","A5. Yarden Bond","","","","","",""
"blueprint.name.engineer_b1","B1. Hero Ferrari","B1. Hero Ferrari","","","","","",""
"blueprint.name.engineer_b2","B2. Hero Ferrari -> Wellington Beck","B2. Hero Ferrari -> Wellington Beck","","","","","",""
"blueprint.name.engineer_b3","B3. Wellington Beck","B3. Wellington Beck","","","","","",""
"blueprint.name.engineer_b4","B4. Wellington Beck -> Uma Laszlo","B4. Wellington Beck -> Uma Laszlo","","","","","",""
"blueprint.name.engineer_b5","B5. Uma Laszlo","B5. Uma Laszlo","","","","","",""
"blueprint.name.engineer_c1","C1. Jude Navarro","C1. Jude Navarro","","","","","",""
"blueprint.name.engineer_c2","C2. Jude Navarro -> Terra Velasquez","C2. Jude Navarro -> Terra Velasquez","","","","","",""
"blueprint.name.engineer_c3","C3. Terra Velasquez","C3. Terra Velasquez","","","","","",""
"blueprint.name.engineer_c4","C4. Terra Velasquez -> Oden Geiger","C4. Terra Velasquez -> Oden Geiger","","","","","",""
"blueprint.name.engineer_c5","C5. Oden Geiger","C5. Oden Geiger","","","","","",""
"blueprint.name.engineer_d1_1","D1.1. Baltanos ©","D1.1. Baltanos ©","","","","","",""
"blueprint.name.engineer_d1_2","D1.2. Rosa Dayette ©","D1.2. Rosa Dayette ©","","","","","",""
"blueprint.name.engineer_d1_3","D1.3. Eleanor Bresa ©","D1.3. Eleanor Bresa ©","","","","","",""
"blueprint.name.engineer_d2","D2. Baltanos ©, Rosa ©, Eleanor © -> Yi Shen ©","D2. Baltanos ©, Rosa ©, Eleanor © -> Yi Shen ©","","","","","",""
"blueprint.name.engineer_d3","D3. Yi Shen ©","D3. Yi Shen ©","","","","","",""
"blueprint.name.enhanced_tracking","Enhanced Tracking","Enhanced Tracking","","","","","",""
"blueprint.name.extra_ammo_capacity","Extra Ammo Capacity","Extra Ammo Capacity","","","","","",""
"blueprint.name.extra_backpack_capacity","Extra Backpack Capacity","Extra Backpack Capacity","","","","","",""
"blueprint.name.faster_handling","Faster Handling","Faster Handling","","","","","",""
"blueprint.name.faster_shield_regen","Faster Shield Regen","Faster Shield Regen","","","","","",""
"blueprint.name.greater_range_kinetic","Greater Range (Kinetic)","Greater Range (Kinetic)","","","","","",""
"blueprint.name.greater_range_laser","Greater Range (Laser)","Greater Range (Laser)","","","","","",""
"blueprint.name.greater_range_plasma","Greater Range (Plasma)","Greater Range (Plasma)","","","","","",""
"blueprint.name.headshot_damage_kinetic","Headshot Damage (Kinetic)","Headshot Damage (Kinetic)","","","","","",""
"blueprint.name.headshot_damage_laser","Headshot Damage (Laser)","Headshot Damage (Laser)","","","","","",""
"blueprint.name.headshot_damage_plasma","Headshot Damage (Plasma)","Headshot Damage (Plasma)","","","","","",""
"blueprint.name.higher_accuracy_kinetic","Improved Hip Fire Accuracy (Kinetic)","Improved Hip Fire Accuracy (Kinetic)","","","","","",""
"blueprint.name.higher_accuracy_laser","Improved Hip Fire Accuracy (Laser)","Improved Hip Fire Accuracy (Laser)","","","","","",""
"blueprint.name.higher_accuracy_plasma","Improved Hip Fire Accuracy (Plasma)","Improved Hip Fire Accuracy (Plasma)","","","","","",""
"blueprint.name.improved_battery_capacity","Improved Battery Capacity","Improved Battery Capacity","","","","","",""
"blueprint.name.improved_jump_assist","Improved Jump Assist","Improved Jump Assist","","","","","",""
