"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"blueprint.tips.engineer_a1","Take missions at a station and use Apex to fly you around between mission locations(settlements, you can't apex to a POI). You should relog after travelling 100Ly. You should receive a message from her afterwards.","Take missions at a station and use Apex to fly you around between mission locations(settlements, you can't apex to a POI). You should relog after travelling 100Ly. You should receive a message from her afterwards.","","Tome misiones en una estación y use Apex para volar entre los lugares de misión(Asentamientos, no puedes usar APEX a puntos de interés). Reinicia sesión después de viajar 100 Al. Después deberías recibir un mensaje con la invitación.","","","Берите миссии на станциях и используйте Apex для перемещения между локациями заданий (только поселения, вы не сможете прилететь в точки интереса). Необходимо перезайти в игру после достижения 100 св. л. После этого вы должны получить пригласительное сообщение.","",""
"blueprint.tips.engineer_a2","Take Odyssey missions(Larceny: Seize x from a hidden cache) that take you to an Irregular Marker (Smugglers Cache, 3 Container + Buggy). These are often rich in Push. If you do not complete the mission objective, you can reset this POI by relogging.","Take Odyssey missions(Larceny: Seize x from a hidden cache) that take you to an Irregular Marker (Smugglers Cache, 3 Container + Buggy). These are often rich in Push. If you do not complete the mission objective, you can reset this POI by relogging.","","Acepta misiones de Odyssey(Recuperación: Recoge 'X' de un alijo oculto) que te lleven a un Marcador Irregular (Alijo de contrabandistas, 3 contenedores y un SRV). Estos a menudo son ricos en Push. Si no completas el objetivo de la misión puedes restablecer el punto de interés reiniciando la sesión.","","","Возьмите миссии Odyssey (Хищение: Добудьте из тайника предмет), которые доставляют вас к Нестандартным меткам (тайник контрабандистов, 3 контейнера + ТРП). Они часто богаты Рывком. Если вы не выполнять цель миссии, то можно сбросить точку интереса, перезаходя в игру из меню.","",""
"blueprint.tips.engineer_a3","Opinion Polls are most often found in tourist settlements. Buying and selling the same Opinion Polls on a fleetcarrier repeatedly, owned by you or a friend, is a valid way to complete this objective. These are also available as mission rewards. A relog is required for this engineer to unlock in the app.","Opinion Polls are most often found in tourist settlements. Buying and selling the same Opinion Polls on a fleetcarrier repeatedly, owned by you or a friend, is a valid way to complete this objective. These are also available as mission rewards. A relog is required for this engineer to unlock in the app.","","Las Encuestas de Opinión se encuentran más comunmente en asentamientos turísticos. Comprar y vender la misma encuesta de opinión en un Portanaves repetidamente, sea tuyo o de un amigo, es un modo válido de completar este objetivo. También salen como recompensas de misión. Un reinicio de sesión suele ser requerido para desbloquear al ingeniero en el juego.","","","Опросы общественного мнения чаще всего встречаются в туристических поселениях. Покупка и продажа одних тех же Опросов мнения на флотоносцах, принадлежащих вам или другу, является рабочим способом для достижения цели. Они также доступны в качестве наград за миссию. Для разблокировки этого инженера требуется перезаход в игру из меню.","",""
"blueprint.tips.engineer_a4","Surveillance Equipment can often be found in OPR and CMD buildings. Its only other use is Night Vision, so you may be able to find a trade for it. These are also available as mission rewards.","Surveillance Equipment can often be found in OPR and CMD buildings. Its only other use is Night Vision, so you may be able to find a trade for it. These are also available as mission rewards.","","El equipo de vigilancia a menudo se puede encontrar en edificios OPR y CMD. Su único otro uso es la visión nocturna, por lo que es posible que pueda encontrar un intercambio para ello. También se obtiene de recompensas de misión.","","","Оборудование для наблюдения часто можно найти в зданиях OPR и CMD. Есть другое использование - модификация Ночного видения для костюма, поэтому вы можете обменять или купить. Так же доступны в виде награды за миссии.","",""
"blueprint.tips.engineer_a5","Smear Campaign Plans are most often found in tourist settlements. Buying and selling the same Smear Campaign Plans on a fleetcarrier repeatedly, owned by you or a friend, is a valid way to complete this objective. These are also available as mission rewards. Smear Campaign Plans are considered illegal and need to be sold in anarchy stations. A relog is required for this engineer to unlock in the app.","Smear Campaign Plans are most often found in tourist settlements. Buying and selling the same Smear Campaign Plans on a fleetcarrier repeatedly, owned by you or a friend, is a valid way to complete this objective. These are also available as mission rewards. Smear Campaign Plans are considered illegal and need to be sold in anarchy stations. A relog is required for this engineer to unlock in the app.","","Los Planes de Campaña de Desprestigio se encuentran comúnmente en asentamientos turísticos. Comprar y vender la misma encuesta de opinión en un Portanaves repetidamente, sea tuyo o de un amigo, es un modo válido de completar este objetivo. También se pueden obtener de recompensas de misión. Estos datos se consideran ilegales y tienen que ser vendidos a estaciones anárquicas. Un reinicio de sesión es necesario para desbloquear el ingeniero en el juego.","","","Планы кампании по дискредитации чаще всего встречаются в туристических поселениях. Покупка и продажа одних и тех же Планов кампании по дискредитации на принадлежащем вам или вашему другу флотоносце - рабочий способ выполнить это задание. Они также доступны в качестве награды за миссии. Планы кампании по дискредитации считаются незаконными и должны продаваться на станциях анархии. Для разблокировки этого инженера в приложении требуется повторный вход в игру.","",""
"blueprint.tips.engineer_b1","Talk to frontline solutions to take you to a low-intensity conflict zone. Note, however, that this actually tracks unique low-intensity comflict zones, not total low-intensity comflict zones, so you will need to go to a different conflict zone each time, which may mean travelling between systems a bit.","Talk to frontline solutions to take you to a low-intensity conflict zone. Note, however, that this actually tracks unique low-intensity comflict zones, not total low-intensity comflict zones, so you will need to go to a different conflict zone each time, which may mean travelling between systems a bit.","Sprechen Sie mit Frontline -Lösungen, um Sie in eine Konfliktzone zu bringen. Sie können am Ende nachgeben, um die Konfliktzone zurückzusetzen, bis Sie den erforderlichen Betrag abgeschlossen haben.","Hable con Frontline Solutions para llevarlo a una zona de conflicto de baja intensidad. Tenga en cuenta que se registran zonas de conflicto de baja intensidad únicas y no totales, por lo que tendra que ir a una zona diferente cada vez, lo cual puede significar viajar un poco entre sistemas","Parlez à Frontline Solutions pour vous emmener dans une zone de conflit. Vous pouvez vous reloger à la fin pour réinitialiser la zone de conflit jusqu’à ce que vous ayez terminé le montant nécessaire.","Fale com as soluções da linha de frente para levá -lo a uma zona de conflito. Você pode se lançar no final para redefinir a zona de conflito até concluir o valor necessário.","Поговорите с менеджером Frontline Solutions, чтобы отвезти вас в зону конфликта. В конце вы можете сбросить зону конфликта перезаходом в меню, пока не завершите необходимое количество битв. Необходимо отойти на расстояние от Зоны конфликта(около 500 метров), иниче вы появитесь на станции","和Frontline Solutions对话，让他带你去低烈度冲突区域(low-intensity conflict zone)。注意，这个任务实际上计数的是不同的低烈度冲突区域，而不是总共的低烈度冲突区域数量，所以你需要每次去一个不同的冲突区域，这可能意味着你需要在星系间跑几趟。",""
"blueprint.tips.engineer_b2","An easy way to collect Settlement Defense Plans is to go to a POI as part of a mission and not complete the mission objective, so the POI can be reset with a relog. You can take on foot missions to POIs with a dataport, or a ship mission to a POI with 2 dataports. The ship mission POI is called ’Minor Wreckage’ (no threat) and you can get it from ship missions called ’Liberate Bootleg Liqour’, ’Surface recovery of x during Civil War’, ’Surface retrieval of x during expansion’ or ’Wartime surface recovery of x’. It may take some time to find the correct location and when you do, the spawn chance may be around 1 in 4 relogs. Missions rewards are also a valid alternative.","An easy way to collect Settlement Defense Plans is to go to a POI as part of a mission and not complete the mission objective, so the POI can be reset with a relog. You can take on foot missions to POIs with a dataport, or a ship mission to a POI with 2 dataports. The ship mission POI is called ’Minor Wreckage’ (no threat) and you can get it from ship missions called ’Liberate Bootleg Liqour’, ’Surface recovery of x during Civil War’, ’Surface retrieval of x during expansion’ or ’Wartime surface recovery of x’. It may take some time to find the correct location and when you do, the spawn chance may be around 1 in 4 relogs. Missions rewards are also a valid alternative.","","La forma más fácil de recolectar planes de defensa de asentamiento es ir a un PDI como parte de una misión y no completar el objetivo de la misión, por lo que el PDI se puede restablecer con un Relog. Puede llevar misiones de Odyssey a PDI con un puerto de datos, o una misión de Horizons a un PDI con 2 puertos de datos. El PDI de Horizons se llama ’restos menores’ (sin amenaza) y puede obtenerlo de las misiones de horizontes llamadas ’locor de caña’, ’recuperación superficial de algo durante la guerra civil’, ’recuperación superficial de algo durante la expansión’ o ’recuperación de superficie de algo en tiempos de guerra’. Puede tomar algún tiempo encontrar la ubicación correcta y cuando lo haga, la oportunidad de generación puede ser de alrededor de 1 de cada 4 relogs. Las recomepnsas de misión también son una alternativa.","","","Простой способ собрать планы обороны поселений - пойти в планетарные точки интереса в рамках миссии и не выполнить цель миссии, чтобы точку интереса можно было сбросить с помощью перезахода в меню. Вы можете взять миссии Odyssey в точки интереса с Портом данных или миссией Horizons в точки интереса с двумя Портами данных. Точки интереса из Horizons называются «Место крушения» (без уровня угрозы), и вы можете получить его по миссий из Horizons под названием «Спасение Самогон», «Операция по спасению груза во время гражданской войны», «Операция по спасению груза во время расширения» или «Операция по спасению груза в военное время». Может потребоваться некоторое время, чтобы найти правильное местоположение, и когда вы это сделаете, вероятность появления Порта может составлять около 1 из 4. Так же доступны в виде награды за миссии.","",""
"blueprint.tips.engineer_b3","Media data are most often found in tourist settlements. Buying and selling the same Media on a fleetcarrier repeatedly, owned by you or a friend, is a valid way to complete this objective. These are also available as mission rewards. A relog is required for this engineer to unlock in the app.","Media data are most often found in tourist settlements. Buying and selling the same Media on a fleetcarrier repeatedly, owned by you or a friend, is a valid way to complete this objective. These are also available as mission rewards. A relog is required for this engineer to unlock in the app.","","Los datos de los medios de comunicación se encuentran con mayor frecuencia en los asentamientos turísticos. Comprar y vender los mismos Medios en un portanaves repetidamente, propiedad suya o de un amigo, es una forma válida de completar este objetivo. Estos también están disponibles como recompensas de misión. Se requiere un reinicio para que este ingeniero se desbloquee en el juego.","","","Опросы общественного мнения чаще всего встречаются в туристических поселениях. Покупка и продажа одних тех же Опросов мнения на флотоносцах, принадлежащих вам или другу, является рабочим способом для достижения цели. Они также доступны в качестве наград за миссию. Для разблокировки этого инженера требуется перезаход в игру из меню.","",""
"blueprint.tips.engineer_b4","Insight Entertainment Suite is most often found in tourist settlements. It is common and has no other use than unlocking engineers. If you haven’t collected enough by now, you are also likely able to find a trade for it. These are also available as mission rewards.","Insight Entertainment Suite is most often found in tourist settlements. It is common and has no other use than unlocking engineers. If you haven’t collected enough by now, you are also likely able to find a trade for it. These are also available as mission rewards.","","El Paquete de Entretenimiento Insight se encuentra comúnmente en asentamientos turísticos. Es común y no tiene otro uso que desbloquear ingenieros. También está disponible como recompensas de misiones.","","","Развлекательное устройство Insight чаще всего встречается в туристических поселениях. Оно распространенное и не имеет другого использования, кроме как разблокировать инженера. Если вы уже достаточно собрали достаточно, вы можете продавать остальное. Так же доступно в виде награды за миссии.","",""
"blueprint.tips.engineer_b5","Taking missions and abandoning them will help you quickly get an unfriendly reputation.","Taking missions and abandoning them will help you quickly get an unfriendly reputation.","","Tomar misiones y abandonarlas te ayudará a conseguir rápidamente una reputación Enemistada.","","","Принимая миссии и отменяя их, вы быстро получите негативную репутацию.","",""
