"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"colonisation.buildable.star_port_coriolis","Coriolis (medium)","","","Coriolis (mediano)","Coriolis (moyen)","","Кориолис (средний)","Coriolis（中）",""
"colonisation.buildable.star_port_asteroid_base","Asteroid base (medium)","","","Base de Asteroide (mediano)","Base astéroïde (moyen)","Base de asteróides (médio)","База на астероиде (средняя)","小行星基地（中）",""
"colonisation.buildable.star_port_ocellus","Ocellus (large)","","","Ocellus (grande)","Ocellus (grand)","","Оцеллус (большой)","Ocellus（大）",""
"colonisation.buildable.star_port_orbis","Orbis (large)","","","Orbis (Grande)","Orbis (grand)","","Орбис (большой)","Orbis（大）",""
"colonisation.buildable.outpost_commercial","Commercial (small)","","","Comercial (pequeño)","Commercial (petit)","","Коммерческая (малая)","商业（小）",""
"colonisation.buildable.outpost_industrial","Industrial (small)","","","Industrial (pequeño)","Industriel (petit)","","Промышленная (малая)","工业（小）",""
"colonisation.buildable.outpost_criminal","Criminal (small)","","","Criminal (pequeño)","Criminel (petit)","","Криминальная (малая)","犯罪（小）",""
"colonisation.buildable.outpost_civilian","Civilian (small)","","","Civil (pequeño)","Civil (petit)","","Гражданская (малая)","民用（小）",""
"colonisation.buildable.outpost_scientific","Scientific (small)","","","Científica (pequeño)","Scientifique (petit)","Científico (pequeno)","Научная (малая)","科研（小）",""
"colonisation.buildable.outpost_military","Military (small)","","","Militar (pequeño)","Militaire (petit)","","Военный аванпост (малый)","军事（小）",""
"colonisation.buildable.installation_satellite","Satellite (small)","","","Satélite (pequeño)","Satellite (petit)","","Спутник (малый)","卫星（小）",""
"colonisation.buildable.installation_communication_station","Communication station (small)","","","Estación de Comunicaciones (pequeño)","Station de communication (petit)","","Станция связи (малая)","通信站（小）",""
"colonisation.buildable.installation_space_farm","Space farm (small)","","","Granja Espacial (pequeño)","Ferme spatiale (petit)","","Космическая ферма (малая)","太空农场（小）",""
"colonisation.buildable.installation_pirate_base","Pirate base (small)","","","Base Pirata (pequeño)","Base pirate (petit)","","База пиратов (малая)","海盗基地（小）",""
"colonisation.buildable.installation_mining_outpost","Mining outpost (small)","","","Base Espacial Minería (pequeño)","Avant-poste minier (petit)","","Шахтерская станция (малая)","采矿前哨（小）",""
