"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"colonisation.layout.no_truss","No truss","","","Sin Celosía","Sans armature","","Без поддержки","无摆臂","Წამწეს გარეშე"
"colonisation.layout.dual_truss","Dual truss","","","Celosía Doble","Armature double","","Двойная ферма","双摆臂","ორმაგი წამწე"
"colonisation.layout.quad_truss","Quad truss","","","Celosía Cuádruple","Armature quadruple","","Квадроферма","四摆臂","ოთხმაგი წამწე"
"colonisation.layout.asteroid","Asteroid","","","Asteroide","Astéroïde","","База на астероиде","小行星","ასტეროიდი"
"colonisation.layout.ocellus","Ocellus","","","","Ocellus","","Оцеллус","","Ocellus"
"colonisation.layout.apollo","Apollo","","","","Apollo","","Apollo","","Apollo"
"colonisation.layout.artemis","Artemis","","","","Artemis","","Artemis","","Artemis"
"colonisation.layout.plutus","Plutus","","","","Plutus","","Plutus","","Plutus"
"colonisation.layout.vulcan","Vulcan","","","","Vulcan","","Vulcan","","Vulcan"
"colonisation.layout.dysnomia","Dysnomia","","","","Dysnomia","","Dysnomia","","Dysnomia"
"colonisation.layout.vesta","Vesta","","","","Vesta","","Vesta","","Vesta"
"colonisation.layout.prometheus","Prometheus","","","","Prometheus","","Prometheus","","Prometheus"
"colonisation.layout.nemesis","Nemesis","","","","Nemesis","","Nemesis","","Nemesis"
"colonisation.layout.hermes","Hermes","","","","Hermes","","Hermes","","Hermes"
"colonisation.layout.angelia","Angelia","","","","Angelia","","Angelia","","Angelia"
"colonisation.layout.eirene","Eirene","","","","Eirene","","Eirene","","Eirene"
"colonisation.layout.pistis","Pistis","","","","Pistis","","Pistis","","Pistis"
"colonisation.layout.soter","Soter","","","","Soter","","Soter","","Soter"
"colonisation.layout.aletheia","Aletheia","","","","Aletheia","","Aletheia","","Aletheia"
"colonisation.layout.demeter","Demeter","","","","Demeter","","Demeter","","Demeter"
"colonisation.layout.apate","Apate","","","","Apate","","Apate","","Apate"
"colonisation.layout.laverna","Laverna","","","","Laverna","","Laverna","","Laverna"
"colonisation.layout.euthenia","Euthenia","","","","Euthenia","","Euthenia","","Euthenia"
