"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"commander.reputation.federation","Federation","","","","","","Федерация","",""
"commander.reputation.empire","Empire","","","","","","Империя","",""
"commander.reputation.alliance","Alliance","","","","","","Альянс","",""
"commander.reputation.independent","Independent","","","","","","Независимые","",""
"commander.reputation.level.allied","Allied","","","","","","Союзник","",""
"commander.reputation.level.friendly","Friendly","","","","","","Дружественный","",""
"commander.reputation.level.cordial","Cordial","","","","","","Приветливый","",""
"commander.reputation.level.neutral","Neutral","","","","","","Нейтральный","",""
"commander.reputation.level.unfriendly","Unfriendly","","","","","","Недружественный","",""
"commander.reputation.level.hostile","Hostile","","","","","","Враждебный","",""
