"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"economy.agri","Agriculture","","","Agricultura","Agriculture","Agricultura","Сельское хозяйство","农业","სოფლის მეურნეობა"
"economy.colony","Colony","","","Colonia","Colonie","Colônia","Колония","殖民地","კოლონია"
"economy.extraction","Extraction","","","Extracción","Extraction","Extração","Добыча ископаемых","开采","სამთო მოპოვება"
"economy.hightech","High Tech","","","Alta Tecnología","Haute technologie","Alta Tecnología","Высокие технологии","高科技","მაღალტექნოლოგიური"
"economy.industrial","Industrial","","","Industrial","Industriel","","Промышленность","工业","სამრეწველო"
"economy.military","Military","","","Militar","Militaire","Militar","Военная","军事","სამხედრო"
"economy.refinery","Refinery","","","Refineria","Raffinerie","Refinaria","Переработка","精炼","გადამუᲨავება"
"economy.service","Service","","","Servicios","Services","Serviços","Сфера услуг","服务","მომსახურება"
"economy.terraforming","Terraforming","","","Terraformación","Terraformation","Terraformação","Терраформирование","环境改造","ტერაფორმირება"
"economy.tourism","Tourism","","","Turismo","Tourisme","Turismo","Туризм","旅游","ტურიზმი"
"economy.prison","Prison","","","Prisión","Centre de détention","Prisão","Тюрьма","监狱","ციხე"
"economy.damaged","Damaged","","","Dañado","Endommagé","Denificado","Поврежденная","受损","დაზიანებული"
"economy.rescue","Rescue","","","Rescate","Sauvetage","Resgate","Спасательный корабль","救援","სამაშველო გემი"
"economy.repair","Repair","","","Reparación","Réparation","Reparo","Ремонт","维修","შეკეთება"
"economy.carrier","Private Enterprise","","","Empresa Privada","Entreprise privée","Empresa Privada","Частное предприятие","私人企业","კერძო საწარმო"
"economy.engineer","Engineering","","","Ingeniería","Ingénierie","Engenharia","Инженерное дело","工程","ინᲟინერია"
"economy.none","None","","","Ninguna","Aucune","Nenhuma","Нет","无","არცერთი"
"economy.unknown","Unknown","","","Desconocida","Inconnue","Desconhecida","Неизвестно","未知","ამოუცნობი"
