"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"empire.rank.none","None","","","","","","Нет ранга","",""
"empire.rank.outsider","Outsider","","","","","","Чужак","",""
"empire.rank.serf","Serf","","","","","","Крепостной","",""
"empire.rank.master","Master","","","","","","Мастер","",""
"empire.rank.squire","Squire","","","","","","Оруженосец","",""
"empire.rank.knight","Knight","","","","","","Рыцарь","",""
"empire.rank.lord","Lord","","","","","","Лорд","",""
"empire.rank.baron","Baron","","","","","","Барон","",""
"empire.rank.viscount","Viscount","","","","","","Виконт","",""
"empire.rank.count","Count","","","","","","Граф","",""
"empire.rank.earl","Earl","","","","","","Эрл","",""
"empire.rank.marquis","Marquis","","","","","","Маркиз","",""
"empire.rank.duke","Duke","","","","","","Герцог","",""
"empire.rank.prince","Prince","","","","","","Принц","",""
"empire.rank.king","King","","","","","","Король","",""
