messageKey,,en,de,es,fr,pt,ru
faction.state.unknown,Unknown,,,,,,
faction.state.none,None,,,,,,
faction.state.boom,Boom,,,,,,
faction.state.bust,Bust,,,,,,
faction.state.civilunrest,Civil Unrest,,,,,,
faction.state.civilwar,Civil War,,,,,,
faction.state.election,Election,,,,,,
faction.state.expansion,Expansion,,,,,,
faction.state.famine,Famine,,,,,,
faction.state.investment,Investment,,,,,,
faction.state.lockdown,Lockdown,,,,,,
faction.state.outbreak,Outbreak,,,,,,
faction.state.retreat,Retreat,,,,,,
faction.state.war,War,,,,,,
faction.state.civilliberty,Civil Liberty,,,,,,
faction.state.pirateattack,Pirate Attack,,,,,,
faction.state.blight,Blight,,,,,,
faction.state.drought,Drought,,,,,,
faction.state.infrastructurefailure,Infrastructure Failure,,,,,,
faction.state.naturaldisaster,Natural Disaster,,,,,,
faction.state.publicholiday,Public Holiday,,,,,,
faction.state.terrorism,Terrorist Attack,,,,,,
faction.state.coldwar,Cold War,,,,,,
faction.state.colonisation,Colonisation,,,,,,
faction.state.historicevent,Historic Event,,,,,,
faction.state.revolution,Revolution,,,,,,
faction.state.technologicalleap,Technological Leap,,,,,,
faction.state.tradewar,Trade War,,,,,,
