"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"federation.rank.none","None","","","","","","Нет ранга","",""
"federation.rank.recruit","Recruit","","","","","","Рекрут","",""
"federation.rank.cadet","Cadet","","","","","","Кадет","",""
"federation.rank.midshipman","Midshipman","","","","","","Гардемарин","",""
"federation.rank.petty_officer","Petty Officer","","","","","","Старшина","",""
"federation.rank.chief_petty_officer","Chief Petty Officer","","","","","","Главный старшина","",""
"federation.rank.warrant_officer","Warrant Officer","","","","","","Уорент-офицер","",""
"federation.rank.ensign","Ensign","","","","","","Энсин","",""
"federation.rank.lieutenant","Lieutenant","","","","","","Лейтенант","",""
"federation.rank.lieutenant_commander","Lieutenant Commander","","","","","","Капитан-лейтенант","",""
"federation.rank.post_commander","Post Commander","","","","","","Начальник гарнизона","",""
"federation.rank.post_captain","Post Captain","","","","","","Командир корабля","",""
"federation.rank.rear_admiral","Rear Admiral","","","","","","Контр-адмирал","",""
"federation.rank.vice_admiral","Vice Admiral","","","","","","Вице-адмирал","",""
"federation.rank.admiral","Admiral","","","","","","Адмирал","",""
