"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"government.anarchy","Anarchy","","Anarchie","Anarquía","Anarchie","Anarquía","Анархия","Anarchy","ანარქია"
"government.communism","Communism","","Kommunismus","Comunismo","Communisme","Comunismo","Коммунизм","Communism","კომუნიზმი"
"government.confederacy","Confederacy","","Konföderation","Confederación","Confédération","Confederação","Конфедерация","Confederacy","კონფედერაცია"
"government.cooperative","Cooperative","","Genossenschaft","Cooperativa","Coopérative","Cooperativa","Кооперация","Cooperative","Cooperative"
"government.corporate","Corporate","","Unternehmensnetzwerk","Corporación","Corporation","Corporativo","Корпоративная","Corporate","Corporate"
"government.democracy","Democracy","","Demokratie","Democracia","Démocratie","Democracia","Демократия","Democracy","დემოკრატია"
"government.dictatorship","Dictatorship","","Diktatur","Dictadura","Dictature","Ditadura","Диктатура","Dictatorship","დიქტატურა"
"government.feudal","Feudal","","Feudalsystem","Feudal","Société féodale","","Феодализм","Feudal","ფეოდალური"
"government.imperial","Imperial","","Imperial","Imperial","Impérial","","Имперская","Imperial","იმპერიალური"
"government.none","None","","Keine","Ninguna","Aucun","Nenhum","Нет","无","არცერთი"
"government.patronage","Patronage","","Patronat","Patronazgo","Société clientéliste","Patronagem","Патронаж","Patronage","Patronage"
"government.prisoncolony","Prison Colony","","Sträflingskolonie","Colonia Penal","Colonie pénitentiaire","Colônia Penal","Тюремная колония","Prison Colony","ციხის კოლონია"
"government.theocracy","Theocracy","","Theokratie","Teocracia","Théocratie","Teocracia","Теократия","Theocracy","თეოკრატია"
"government.engineer","Engineer","","Ingenieure","Ingeniería","Ingénieur","Engenharia","Мастерская","Engineer","Engineer"
"government.privateownership","Private Ownership","","Privateigentum","Propiedad Privada","Propriété privée","Propriedade Privada","Частная собственность","Private Ownership","კერძო საკუთრება"
"government.megaconstruction","Megaconstruction","","","","","","Мегаконструкция","","მეგაკონსტრუქცია"
"government.prison","Prison","","","","","","Тюремная колония","","ციხის კოლონია"
"government.unknown","Unknown","","Unbekannt","Desconocida","Inconnu","Desconhecida","Неизвестно","未知","უცნობი"
