"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"import.type.horizonswishlist","ship wishlist","","","lista de deseos de naves","","","Корабль - Список желаний","舰船愿望单",""
"import.type.wishlist","loadout wishlist","","","lista de deseos de equipamiento","","","Личное снаряжение - Список желаний","配装愿望单",""
"import.type.loadout","loadout","","","equipamiento","","","Личное снаряжение","配装",""
"import.type.ship","ship build","","","build de nave","","","Сборка корабля","配船",""
"import.type.edsy","ship wishlist from EDSY","","","lista de deseos desde EDSY","","","Корабельный список желаний из EDSY","来自EDSY的舰船愿望单",""
"import.type.coriolis","ship wishlist from Coriolis","","","lista de deseos desde Coriolis","","","Корабельный список желаний из Coriolis","来自Coriolis的舰船愿望单",""
"import.type.pinconfig","engineer pin configuration","","","configuración de fijación de ingeniero","","","Конфигурация закрепленных инженеров ","工程师蓝图固定配置",""
"import.type.capi","capi","","","capi","","","CAPI","capi",""
"import.type.sponsor","sponsor","","","patrocinador","","","спонсор","",""
"import.type.unknown","Unknown","","","Desconocido","","","Неизвестно","未知",""
