"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"loadout.equipment.name.artemis","Artemis Suit","Artemis Suit","","Traje Artemis","Combinaison Artemis","Traje Artemis","Комбинезон Artemis","Artemis套装","Artemis სკაფანდრი"
"loadout.equipment.name.dominator","Dominator Suit","Dominator Suit","","Traje Dominator","Combinaison Dominator","Traje Dominator","Комбинезон Dominator","Dominator套装","Dominator სკაფანდრი"
"loadout.equipment.name.flightsuit","Flight Suit","Flight Suit","","Traje de vuelo","Combinaison de vol","Traje Voador","Лётный комбинезон","飞行服","საფრენი სკაფანდრი"
"loadout.equipment.name.kinematic_ar50","Kinematic AR-50","Kinematic AR-50","Kinematik AR-50","Cinética AR-50","Cinématique AR-50","Cinemático AR-50","Kinematic AR-50","Kinematic AR-50","Kinematic AR-50"
"loadout.equipment.name.kinematic_c44","Kinematic C-44","Kinematic C-44","Kinematik C-44","Cinética C-44","Cinématique C-44","Cinemático C-44","Kinematic C-44","Kinematic C-44","Kinematic C-44"
"loadout.equipment.name.kinematic_l6","Kinematic L-6","Kinematic L-6","Kinematik L-6","Cinética L-6","Cinématique L-6","Cinemático L-6","Kinematic L-6","Kinematic L-6","Kinematic L-6"
"loadout.equipment.name.kinematic_p15","Kinematic P-15","Kinematic P-15","Kinematik P-15","Cinética P-15","Cinématique P-15","Cinemático P-15","Kinematic Р-15","Kinematic P-15","Kinematic P-15"
"loadout.equipment.name.manticore_executioner","Manticore Executioner","Manticore Executioner","","Manticore Executioner","Exécuteur Manticore","","Manticore Executioner","Manticore Executioner","Manticore Executioner"
"loadout.equipment.name.manticore_intimidator","Manticore Intimidator","Manticore Intimidator","","Manticore Intimidator","Intimidateur Manticore","Intimidador Manticore","Manticore Intimidator","Manticore Intimidator","Manticore Intimidator"
"loadout.equipment.name.manticore_oppressor","Manticore Oppressor","Manticore Oppressor","Manticore Unterdrücker","Manticore Oppressor","Oppresseur Manticore","Opressor Manticore","Manticore Oppressor","Manticore Oppressor","Manticore Oppressor"
"loadout.equipment.name.manticore_tormentor","Manticore Tormentor","Manticore Tormentor","Manticore Peiniger","Manticore Tormentor","Tormenteur Manticore","Tormentador Manticore","Manticore Tormentor","Manticore Tormentor","Manticore Tormentor"
"loadout.equipment.name.maverick","Maverick Suit","Maverick Suit","","Traje Maverick","Combinaison Maverick","Traje Maverick","Комбинезон Maverick","Maverick套装","Maverick სკაფანდრი"
"loadout.equipment.name.takada_aphelion","Takada Aphelion","Takada Aphelion","","Takada Aphelion","Takada Aphelion","","Takada Aphelion","Takada Aphelion","Takada Aphelion"
"loadout.equipment.name.takada_eclipse","Takada Eclipse","Takada Eclipse","","Takada Eclipse","Takada Eclipse","","Takada Eclipse","Takada Eclipse","Takada Eclipse"
"loadout.equipment.name.takada_zenith","Takada Zenith","Takada Zenith","","Takada Zenith","Takada Zenith","","Takada Zenith","Takada Zenith","Takada Zenith"
