"messageKey","","en","","","","","",""
"loadout.stat.value.class.carbine","Carbine","Carbine","Karabiner","Carabina","Carabine","","Карабин",""
"loadout.stat.value.class.launcher","Launcher","Launcher","","Lanzador","Lanceur","","Ракетница",""
"loadout.stat.value.class.pistol","Pistol","Pistol","","Pistola","Pistolet","","Пистолет",""
"loadout.stat.value.class.rifle","Rifle","Rifle","","","Fusil","","Винтовка",""
"loadout.stat.value.class.shotgun","Shotgun","Shotgun","","Escopeta","Fusil de chasse","","Дробовик",""
"loadout.stat.value.class.sniper","Sniper","Sniper","Scharfschütze","Francotirador","Tireur d’élite","","Снайперская винтовка",""
"loadout.stat.value.damage_type.explosive","Explosive","Explosive","Explosiv","Explosivo","Explosif","Explosivo","Взрывной",""
"loadout.stat.value.damage_type.kinetic","Kinetic","Kinetic","","Cinética","Cinétique","Cinético","Кинетический",""
"loadout.stat.value.damage_type.plasma","Plasma","Plasma","","","","","Плазма",""
"loadout.stat.value.damage_type.thermal","Thermal","Thermal","","Térmico","Thermique","Térmica","Тепловой",""
"loadout.stat.value.fire_mode.automatic","Automatic","Automatic","Automatisch","Automático","Automatique","Automático","Автоматический",""
"loadout.stat.value.fire_mode.burst","Burst","Burst","","Ráfaga","Rafale","","Взрывной",""
"loadout.stat.value.fire_mode.semi-automatic","Semi-automatic","Semi-automatic","Halbautomatisch","Semiautomático","Semi-automatique","Semiautomático","Полуавтоматический",""
"loadout.stat.value.type.primary","Primary","Primary","","Primario","Primaire","Primário","Основное",""
"loadout.stat.value.type.secondary","Secondary","Secondary","","Secundario","Secondaire","Secundário","Дополнительное",""
