"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"loadout.modification.name.added_melee_damage","Added Melee Damage","Added Melee Damage","Nahkampfschaden hinzugefügt","Daño cuerpo a cuerpo agregado","Ajout de dégâts de mêlée","Adicionado dano corpo a corpo","Дополнительный урон в ближнем бою","近战伤害提升",""
"loadout.modification.name.audio_masking","Audio Masking","Audio Masking","Audio-maskierung","Enmascaramiento de audio","Masquage audio","Mascaramento de áudio","Аудиомаскировка","噪音屏蔽",""
"loadout.modification.name.combat_movement_speed","Combat Movement Speed","Combat Movement Speed","Kampf bewegungs-geschwindigkeit","Velocidad de movimiento de combate","Vitesse de mouvement de combat","Velocidade de movimento de combate","Скорость передвижения в бою","战斗移速",""
"loadout.modification.name.damage_resistance","Damage Resistance","Damage Resistance","Schadenswiderstand","Resistencia al daño","Résistance aux dommages","Resistência a danos","Сопротивление урону","伤害抗性",""
"loadout.modification.name.enhanced_tracking","Enhanced Tracking","Enhanced Tracking","Erweitertes Tracking","Seguimiento mejorado","Suivi amélioré","Rastreamento aprimorado","Улучшенное отслеживание","强化追踪",""
"loadout.modification.name.extra_ammo_capacity","Extra Ammo Capacity","Extra Ammo Capacity","Zusätzliche Munitions-kapazität","Capacidad de munición adicional","Capacité de munitions supplémentaire","Capacidade de Munição Extra","Дополнительные боеприпасы","额外弹药容量",""
"loadout.modification.name.extra_backpack_capacity","Extra Backpack Capacity","Extra Backpack Capacity","Zusätzliche Rucksackkapazität","Capacidad adicional de la mochila","Capacité supplémentaire du sac à dos","Capacidade Extra da Mochila","Повышенная вместимость рюкзака","额外背包容量",""
"loadout.modification.name.faster_handling","Faster Handling","Faster Handling","Schnellere Handhabung","Manejo más rápido","Gestion plus rapide","Manuseio Acelerado","Улучшенное обращение с оружием","快速拔枪",""
"loadout.modification.name.faster_shield_regen","Faster Shield Regen","Faster Shield Regen","Schnellere Schildregeneration","Regeneración de escudo más rápida","Régénération plus rapide du bouclier","Regeneração de escudo mais rápida","Быстрое восстановление щита","加快护盾回充",""
"loadout.modification.name.greater_range_kinetic","Greater Range","Greater Range","Größere Reichweite","Mayor rango","Grande plage","Maior alcance","Улучшенная дальность","强化射程",""
"loadout.modification.name.greater_range_laser","Greater Range","Greater Range","Größere Reichweite","Mayor rango","Plus grande plage","Maior alcance","Улучшенная дальность","强化射程",""
"loadout.modification.name.greater_range_plasma","Greater Range","Greater Range","Größere Reichweite","Mayor rango","Grande plage","Maior alcance","Улучшенная дальность","强化射程",""
"loadout.modification.name.headshot_damage_kinetic","Headshot Damage","Headshot Damage","Kopfschussschaden","Daño por disparo en la cabeza","Dégâts par balle","Danos de tiro na cabeça","Урон от выстрела в голову","爆头伤害",""
"loadout.modification.name.headshot_damage_laser","Headshot Damage","Headshot Damage","Kopfschussschaden","Daño por disparo en la cabeza","Dégâts par balle","Danos de tiro na cabeça","Урон от выстрела в голову","爆头伤害",""
