"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"loadout.stat.value.class.carbine","Carbine","Carbine","Karabiner","Carabina","Carabine","","Карабин","卡宾枪","კარაბინი"
"loadout.stat.value.class.launcher","Launcher","Launcher","","Lanzador","Lanceur","","Ракетница","火箭发射器","სარაკეტო გამშვები"
"loadout.stat.value.class.pistol","Pistol","Pistol","","Pistola","Pistolet","","Пистолет","手枪","პიშტოლეტი"
"loadout.stat.value.class.rifle","Rifle","Rifle","","Rifle","Fusil","","Винтовка","步枪","თოფი"
"loadout.stat.value.class.shotgun","Shotgun","Shotgun","","Escopeta","Fusil de chasse","","Дробовик","霰弹枪","ვინჩესტერი"
"loadout.stat.value.class.sniper","Sniper","Sniper","Scharfschütze","Francotirador","Tireur d’élite","","Снайперская винтовка","狙击枪","სნაიპერის თოფი"
"loadout.stat.value.damage_type.explosive","Explosive","Explosive","Explosiv","Explosivo","Explosif","Explosivo","Взрывной","爆炸","ასაფეთქებელი"
"loadout.stat.value.damage_type.kinetic","Kinetic","Kinetic","","Cinética","Cinétique","Cinético","Кинетический","动能","კინეტიკური"
"loadout.stat.value.damage_type.plasma","Plasma","Plasma","","Plasma","Plasma","","Плазма","等离子","პლაზმა"
"loadout.stat.value.damage_type.thermal","Thermal","Thermal","","Térmico","Thermique","Térmica","Тепловой","热能","თერმული"
"loadout.stat.value.fire_mode.automatic","Automatic","Automatic","Automatisch","Automático","Automatique","Automático","Автоматический","全自动","ავტომატური"
"loadout.stat.value.fire_mode.burst","Burst","Burst","","Ráfaga","Rafale","","Взрывной","短连射","Burst"
"loadout.stat.value.fire_mode.semi-automatic","Semi-automatic","Semi-automatic","Halbautomatisch","Semiautomático","Semi-automatique","Semiautomático","Полуавтоматический","半自动","ნახევრად ავტომატური"
"loadout.stat.value.type.primary","Primary","Primary","","Primario","Primaire","Primário","Основное","主武器","ძირითადი"
"loadout.stat.value.type.secondary","Secondary","Secondary","","Secundario","Secondaire","Secundário","Дополнительное","副武器","დამატებითი"
