"messageKey","","en","de","es","fr","pt","ru","zh"
"material.category.alloys","Alloys","Alloys","Legierungen","Aleaciones","Alliages","Ligas","Сплавы","合金"
"material.category.capacitors","Capacitors","Capacitors","Kondensatoren","Capacitadores","Condensateurs","Capacitores","Конденсаторы","电容"
"material.category.chemical","Chemical","Chemical","Chemikalie","Químico","Chimique","Químico","Химикаты","化学"
"material.category.commodity","Commodities","Commodities","Waren","Mercancías","Marchandises","Mercadorias","Товары","商品"
"material.category.composite","Composite","Composite","Zusammengesetzt","Compuestos","","Composto","Композиты","复合材料"
"material.category.conductive","Conductive","Conductive","Leitfähig","Conductivo","Conducteur","Condutores","Проводящие","导体"
"material.category.crystals","Crystals","Crystals","Kristalle","Cristales","Cristaux","Cristais","Кристаллы","水晶"
"material.category.data_archives","Data Archives","Data Archives","Datenarchive","Archivos de datos","Archives de données","Arquivos de Dados","Архивы данных","数据档案"
"material.category.emission_data","Emission Data","Emission Data","Emissionsdaten","Datos de emisión","Données d’émission","Dados de Emissão","Данные об излучении","排放数据"
"material.category.encoded_firmware","Encoded Firmware","Encoded Firmware","Kodierte Firmware","Firmware codificado","Firmware encodé","Firmware codificado","Зашифрованная микропрограмма","编码固件"
"material.category.encryption_files","Encryption Files","Encryption Files","Verschlüsselungsdateien","Ficheros encriptados","Fichiers de chiffrement","Arquivos Criptográficos","Файлы шифрования","加密文件"
"material.category.guardian","Guardian","Guardian","","","","","Стражи","守护者"
"material.category.heat","Heat","Heat","Hitze","Calor","Chaleur","Calor","Тепло","导热"
"material.category.mechanical_components","Mechanical Components","Mechanical Components","Mechanische Komponenten","Componentes mecánicos","Composants mécaniques","Componentes Mecânicos","Механические компоненты","机械元件"
"material.category.raw_1","Raw Category 1","Raw Category 1","Rohmaterialien 1","Elemento 1","Matériaux bruts 1","Material bruto 1","Сырьё 1 категории","元素1"
"material.category.raw_2","Raw Category 2","Raw Category 2","Rohmaterialien 2","Elemento 2","Matériaux bruts 2","Material bruto 2","Сырьё 2 категории","元素2"
"material.category.raw_3","Raw Category 3","Raw Category 3","Rohmaterialien 3","Elemento 3","Matériaux bruts 3","Material bruto 3","Сырьё 3 категории","元素3"
"material.category.raw_4","Raw Category 4","Raw Category 4","Rohmaterialien 4","Elemento 4","Matériaux bruts 4","Material bruto 4","Сырьё 4 категории","元素4"
"material.category.raw_5","Raw Category 5","Raw Category 5","Rohmaterialien 5","Elemento 5","Matériaux bruts 5","Material bruto 5","Сырьё 5 категории","元素5"
"material.category.raw_6","Raw Category 6","Raw Category 6","Rohmaterialien 6","Elemento 6","Matériaux bruts 6","Material bruto 6","Сырьё 6 категории","元素6"
"material.category.raw_7","Raw Category 7","Raw Category 7","Rohmaterialien 7","Elemento 7","Matériaux bruts 7","Material bruto 7","Сырьё 7 категории","元素7"
"material.category.shield_data","Shield Data","Shield Data","Schilddaten","Datos de escudos","Données de bouclier","Dados do escudo","Данные о щите","护盾数据"
"material.category.shielding","Shielding","Shielding","Abschirmung","Escudos","Blindage","Blindagem","Защита","护盾"
"material.category.thargoid","Thargoid","Thargoid","","Thargoide","","","Таргоиды","Thargoid"
"material.category.thermic","Thermic","Thermic","Thermisch","Térmico","Thermique","Térmico","Термические компоненты","热能"
"material.category.unknown","Unknown","Unknown","Unbekannt","Desconocido","Inconnu","Desconhecido","Неизвестно","未知"
"material.category.wake_scans","Wake Scans","Wake Scans","Wake-Scans","Escáneres de estela","Analyses de réveil","Despertar Varreduras","Следовые сканы","尾流扫描"
