"messageKey","","en","de","es","fr","pt","ru","zh"
"material.commodity.advancedcatalysers","Advanced Catalysers","Advanced Catalysers","","","","","",""
"material.commodity.advancedmedicines","Advanced Medicines","Advanced Medicines","","","","","",""
"material.commodity.advert1","Ultra-Compact Processor Prototypes","Ultra-Compact Processor Prototypes","","","","","",""
"material.commodity.aerialedenapple","Eden Apples Of Aerial","Eden Apples Of Aerial","","","","","",""
"material.commodity.aganipperush","Aganippe Rush","Aganippe Rush","","","","","",""
"material.commodity.agriculturalmedicines","Agri-Medicines","Agri-Medicines","","","","","",""
"material.commodity.agronomictreatment","Agronomic Treatment","Agronomic Treatment","","","","","",""
"material.commodity.airelics","AI Relics","AI Relics","","","","","",""
"material.commodity.aislingmediamaterials","Aisling Media Materials","Aisling Media Materials","","","","","",""
"material.commodity.aislingmediaresources","Aisling Sealed Contracts","Aisling Sealed Contracts","","","","","",""
"material.commodity.aislingpromotionalmaterials","Aisling Programme Materials","Aisling Programme Materials","","","","","",""
"material.commodity.alacarakmoskinart","Alacarakmo Skin Art","Alacarakmo Skin Art","","","","","",""
"material.commodity.albinoquechuamammoth","Albino Quechua Mammoth Meat","Albino Quechua Mammoth Meat","","","","","",""
"material.commodity.alexandrite","Alexandrite","Alexandrite","","","","","",""
"material.commodity.algae","Algae","Algae","","","","","",""
"material.commodity.alieneggs","Leathery Eggs","Leathery Eggs","","","","","",""
"material.commodity.alliancelegaslativecontracts","Alliance Legislative Contracts","Alliance Legislative Contracts","","","","","",""
"material.commodity.alliancelegaslativerecords","Alliance Legislative Records","Alliance Legislative Records","","","","","",""
"material.commodity.alliancetradeagreements","Alliance Trade Agreements","Alliance Trade Agreements","","","","","",""
"material.commodity.altairianskin","Altairian Skin","Altairian Skin","","","","","",""
"material.commodity.aluminium","Aluminium","Aluminium","","","","","",""
"material.commodity.alyabodilysoap","Alya Body Soap","Alya Body Soap","","","","","",""
"material.commodity.ancientcasket","Guardian Casket","Guardian Casket","","","","","",""
"material.commodity.ancientkey","Ancient Key (Guardian)","Ancient Key (Guardian)","","","","","",""
"material.commodity.ancientorb","Guardian Orb","Guardian Orb","","","","","",""
"material.commodity.ancientrelic","Guardian Relic","Guardian Relic","","","","","",""
"material.commodity.ancientrelictg","Unclassified Relic","Unclassified Relic","","","","","",""
"material.commodity.ancienttablet","Guardian Tablet","Guardian Tablet","","","","","",""
"material.commodity.ancienttotem","Guardian Totem","Guardian Totem","","","","","",""
"material.commodity.ancienturn","Guardian Urn","Guardian Urn","","","","","",""
"material.commodity.anduligafireworks","Anduliga Fire Works","Anduliga Fire Works","","","","","",""
"material.commodity.animaleffigies","Crom Silver Fesh","Crom Silver Fesh","","","","","",""
"material.commodity.animalmeat","Animal Meat","Animal Meat","","","","","",""
"material.commodity.animalmonitors","Animal Monitors","Animal Monitors","","","","","",""
"material.commodity.antimattercontainmentunit","Antimatter Containment Unit","Antimatter Containment Unit","","","","","",""
"material.commodity.antiquejewellery","Antique Jewellery","Antique Jewellery","","","","","",""
"material.commodity.antiquities","Antiquities","Antiquities","","","","","",""
"material.commodity.anynacoffee","Any Na Coffee","Any Na Coffee","","","","","",""
"material.commodity.apavietii","Apa Vietii","Apa Vietii","","","","","",""
"material.commodity.aquaponicsystems","Aquaponic Systems","Aquaponic Systems","","","","","",""
"material.commodity.aroucaconventualsweets","Arouca Conventual Sweets","Arouca Conventual Sweets","","","","","",""
"material.commodity.articulationmotors","Articulation Motors","Articulation Motors","","","","","",""
"material.commodity.assaultplans","Assault Plans","Assault Plans","","","","","",""
"material.commodity.atmosphericextractors","Atmospheric Processors","Atmospheric Processors","","","","","",""
"material.commodity.autofabricators","Auto-Fabricators","Auto-Fabricators","","","","","",""
"material.commodity.azcancriformula42","AZ Cancri Formula 42","AZ Cancri Formula 42","","","","","",""
"material.commodity.bakedgreebles","Baked Greebles","Baked Greebles","","","","","",""
"material.commodity.baltahsinevacuumkrill","Baltah’sine Vacuum Krill","Baltah’sine Vacuum Krill","","","","","",""
"material.commodity.bankiamphibiousleather","Banki Amphibious Leather","Banki Amphibious Leather","","","","","",""
"material.commodity.basicmedicines","Basic Medicines","Basic Medicines","","","","","",""
"material.commodity.basicnarcotics","Narcotics","Narcotics","","","","","",""
"material.commodity.bastsnakegin","Bast Snake Gin","Bast Snake Gin","","","","","",""
"material.commodity.battleweapons","Battle Weapons","Battle Weapons","","","","","",""
"material.commodity.bauxite","Bauxite","Bauxite","","","","","",""
"material.commodity.beer","Beer","Beer","","","","","",""
"material.commodity.belalansrayleather","Belalans Ray Leather","Belalans Ray Leather","","","","","",""
"material.commodity.benitoite","Benitoite","Benitoite","","","","","",""
"material.commodity.bertrandite","Bertrandite","Bertrandite","","","","","",""
"material.commodity.beryllium","Beryllium","Beryllium","","","","","",""
"material.commodity.bioreducinglichen","Bioreducing Lichen","Bioreducing Lichen","","","","","",""
"material.commodity.biowaste","Biowaste","Biowaste","","","","","",""
"material.commodity.bismuth","Bismuth","Bismuth","","","","","",""
"material.commodity.bluemilk","Azure Milk","Azure Milk","","","","","",""
"material.commodity.bootlegliquor","Bootleg Liquor","Bootleg Liquor","","","","","",""
"material.commodity.borasetanipathogenetics","Borasetani Pathogenetics","Borasetani Pathogenetics","","","","","",""
"material.commodity.bromellite","Bromellite","Bromellite","","","","","",""
"material.commodity.buckyballbeermats","Buckyball Beer Mats","Buckyball Beer Mats","","","","","",""
"material.commodity.buildingfabricators","Building Fabricators","Building Fabricators","","","","","",""
"material.commodity.burnhambiledistillate","Burnham Bile Distillate","Burnham Bile Distillate","","","","","",""
"material.commodity.cd75catcoffee","CD-75 Kitten Brand Coffee","CD-75 Kitten Brand Coffee","","","","","",""
"material.commodity.centaurimegagin","Centauri Mega Gin","Centauri Mega Gin","","","","","",""
"material.commodity.ceramiccomposites","Ceramic Composites","Ceramic Composites","","","","","",""
"material.commodity.ceremonialheiketea","Ceremonial Heike Tea","Ceremonial Heike Tea","","","","","",""
"material.commodity.cetiaepyornisegg","Aepyornis Egg","Aepyornis Egg","","","","","",""
"material.commodity.cetirabbits","Ceti Rabbits","Ceti Rabbits","","","","","",""
"material.commodity.chameleoncloth","Chameleon Cloth","Chameleon Cloth","","","","","",""
"material.commodity.chateaudeaegaeon","Chateau De Aegaeon","Chateau De Aegaeon","","","","","",""
"material.commodity.chemicalwaste","Chemical Waste","Chemical Waste","","","","","",""
"material.commodity.cherbonesbloodcrystals","Cherbones Blood Crystals","Cherbones Blood Crystals","","","","","",""
"material.commodity.chieridanimarinepaste","Chi Eridani Marine Paste","Chi Eridani Marine Paste","","","","","",""
"material.commodity.classifiedexperimentalequipment","Classified Experimental Equipment","Classified Experimental Equipment","","","","","",""
"material.commodity.clothing","Clothing","Clothing","","","","","",""
