"messageKey","","en","de","es","fr","pt","ru","zh"
"material.commodity.description.advancedcatalysers","Produced by: High Tech\nConsumed by: Refinery\n\nEngineered catalysing agents, used by refineries to improve the efficiency of a large number of chemical reactions.","","Produced by: High Tech\nConsumed by: Refinery\n\nEngineered catalysing agents, used by refineries to improve the efficiency of a large number of chemical reactions.","Producido por: Alta Tecnología\nConsumido por: Refinery\n\nAgentes utilizados por refinerías para mejorar la eficacia de un gran número de reacciones químicas.","Produced by: High Tech\nConsumed by: Refinery\n\nEngineered catalysing agents, used by refineries to improve the efficiency of a large number of chemical reactions.","Produced by: High Tech\nConsumed by: Refinery\n\nEngineered catalysing agents, used by refineries to improve the efficiency of a large number of chemical reactions.","Производится: Высоко-технологичная\nПотребляется: Перерабатывающая\n\nПромышленные катализаторы. Используются на перерабатывающих заводах для ускорения широкого спектра химических реакций.","产出于：高科技\n消耗于：精炼\n\n经过工程改造的催化媒介，被用于在精炼中增加多种化学反应的效率。"
"material.commodity.description.advancedmedicines","Produced by: High Tech\nConsumed by: All but High Tech\n\nThese medicines are specially tailored to counteract the most virulent of diseases, whilst causing the minimum of damage to the host.","","Produced by: High Tech\nConsumed by: All but High Tech\n\nThese medicines are specially tailored to counteract the most virulent of diseases, whilst causing the minimum of damage to the host.","Producido por: Alta Tecnología\nConsumido por: Todos, excepto Alta Tecnología\n\nEstas medicinas están especialmente diseñadas para contrarrestar las enfermedades más virulentas y ocasionar los menores percances al individuo.","Produced by: High Tech\nConsumed by: All but High Tech\n\nThese medicines are specially tailored to counteract the most virulent of diseases, whilst causing the minimum of damage to the host.","Produced by: High Tech\nConsumed by: All but High Tech\n\nThese medicines are specially tailored to counteract the most virulent of diseases, whilst causing the minimum of damage to the host.","Производится: Высоко-технологичная\nПотребляется: Все, кроме Высоко-технологичная\n\nЭти лекарства специально разработаны для противодействия опаснейшим болезням с минимальным ущербом для заболевшего.","产出于：高科技\n消耗于：高科技之外所有\n\n这些药物为治愈那些最为致命的疾病而特化，同时又只对病人造成最少的伤害。"
"material.commodity.description.advert1","These new processor prototypes have already demonstrated their versatility and capability. The combination of organic and nano-fabrication makes them difficult to manufacture.","","These new processor prototypes have already demonstrated their versatility and capability. The combination of organic and nano-fabrication makes them difficult to manufacture.","Estos nuevos prototipos de procesadores ya han demostrado su versatilidad y capacidad. La combinación de orgánica y nanofabricación hace que sean muy difíciles de fabricar.","These new processor prototypes have already demonstrated their versatility and capability. The combination of organic and nano-fabrication makes them difficult to manufacture.","These new processor prototypes have already demonstrated their versatility and capability. The combination of organic and nano-fabrication makes them difficult to manufacture.","Эти новые экспериментальные процессоры уже доказали свою универсальность и производительность. Из-за сочетания нано- и органических технологий их крайне сложно производить.","这些新型的处理器原型已经显示出了它们的多功能性与能力。有机物和纳米织物的组合让它们难以被制造。"
"material.commodity.description.aerialedenapple","A native plant that bears fruit resembling an apple with a silver lustre. Originally inedible, but through genetic modification the neurotoxins have been stripped away leaving what is now seen as a delicacy.","","A native plant that bears fruit resembling an apple with a silver lustre. Originally inedible, but through genetic modification the neurotoxins have been stripped away leaving what is now seen as a delicacy.","Una planta nativa de Aerial que produce un fruto parecido a una manzana de color plata. Originalmente no eran comestibles, pero gracias a la modificación genética se ha conseguido eliminar sus neurotóxicas, convirtiéndolas en un preciado manjar.","A native plant that bears fruit resembling an apple with a silver lustre. Originally inedible, but through genetic modification the neurotoxins have been stripped away leaving what is now seen as a delicacy.","A native plant that bears fruit resembling an apple with a silver lustre. Originally inedible, but through genetic modification the neurotoxins have been stripped away leaving what is now seen as a delicacy.","Местное растение, плоды которого напоминают отливающие серебром яблоки. Изначально фрукты были несъедобными, но путём генетической модификации удалось избавиться от опасных для жизни нейротоксинов. В наше время эти яблоки считаются деликатесом.","一种当地植物，生长着拥有银色光泽，类似苹果的果实。它原本不能食用，但经过基因改造，神经毒素已被清除干净，只剩下现在被视为珍馐的美食。"
"material.commodity.description.aganipperush","A neurological stimulant only available in Aganippe. Often used to temporarily increase the user’s memory retention and awareness, it is a favourite amongst students and scholars. Recent reports have revealed that excessive use and abuse of the compound has been linked with psychotic episodes and hallucinations.","","A neurological stimulant only available in Aganippe. Often used to temporarily increase the user’s memory retention and awareness, it is a favourite amongst students and scholars. Recent reports have revealed that excessive use and abuse of the compound has been linked with psychotic episodes and hallucinations.","Es un estimulante neurológico que sólo está disponible en Aganippe. Es utilizado a menudo para aumentar la retención de la memoria y la conciencia, haciendo que sea el favorito entre los estudiantes y académicos. Estudios recientes han revelado que el uso continuado y el abuso excesivo del compuesto producen episodios psicóticos y alucinaciones.","A neurological stimulant only available in Aganippe. Often used to temporarily increase the user’s memory retention and awareness, it is a favourite amongst students and scholars. Recent reports have revealed that excessive use and abuse of the compound has been linked with psychotic episodes and hallucinations.","A neurological stimulant only available in Aganippe. Often used to temporarily increase the user’s memory retention and awareness, it is a favourite amongst students and scholars. Recent reports have revealed that excessive use and abuse of the compound has been linked with psychotic episodes and hallucinations.","Стимулятор нервной системы, который можно приобрести только на Аганиппе. Часто используется, чтобы временно увеличить запоминающую способность и внимательность — настоящий хит среди студентов и школяров. Недавние исследования показали, что длительное использование или чрезмерные дозы препарата могут стать причиной психических расстройств и галлюцинаций.","一种仅在Aganippe产出的神经刺激剂。常用于暂时增加使用者的记忆保持力和敏感度，是学生和学者的最爱。近期的报告发现过量使用和滥用这种化合物和精神病发作与幻觉有关。"
"material.commodity.description.agriculturalmedicines","Produced by: High Tech\nConsumed by: Agricultural\n\nA range of engineered substances created to prevent or treat common diseases and ailments among livestock and fisheries. These are produced on High Tech worlds and consumed on Agricultural worlds.","","Produced by: High Tech\nConsumed by: Agricultural\n\nA range of engineered substances created to prevent or treat common diseases and ailments among livestock and fisheries. These are produced on High Tech worlds and consumed on Agricultural worlds.","Producido por: Alta Tecnología\nConsumido por: Agrícola\n\nUna gama de sustancias elaboradas para prevenir o tratar enfermedades y dolencias comunes en ganadería y pesca. Se producen en mundos de alta tecnología y se consumen en mundos agrícolas.","Produced by: High Tech\nConsumed by: Agricultural\n\nA range of engineered substances created to prevent or treat common diseases and ailments among livestock and fisheries. These are produced on High Tech worlds and consumed on Agricultural worlds.","Produced by: High Tech\nConsumed by: Agricultural\n\nA range of engineered substances created to prevent or treat common diseases and ailments among livestock and fisheries. These are produced on High Tech worlds and consumed on Agricultural worlds.","Производится: Высоко-технологичная\nПотребляется: Сельско-хозяйственная\n\nРяд искусственных веществ, применяемых для профилактики и лечения распространённых заболеваний скота и рыб. Производятся в высокотехнологичных и применяются в сельскохозяйственных мирах.","产出于：高科技\n消耗于：农业\n\n一系列工程改造过的物质，用于防止或治疗牲口与鱼群的普通疾病和虚弱。它们在高科技星系被生产，并在农业星系被使用。"
"material.commodity.description.agronomictreatment","This material has been specifically engineered to revive plants affected by contaminants.","","Dieses Material wurde speziell für die Behandlung kontaminierter Pflanzen entwickelt.","Este material se ha elaborado específicamente para recuperar plantas afectadas por productos contaminantes.","This material has been specifically engineered to revive plants affected by contaminants.","This material has been specifically engineered to revive plants affected by contaminants.","Состав, специально разработанный для восстановления растений, пострадавших от вредоносных агентов.","这种材料被特殊改造以恢复被污染影响的植物。"
"material.commodity.description.airelics","A collection of highly illegal AI remnants. These items are of extreme interest to various shady organisations and remote cults. Their almost mythical status has led to a huge amount of counterfeiting, further inflating the value of items with a clear and proven history. It is uncertain whether any of these pieces actually retain the AI personality that was originally present within.","","A collection of highly illegal AI remnants. These items are of extreme interest to various shady organisations and remote cults. Their almost mythical status has led to a huge amount of counterfeiting, further inflating the value of items with a clear and proven history. It is uncertain whether any of these pieces actually retain the AI personality that was originally present within.","Una colección de restos de inteligencia artificial extremadamente ilegales. Estos objetos tienen mucho interés para varias organizaciones de origen dudoso y cultos remotos. Su estatus casi mítico ha llevado a una increíble cantidad de falsificaciones, contribuyendo a aumentar aún más su valor con una historia clara y probada. No está claro si estas piezas han retenido la personalidad de la IA que estuvo originalmente presente dentro de ella.","A collection of highly illegal AI remnants. These items are of extreme interest to various shady organisations and remote cults. Their almost mythical status has led to a huge amount of counterfeiting, further inflating the value of items with a clear and proven history. It is uncertain whether any of these pieces actually retain the AI personality that was originally present within.","A collection of highly illegal AI remnants. These items are of extreme interest to various shady organisations and remote cults. Their almost mythical status has led to a huge amount of counterfeiting, further inflating the value of items with a clear and proven history. It is uncertain whether any of these pieces actually retain the AI personality that was originally present within.","Набор контрабандных фрагментов ИИ. Данные предметы представляют огромный интерес для всевозможных подозрительных организаций и тёмных культов. Их почти мифический статус привёл к появлению очень большого количества подделок, что ещё сильнее взвинтило цены на экземпляры с чистым, отслеживаемым прошлым. Доподлинно неизвестно, сохранился ли хотя бы в одном из этих предметов психологический профиль ИИ, некогда находившегося внутри.","一系列高度非法的AI残余物，各种阴影组织和偏僻的邪教组织都对它有极大的兴趣。它们神话般的地位导致了大量赝品，进一步提高了具有明确和经过证明的历史的这类物品的价值。其中是否有任何一个碎片真的保留了其中原本的AI人格尚不清楚。"
"material.commodity.description.aislingmediamaterials","Used by Aisling’s supporters to prepare systems by delivering to the desired system. They are of no value to anyone but her followers. This Item will be out of date at the end of the powerplay week.","","Used by Aisling’s supporters to prepare systems by delivering to the desired system. They are of no value to anyone but her followers. This Item will be out of date at the end of the powerplay week.","Used by Aisling’s supporters to prepare systems by delivering to the desired system. They are of no value to anyone but her followers. This Item will be out of date at the end of the powerplay week.","Used by Aisling’s supporters to prepare systems by delivering to the desired system. They are of no value to anyone but her followers. This Item will be out of date at the end of the powerplay week.","Used by Aisling’s supporters to prepare systems by delivering to the desired system. They are of no value to anyone but her followers. This Item will be out of date at the end of the powerplay week.","Сторонники Айслинг доставляют их в нужные системы для их подготовки. Никому другому они не нужны. Этот предмет устареет в конце недели Политики. ","用于给Aisling的支持者通过将其运输至目标星系来准备星系供占据。这对于她的追随者以外的人没有任何价值。该货物会在本权力游戏周的末尾过期。"
"material.commodity.description.aislingmediaresources","Used by Aisling’s supporters to gain control by delivering to systems undergoing expansion., If you are with another Imperial power you can oppose Aisling by delivering this cargo to one of your control systems., Otherwise it is of no value. This Item will be out of date at the end of the powerplay week.","","Used by Aisling’s supporters to gain control by delivering to systems undergoing expansion., If you are with another Imperial power you can oppose Aisling by delivering this cargo to one of your control systems., Otherwise it is of no value. This Item will be out of date at the end of the powerplay week.","Used by Aisling’s supporters to gain control by delivering to systems undergoing expansion., If you are with another Imperial power you can oppose Aisling by delivering this cargo to one of your control systems., Otherwise it is of no value. This Item will be out of date at the end of the powerplay week.","Used by Aisling’s supporters to gain control by delivering to systems undergoing expansion., If you are with another Imperial power you can oppose Aisling by delivering this cargo to one of your control systems., Otherwise it is of no value. This Item will be out of date at the end of the powerplay week.","Used by Aisling’s supporters to gain control by delivering to systems undergoing expansion., If you are with another Imperial power you can oppose Aisling by delivering this cargo to one of your control systems., Otherwise it is of no value. This Item will be out of date at the end of the powerplay week.","Сторонники Айслинг доставляют их в нужные системы для их подготовки. Если вы поддерживаете другую державу Империи, то можете доставить этот груз в одну из контролируемых ей систем, чтобы ослабить позиции Айслинг. Никому другому они не нужны. Этот предмет устареет в конце недели Политики. ","用于给Aisling的支持者通过将其运输至正在扩张至的星系来取得其控制。如果你支持另一个帝国人物，你可以通过将其送至你控制下的星系来对抗Aisling，否则它毫无用处。该货物会在本权力游戏周的末尾过期。"
