"messageKey","","en","de","es","fr","pt","ru","zh"
"material.commoditytype.chemicals","Chemicals","Chemicals","Chemikalien","Químicos","Produits chimiques","Produtos químicos","Химикаты","化学品"
"material.commoditytype.consumer_items","Consumer Items","Consumer Items","Verbraucherartikel","Bienes de consumo","Articles de consommation","Itens de consumo","Потребительские товары","消费品"
"material.commoditytype.foods","Foods","Foods","Lebensmittel","Alimentos","nourriture","Alimentos","Еда","食物"
"material.commoditytype.industrial_materials","Industrial Materials","Industrial Materials","Industriematerialien","Materiales industriales","Matériaux industriels","Materiais industriais","Промышленные материалы","工业原料"
"material.commoditytype.legal_drugs","Legal Drugs","Legal Drugs","Legale Drogen","Drogas legales","Drogues légales","Drogas legais","Легальные лекарства","合法药物"
"material.commoditytype.machinery","Machinery","Machinery","Maschinen","Maquinaria","Machinerie","Máquinas","Машины","机械"
"material.commoditytype.medicines","Medicines","Medicines","Medikamente","Medicamentos","Médicaments","Remédios","Лекарства","药品"
"material.commoditytype.metals","Metals","Metals","Metalle","Metales","Les métaux","Metais","Металлы","金属"
"material.commoditytype.minerals","Minerals","Minerals","Mineralien","Minerales","Minéraux","Minerais","Минералы","矿物"
"material.commoditytype.nonmarketable","Nonmarketable","Nonmarketable","Nicht marketbar","No comercializado","Non marchant","Não -mercado","Не рыночный","不可交易"
"material.commoditytype.salvage","Salvage","Salvage","Bergung","Salvamento","Sauvetage","Salvamento","Спасение","打捞"
"material.commoditytype.slavery","Slavery","Slavery","Sklaverei","Esclavitud","Esclavage","Escravidão","Рабство","奴隶"
"material.commoditytype.technology","Technology","Technology","Technologie","Tecnología","Technologie","Tecnologia","Технологии","科技"
"material.commoditytype.textiles","Textiles","Textiles","Textilien","Textiles","Textiles","Têxteis","Текстиль","纺织品"
"material.commoditytype.waste","Waste","Waste","Abfall","Residuos","Gaspillage","Desperdício","Напрасно тратить","废弃物"
"material.commoditytype.weapons","Weapons","Weapons","Waffen","Armamento","Armes","Armas","Оружие","武器"
"material.commoditytype.powerplay","Powerplay","","","Powerplay","Luttes d’influence galactiques","","Powerplay","权力游戏"
