"messageKey","","en","de","es","fr","pt","ru","zh"
"spawn.location.horizons.hot_jupiter","Hot Jupiter (Body {0})","","","","","",""
"spawn.location.horizons.davs_hope","Dav’s Hope [DSS] (Body {0})","","","","","",""
"spawn.location.horizons.jameson_crash_site","Jameson Crash Site [DSS] (Body {0})","","","","","",""
"spawn.location.horizons.mission_reward","Mission reward","Mission reward","Missionsbelohnung","Recompensa de la misión","Récompense de mission","Recompensa da missão","Награда за миссию","任务奖励"
"spawn.location.horizons.scan_missions","Scan missions","Scan missions","Scan -Missionen","Misiones de escaneo","Missions de numérisation","Digitalizar missões","Миссии по сканированию данных","扫描任务"
"spawn.location.horizons.hge_federation","High grade emissions in high population Federation systems\nHigher chance with HGE faction state none/election","","","Señales de Alta Calidad en sistemas Federales con alta población. Mayor probabilidad sin estado o en elecciones.","","","Высокоуровневые сигналы в густонаселенных системах Федерации\nВысокий шанс, если фракция Без состояния/Выборы","高人口联邦星系中的High Grade Emissions\n对应派系状态为无或选举（none/election）时概率更高"
"spawn.location.horizons.hge_empire","High grade emissions in high population Empire systems\nHigher chance with HGE faction state none/election","","","Señales de Alta Calidad en sistemas Imperiales con alta población. Mayor probabilidad sin estado o en elecciones.","","","Высокоуровневые сигналы в густонаселенных системах Империи\nВысокий шанс, если фракция Без состояния/Выборы","高人口帝国星系中的High Grade Emissions\n对应派系状态为无或选举（none/election）时概率更高"
"spawn.location.horizons.hge_civil_unrest","High grade emissions in high population systems with a state of Civil unrest\nHigher chance in Alliance and Independent systems","","","Señales de Alta Calidad en sistemas en Disturbios. Mayor probabilidad en sistemas de la Alianza o Independientes.","","","Высокоуровневые сигналы в густонаселенных системах в состоянии Гражданских беспорядков\nВысокий шанс в системах Альянса и Независимых","处于内乱（civil unrest）状态的高人口星系中的High Grade Emissions\n联盟和独立星系中概率更高"
"spawn.location.horizons.hge_war_civil_war","High grade emissions in high population systems with a state of (Civil) War\nHigher chance in Alliance and Independent systems","","","Señales de Alta Calidad en sistemas en Guerra Civil. Mayor probabilidad en sistemas de la Alianza o Independientes.","","","Высокоуровневые сигналы в густонаселенных системах в состоянии (Гражданской) Войны\nВысокий шанс в системах Альянса и Независимых","处于战争或内战（war/civil war）状态的高人口星系中的High Grade Emissions\n联盟和独立星系中概率更高"
"spawn.location.horizons.hge_boom_expansion","High grade emissions in high population systems with a state of Boom or Expansion\nHigher chance in Alliance and Independent systems","","","Señales de Alta Calidad en sistemas en Auge. Mayor probabilidad en sistemas de la Alianza o Independientes.","","","Высокоуровневые сигналы в густонаселенных системах в состоянии Бум или Экспансия\nВысокий шанс в системах Альянса и Независимых","处于繁荣或扩张（boom/expansion）状态的高人口星系中的High Grade Emissions\n联盟和独立星系中概率更高"
"spawn.location.horizons.hge_outbreak","High grade emissions in high population systems with a state of Outbreak\nHigher chance in Alliance and Independent systems","","","Señales de Alta Calidad en sistemas en Epidemia. Mayor probabilidad en sistemas de la Alianza o Independientes.","","","Высокоуровневые сигналы в густонаселенных системах в состоянии Эпидемия\nВысокий шанс в системах Альянса и Независимых","处于疫情（outbreak）状态的高人口星系中的High Grade Emissions\n联盟和独立星系中概率更高"
"spawn.location.horizons.crystal_shards_polonium","Crystal Shards [DSS] (Body {0})","","","","","","",""
"spawn.location.horizons.crystal_shards_ruthenium","Crystal Shards [DSS] (Body {0})","","","","","","",""
"spawn.location.horizons.crystal_shards_tellurium","Crystal Shards [DSS] (Body {0})","","","","","","",""
"spawn.location.horizons.crystal_shards_technetium","Crystal Shards [DSS] (Body {0})","","","","","","",""
"spawn.location.horizons.crystal_shards_yttrium","Crystal Shards [DSS] (Body {0})","","","","","","",""
"spawn.location.horizons.crystal_shards_antimony","Crystal Shards [DSS] (Body {0})","","","","","","",""
"spawn.location.horizons.ring_ice","Icy rings","Icy rings","Eisige Ringe","Anillos helados","Anneaux glacés","Anéis gelados","Ледяные кольца","冰环"
"spawn.location.horizons.ring_all","All rings","All rings","Alle Ringe","Todos los anillos","Tous les anneaux","Todos os anéis","Все кольца","任何星环"
"spawn.location.horizons.ring_pristine","Pristine rings","Pristine rings","Unberührte Ringe","Anillos prístinos","Anneaux vierges","Anéis primitivos","Металлические кольца","矿藏丰富 (Pristine) 的星环"
"spawn.location.horizons.asteroids","Asteroid belts","Asteroid belts","Asteroidengürtel","Cinturones de asteroides","Ceintures d’astéroïdes","Cintos de asteróides","Астероидные пояса","小行星带"
"spawn.location.horizons.surface_prospecting","Surface prospecting","Surface prospecting","Oberflächen Prospektion","Prospección de superficie","Prospection de surface","Prospecção de superfície","Добыча на поверхности планет","地表勘探"
