"messageKey","","en","de","es","fr","pt","ru","zh"
"material.asset.aerogel","Aerogel","Aerogel","","","","","",""
"material.asset.carbonfibreplating","Carbon Fibre Plating","Carbon Fibre Plating","","","","","",""
"material.asset.chemicalcatalyst","Chemical Catalyst","Chemical Catalyst","","","","","",""
"material.asset.chemicalsuperbase","Chemical Superbase","Chemical Superbase","","","","","",""
"material.asset.circuitboard","Circuit Board","Circuit Board","","","","","",""
"material.asset.circuitswitch","Circuit Switch","Circuit Switch","","","","","",""
"material.asset.electricalfuse","Electrical Fuse","Electrical Fuse","","","","","",""
"material.asset.electricalwiring","Electrical Wiring","Electrical Wiring","","","","","",""
"material.asset.electromagnet","Electromagnet","Electromagnet","","","","","",""
"material.asset.encryptedmemorychip","Encrypted Memory Chip","Encrypted Memory Chip","","","","","",""
"material.asset.epinephrine","Epinephrine","Epinephrine","","","","","",""
"material.asset.epoxyadhesive","Epoxy Adhesive","Epoxy Adhesive","","","","","",""
"material.asset.graphene","Graphene","Graphene","","","","","",""
"material.asset.ionbattery","Ion Battery","Ion Battery","","","","","",""
"material.asset.memorychip","Memory Chip","Memory Chip","","","","","",""
"material.asset.metalcoil","Metal Coil","Metal Coil","","","","","",""
"material.asset.microelectrode","Microelectrode","Microelectrode","","","","","",""
"material.asset.microhydraulics","Micro Hydraulics","Micro Hydraulics","","","","","",""
"material.asset.microsupercapacitor","Micro Supercapacitor","Micro Supercapacitor","","","","","",""
"material.asset.microthrusters","Micro Thrusters","Micro Thrusters","","","","","",""
"material.asset.microtransformer","Micro Transformer","Micro Transformer","","","","","",""
"material.asset.motor","Motor","Motor","","","","","",""
"material.asset.opticalfibre","Optical Fibre","Optical Fibre","","","","","",""
"material.asset.opticallens","Optical Lens","Optical Lens","","","","","",""
"material.asset.oxygenicbacteria","Oxygenic Bacteria","Oxygenic Bacteria","","","","","",""
"material.asset.phneutraliser","pH Neutraliser","pH Neutraliser","","","","","",""
"material.asset.rdx","RDX","RDX","","","","","",""
"material.asset.scrambler","Scrambler","Scrambler","","","","","",""
"material.asset.titaniumplating","Titanium Plating","Titanium Plating","","","","","",""
"material.asset.transmitter","Transmitter","Transmitter","","","","","",""
"material.asset.tungstencarbide","Tungsten Carbide","Tungsten Carbide","","","","","",""
"material.asset.unknown","UNKNOWN","UNKNOWN","","","","","",""
"material.asset.viscoelasticpolymer","Viscoelastic Polymer","Viscoelastic Polymer","","","","","",""
"material.asset.weaponcomponent","Weapon Component","Weapon Component","","","","","",""
