"messageKey","","en","de","es","fr","pt","ru","zh"
"material.data.accidentlogs","Accident Logs","Accident Logs","","","","","",""
"material.data.airqualityreports","Air Quality Reports","Air Quality Reports","","","","","",""
"material.data.atmosphericdata","Atmospheric Data","Atmospheric Data","","","","","",""
"material.data.audiologs","Audio Logs","Audio Logs","","","","","",""
"material.data.axcombatlogs","AX Combat Logs","AX Combat Logs","","","","","",""
"material.data.ballisticsdata","Ballistics Data","Ballistics Data","","","","","",""
"material.data.biologicalweapondata","Biological Weapon Data","Biological Weapon Data","","","","","",""
"material.data.biometricdata","Biometric Data","Biometric Data","","","","","",""
"material.data.blacklistdata","Blacklist Data","Blacklist Data","","","","","",""
"material.data.bloodtestresults","Blood Test Results","Blood Test Results","","","","","",""
"material.data.campaignplans","Campaign Plans","Campaign Plans","","","","","",""
"material.data.catmedia","Cat Media","Cat Media","","","","","",""
"material.data.censusdata","Census Data","Census Data","","","","","",""
"material.data.chemicalexperimentdata","Chemical Experiment Data","Chemical Experiment Data","","","","","",""
"material.data.chemicalformulae","Chemical Formulae","Chemical Formulae","","","","","",""
"material.data.chemicalinventory","Chemical Inventory","Chemical Inventory","","","","","",""
"material.data.chemicalpatents","Chemical Patents","Chemical Patents","","","","","",""
"material.data.chemicalweapondata","Chemical Weapon Data","Chemical Weapon Data","","","","","",""
"material.data.classicentertainment","Classic Entertainment","Classic Entertainment","","","","","",""
"material.data.cocktailrecipes","Cocktail Recipes","Cocktail Recipes","","","","","",""
"material.data.combatantperformance","Combatant Performance","Combatant Performance","","","","","",""
"material.data.combattrainingmaterial","Combat Training Material","Combat Training Material","","","","","",""
"material.data.conflicthistory","Conflict History","Conflict History","","","","","",""
"material.data.criminalrecords","Criminal Records","Criminal Records","","","","","",""
"material.data.cropyieldanalysis","Crop Yield Analysis","Crop Yield Analysis","","","","","",""
"material.data.culinaryrecipes","Culinary Recipes","Culinary Recipes","","","","","",""
"material.data.digitaldesigns","Digital Designs","Digital Designs","","","","","",""
"material.data.dutyrota","Duty Rota","Duty Rota","","","","","",""
"material.data.employeedirectory","Employee Directory","Employee Directory","","","","","",""
"material.data.employeeexpenses","Employee Expenses","Employee Expenses","","","","","",""
"material.data.employeegeneticdata","Employee Genetic Data","Employee Genetic Data","","","","","",""
"material.data.employmenthistory","Employment History","Employment History","","","","","",""
"material.data.enhancedinterrogationrecordings","Enhanced Interrogation Recordings","Enhanced Interrogation Recordings","","","","","",""
"material.data.espionagematerial","Espionage Material","Espionage Material","","","","","",""
"material.data.evacuationprotocols","Evacuation Protocols","Evacuation Protocols","","","","","",""
"material.data.explorationjournals","Exploration Journals","Exploration Journals","","","","","",""
"material.data.extractionyielddata","Extraction Yield Data","Extraction Yield Data","","","","","",""
"material.data.factionassociates","Faction Associates","Faction Associates","","","","","",""
"material.data.factiondonatorlist","Faction Donator List","Faction Donator List","","","","","",""
"material.data.factionnews","Faction News","Faction News","","","","","",""
"material.data.financialprojections","Financial Projections","Financial Projections","","","","","",""
"material.data.fleetregistry","Fleet Registry","Fleet Registry","","","","","",""
"material.data.genesequencingdata","Gene Sequencing Data","Gene Sequencing Data","","","","","",""
"material.data.geneticresearch","Genetic Research","Genetic Research","","","","","",""
"material.data.geologicaldata","Geological Data","Geological Data","","","","","",""
"material.data.hydroponicdata","Hydroponic Data","Hydroponic Data","","","","","",""
"material.data.incidentlogs","Incident Logs","Incident Logs","","","","","",""
"material.data.influenceprojections","Influence Projections","Influence Projections","","","","","",""
"material.data.internalcorrespondence","Internal Correspondence","Internal Correspondence","","","","","",""
"material.data.interrogationrecordings","Interrogation Recordings","Interrogation Recordings","","","","","",""
"material.data.interviewrecordings","Interview Recordings","Interview Recordings","","","","","",""
"material.data.jobapplications","Job Applications","Job Applications","","","","","",""
"material.data.kompromat","Kompromat","Kompromat","","","","","",""
"material.data.literaryfiction","Literary Fiction","Literary Fiction","","","","","",""
"material.data.maintenancelogs","Maintenance Logs","Maintenance Logs","","","","","",""
"material.data.manufacturinginstructions","Manufacturing Instructions","Manufacturing Instructions","","","","","",""
"material.data.medicalrecords","Medical Records","Medical Records","","","","","",""
"material.data.medicaltrialrecords","Clinical Trial Records","Clinical Trial Records","","","","","",""
"material.data.meetingminutes","Meeting Minutes","Meeting Minutes","","","","","",""
"material.data.mineralsurvey","Mineral Survey","Mineral Survey","","","","","",""
"material.data.mininganalytics","Mining Analytics","Mining Analytics","","","","","",""
"material.data.multimediaentertainment","Multimedia Entertainment","Multimedia Entertainment","","","","","",""
"material.data.networkaccesshistory","Network Access History","Network Access History","","","","","",""
"material.data.networksecurityprotocols","Network Security Protocols","Network Security Protocols","","","","","",""
"material.data.nextofkinrecords","Next of Kin Records","Next of Kin Records","","","","","",""
"material.data.nocdata","NOC Data","NOC Data","","","","","",""
"material.data.operationalmanual","Operational Manual","Operational Manual","","","","","",""
"material.data.opinionpolls","Opinion Polls","Opinion Polls","","","","","",""
"material.data.patienthistory","Patient History","Patient History","","","","","",""
"material.data.patrolroutes","Patrol Routes","Patrol Routes","","","","","",""
"material.data.payrollinformation","Payroll Information","Payroll Information","","","","","",""
"material.data.personallogs","Personal Logs","Personal Logs","","","","","",""
"material.data.pharmaceuticalpatents","Pharmaceutical Patents","Pharmaceutical Patents","","","","","",""
"material.data.photoalbums","Photo Albums","Photo Albums","","","","","",""
"material.data.plantgrowthcharts","Plant Growth Charts","Plant Growth Charts","","","","","",""
"material.data.politicalaffiliations","Political Affiliations","Political Affiliations","","","","","",""
"material.data.prisonerlogs","Prisoner Logs","Prisoner Logs","","","","","",""
"material.data.productionreports","Production Reports","Production Reports","","","","","",""
"material.data.productionschedule","Production Schedule","Production Schedule","","","","","",""
"material.data.propaganda","Propaganda","Propaganda","","","","","",""
"material.data.purchaserecords","Purchase Records","Purchase Records","","","","","",""
"material.data.purchaserequests","Purchase Requests","Purchase Requests","","","","","",""
"material.data.radioactivitydata","Radioactivity Data","Radioactivity Data","","","","","",""
"material.data.reactoroutputreview","Reactor Output Review","Reactor Output Review","","","","","",""
"material.data.recyclinglogs","Recycling Logs","Recycling Logs","","","","","",""
"material.data.residentialdirectory","Residential Directory","Residential Directory","","","","","",""
"material.data.riskassessments","Risk Assessments","Risk Assessments","","","","","",""
"material.data.salesrecords","Sales Records","Sales Records","","","","","",""
"material.data.securityexpenses","Security Expenses","Security Expenses","","","","","",""
"material.data.seedgeneaology","Seed Geneaology","Seed Geneaology","","","","","",""
"material.data.settlementassaultplans","Settlement Assault Plans","Settlement Assault Plans","","","","","",""
"material.data.settlementdefenceplans","Settlement Defence Plans","Settlement Defence Plans","","","","","",""
"material.data.shareholderinformation","Shareholder Information","Shareholder Information","","","","","",""
"material.data.slushfundlogs","Slush Fund Logs","Slush Fund Logs","","","","","",""
"material.data.smearcampaignplans","Smear Campaign Plans","Smear Campaign Plans","","","","","",""
"material.data.spectralanalysisdata","Spectral Analysis Data","Spectral Analysis Data","","","","","",""
"material.data.spyware","Spyware","Spyware","","","","","",""
"material.data.stellaractivitylogs","Stellar Activity Logs","Stellar Activity Logs","","","","","",""
