"messageKey","","en","de","es","fr","pt","ru","zh"
"material.good.agriculturalprocesssample","Agricultural Process Sample","Agricultural Process Sample","","","","","",""
"material.good.biochemicalagent","Biochemical Agent","Biochemical Agent","","","","","",""
"material.good.buildingschematic","Building Schematic","Building Schematic","","","","","",""
"material.good.californium","Californium","Californium","","","","","",""
"material.good.castfossil","Cast Fossil","Cast Fossil","","","","","",""
"material.good.chemicalprocesssample","Chemical Process Sample","Chemical Process Sample","","","","","",""
"material.good.chemicalsample","Chemical Sample","Chemical Sample","","","","","",""
"material.good.compactlibrary","Compact Library","Compact Library","","","","","",""
"material.good.compressionliquefiedgas","Compression-Liquefied Gas","Compression-Liquefied Gas","","","","","",""
"material.good.deepmantlesample","Deep Mantle Sample","Deep Mantle Sample","","","","","",""
"material.good.degradedpowerregulator","Degraded Power Regulator","Degraded Power Regulator","","","","","",""
"material.good.geneticrepairmeds","Genetic Repair Meds","Genetic Repair Meds","","","","","",""
"material.good.geneticsample","Biological Sample","Biological Sample","","","","","",""
"material.good.gmeds","G-Meds","G-Meds","","","","","",""
"material.good.healthmonitor","Health Monitor","Health Monitor","","","","","",""
"material.good.hush","Hush","Hush","","","","","",""
"material.good.inertiacanister","Inertia Canister","Inertia Canister","","","","","",""
"material.good.infinity","Infinity","Infinity","","","","","",""
"material.good.inorganiccontaminant","Inorganic Contaminant","Inorganic Contaminant","","","","","",""
"material.good.insight","Insight","Insight","","","","","",""
"material.good.insightdatabank","Insight Data Bank","Insight Data Bank","","","","","",""
"material.good.insightentertainmentsuite","Insight Entertainment Suite","Insight Entertainment Suite","","","","","",""
"material.good.ionisedgas","Ionised Gas","Ionised Gas","","","","","",""
"material.good.largecapacitypowerregulator","Power Regulator","Power Regulator","","","","","",""
"material.good.lazarus","Lazarus","Lazarus","","","","","",""
"material.good.microbialinhibitor","Microbial Inhibitor","Microbial Inhibitor","","","","","",""
"material.good.mutageniccatalyst","Mutagenic Catalyst","Mutagenic Catalyst","","","","","",""
"material.good.nutritionalconcentrate","Nutritional Concentrate","Nutritional Concentrate","","","","","",""
"material.good.personalcomputer","Personal Computer","Personal Computer","","","","","",""
"material.good.personaldocuments","Personal Documents","Personal Documents","","","","","",""
"material.good.petrifiedfossil","Petrified Fossil","Petrified Fossil","","","","","",""
"material.good.push","Push","Push","","","","","",""
"material.good.pyrolyticcatalyst","Pyrolytic Catalyst","Pyrolytic Catalyst","","","","","",""
"material.good.refinementprocesssample","Refinement Process Sample","Refinement Process Sample","","","","","",""
"material.good.shipschematic","Ship Schematic","Ship Schematic","","","","","",""
"material.good.suitschematic","Suit Schematic","Suit Schematic","","","","","",""
"material.good.surveillanceequipment","Surveillance Equipment","Surveillance Equipment","","","","","",""
"material.good.syntheticgenome","Synthetic Genome","Synthetic Genome","","","","","",""
"material.good.syntheticpathogen","Synthetic Pathogen","Synthetic Pathogen","","","","","",""
"material.good.trueformfossil","True Form Fossil","True Form Fossil","","","","","",""
"material.good.universaltranslator","Universal Translator","Universal Translator","","","","","",""
"material.good.unknown","UNKNOWN","UNKNOWN","","","","","",""
"material.good.vehicleschematic","Vehicle Schematic","Vehicle Schematic","","","","","",""
"material.good.weaponschematic","Weapon Schematic","Weapon Schematic","","","","","",""
"material.good.biomechanicalcomponent","Spire Refinery Compound","","","","","","",""
"material.good.sabotagedcomponent","Contaminated Spire Refinery Compound","","","","","","",""
"material.good.powerindustrial","Industrial Component","","","","","","",""
"material.good.powermiscindust","Industrial Machinery","","","","","","",""
"material.good.powerinventory","Inventory Record","","","","","","",""
"material.good.powerplaymilitary","Military Schematic","","","","","","",""
"material.good.powerelectronics","Electronics Package","","","","","","",""
"material.good.powercomputer","Computer Parts","","","","","","",""
"material.good.powerexperiment","Experiment Prototype","","","","","","",""
"material.good.poweragriculture","Agricultural Sample","","","","","","",""
"material.good.powerextraction","Extraction Sample","","","","","","",""
"material.good.powerequipment","Personal protective Equipment","","","","","","",""
"material.good.powermedical","Medical Sample","","","","","","",""
"material.good.powermisccomputer","Data Storage Device","","","","","","",""
"material.good.powersecurity","Security Logs","","","","","","",""
"material.good.powerpower","Energy Regulator","","","","","","",""
"material.good.powerresearch","Research Notes","","","","","","",""
