"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"spawn.location.type.closedlocker","Sealed lockers","Sealed lockers","Versiegelte Schließfächer","Casilleros sellados","Casiers verrouillés","Armários lacrados","Запечатанные шкафчики","上锁的柜子 (lockers)",""
"spawn.location.type.dataport","Settlement data ports","Settlement data ports","Ansiedlungsdatenports","Puertos de datos del asentamiento","Ports de données de l’installation","Portas de dados de liquidação","Порты данных поселения","定居点数据端口 (data ports)",""
"spawn.location.type.device.bio","Bio containment unit","Bio containment unit","Bio-Containment-Einheit","Unidad de biocontención","Unité de confinement bio","Unidade de bio contenção","Блок биологического содержания","生物控制单元 (Bio containment unit)",""
"spawn.location.type.device.env","Environmental regulation unit","Environmental regulation unit","Umweltregulierungseinheit","Unidad de regulación medioambiental","Unité de régulation environnementale","Unidade de regulação ambiental","Блок регулирования окружающей среды","环境调控单元 (Environmental regulation unit)",""
"spawn.location.type.device.pwr","Power reactor","Power reactor","Leistungsreaktor","Reactor de energía","Réacteur de puissance","Reator de energia","Энергетический реактор","反应堆",""
"spawn.location.type.device.sam","Sample containment unit","Sample containment unit","Probe-Containment-Einheit","Unidad de contención de muestra","Exemple d’unité de confinement","Unidade de contenção de amostra","Образец блока содержания","样本控制单元 (Sample containment unit)",""
"spawn.location.type.device.srv","SRV","SRV","","VRS","VRS","","ТРП","SRV",""
"spawn.location.type.device.syn","Synthesis regulation unit","Synthesis regulation unit","Synthese-Regulierungs-Einheit","Unidad de regulación de síntesis","Unité de régulation de synthèse","Unidade de regulação de síntese","Блок регулирования синтеза","合成管理单元 (Synthesis regulation unit)",""
"spawn.location.type.device","Devices","Devices","Geräte","Dispositivos","Périphériques","Dispositivos","Устройства","设备",""
"spawn.location.type.locker.agr","Agricultural","Agricultural","Landwirtschaftlich","Agrícola","Agriculture","Agrícola","Сельское хозяйство","农业",""
"spawn.location.type.locker.cmd","Command","Command","Befehl","Comando","Commande","Comando","Коммандный пункт","指令",""
"spawn.location.type.locker.dorm","Dormitory","Dormitory","Schlafsaal","Dormitorio","Dortoir","Dormitório","Общежитие","宿舍",""
"spawn.location.type.locker.ext","Extraction","Extraction","Extraktion","Extracción","Extraction","Extração","Извлечение","开采",""
"spawn.location.type.locker.hab","Habitat","Habitat","Lebensraum","Hábitat","Habitat","","Среда обитания","居住区",""
"spawn.location.type.locker.ind","Industrial","Industrial","Industriell","Industrial","Industriel","","Промышленное","工业",""
"spawn.location.type.locker.lab","Laboratory","Laboratory","Labor","Laboratorio","Laboratoire","Laboratório","Лаборатория","实验室",""
"spawn.location.type.locker.med","Medical","Medical","Medizinisch","Médico","Médical","Médico","Медицинский","医疗",""
"spawn.location.type.locker.opr","Operations","Operations","Operationen","Operaciones","Opérations","Operações","Операции","行动",""
