"messageKey","","en","de","es","fr","pt","ru","zh"
"menu.about.beer","If you like to buy me a beer","If you like to buy me a beer","","","","","",""
"menu.about.disclaimer.1","DISCLAIMER: not all information under the tooltips","DISCLAIMER: not all information under the tooltips","","","","","",""
"menu.about.disclaimer.2","are guaranteed to be complete or correct.","are guaranteed to be complete or correct.","","","","","",""
"menu.about.download","Download","Download","","","","","",""
"menu.about.report","Report a bug","Report a bug","","","","","",""
"menu.about.version.new","Version: {0} ({1} available!)","Version: {0} ({1} available!)","","","","","",""
"menu.about.version","Version: {0}","Version: {0}","","","","","",""
"menu.about","About","About","","","","","",""
"menu.legend.asset.chemical","Chemical component","Chemical component","","","","","",""
"menu.legend.asset.circuit","Circuit component","Circuit component","","","","","",""
"menu.legend.asset.tech","Tech component","Tech component","","","","","",""
"menu.legend.data.blueprint.and.engineer","Data used in blueprints and for unlocking engineers","Data used in blueprints and for unlocking engineers","","","","","",""
"menu.legend.data.blueprint","Data used in blueprints","Data used in blueprints","","","","","",""
"menu.legend.data.engineer.only","Data used only for unlocking engineers","Data used only for unlocking engineers","","","","","",""
"menu.legend.data.unused","Unused data","Unused data","","","","","",""
"menu.legend.good.blueprint.and.engineer","Item used in blueprints and for unlocking engineers","Item used in blueprints and for unlocking engineers","","","","","",""
"menu.legend.good.blueprint","Item used in blueprints","Item used in blueprints","","","","","",""
"menu.legend.good.engineer.only","Item used only for unlocking engineers","Item used only for unlocking engineers","","","","","",""
"menu.legend.good.unused","Unused item","Unused item","","","","","",""
"menu.legend","Legend","Legend","","","","","",""
"menu.about.tutorial","Official video howto guide","Official video howto guide","","","","","",""
"menu.about.commission","Commission","","","","","","",""
"menu.broker.distance","({0}Ly)","","","","","","",""
"menu.broker.distance.in.system","({0}Ls ±{1}Ls)","","","","","","",""
"system.copy.distance","({0}Ly)","","","","","","",""
"system.copy.distance.in.system","({0}Ls ±{1}Ls)","","","","","","",""
