"messageKey","","en","de","es","fr","pt","ru","zh"
"notification.value.text","{0}","","","","","","",""
"notification.abc.title","","","","","","","",""
"notification.abc.text","","","","","","","",""
"notification.collected.irrelevant.material.title","Collected irrelevant material","Collected irrelevant material","","","","","",""
"notification.collected.wishlist.material.title","Collected wishlist material","Collected wishlist material","","","","","",""
"notification.trade.a.bid.was.pulled","A bid was pulled.","A bid was pulled.","","","","","",""
"notification.trade.message.from","Message from {0}","Message from {0}","","","","","",""
"notification.trade.title","Trade","Trade","","","","","",""
"notification.trade.you.accepted.a.bid","You accepted a bid.","You accepted a bid.","","","","","",""
"notification.trade.you.received.a.bid.on.an.offer","You received a bid on an offer.","You received a bid on an offer.","","","","","",""
"notification.trade.your.bid.has.been.accepted","Your bid has been accepted.","Your bid has been accepted.","","","","","",""
"notification.trade.your.bid.has.been.rejected","Your bid has been rejected.","Your bid has been rejected.","","","","","",""
"notification.trade.your.bid.was.pulled","Your bid was pulled.","Your bid was pulled.","","","","","",""
"notification.hge.outbreak.text","Pharmaceutical Isolators(G5)\n","","","","","","",""
"notification.hge.civilwar.text","Military Grade Alloys(G5)\nMilitary Supercapacitors(G5)\n","","","","","","",""
"notification.hge.boom.text","Proto Heat Radiators(G5)\nProto Radiolic Alloys(G5) / Proto Light Alloys(G4)\n","","","","","","",""
"notification.hge.civilunrest.text","Improvised Components(G5)\n","","","","","","",""
"notification.hge.empire.text","Imperial Shielding(G5)\n","","","","","","",""
"notification.hge.federation.text","Core Dynamic Composites(G5)/ Proprietary Composites(G4)\n","","","","","","",""
"notification.hge.unknown.text","Unknown\n","","","","","","",""
"notification.hge.title","High Grade Emissions Scanned","","","","","","",""
"notification.hge.common.text","System allegiance: {0}\nFaction state: {1}\nExpected materials:\n{2}","","","","","","",""
"notification.imported.slef.error.text","Failed to import slef","","","","","","",""
"notification.collected.powerplay.material.title","Collected powerplay material","","","","","","",""
"notification.capi.title","Frontier API","","","","","","",""
"notification.capi.message.auth.fail","Failed to authenticate. Try to re-authenticate to the API under Settings.","","","","","","",""
"notification.capi.message.auth.success","Account linked! You may close the browser window.","","","","","","",""
"notification.capi.message.400","The API reports you do not own Elite: Dangerous. This is common for the Epic gamestore.","","","","","","",""
"notification.clipboard.title","Clipboard","","","","","","",""
"notification.clipboard.system.copied.text","System name copied has been copied to your clipboard","","","","","","",""
"notification.clipboard.loadout.copied.text","The loadout has been copied to your clipboard","","","","","","",""
"notification.clipboard.ship.copied.text","The ship has been copied to your clipboard","","","","","","",""
"notification.clipboard.wishlist.copied.text","The wishlist has been copied to your clipboard","","","","","","",""
"notification.clipboard.url.length.text","Due to the length, the URL might not work in browsers and must be directly imported inside the app.","","","","","","",""
"notification.test.title","Test","","","","","","",""
"notification.test.text","This is a test notification","","","","","","",""
"notification.ar.download.complete.title","Download complete","","","","","","",""
"notification.ar.download.complete.text","Download of OCR languagedata complete","","","","","","",""
"notification.ar.download.failed.title","Download failed","","","","","","",""
"notification.ar.download.failed.text","Failed downloading OCR languagedata","","","","","","",""
"notification.wishlist.cannot.add.title","Can’t add to wishlist","","","","","","",""
"notification.wishlist.cannot.add.text","No items to add","","","","","","",""
"notification.wishlist.cannot.create.title","Can’t create wishlist","","","","","","",""
"notification.wishlist.cannot.create.text","No items to add","","","","","","",""
"notification.imported.edsy.error.title","Unknown item","","","","","","",""
"notification.imported.edsy.error.text","{0}","","","","","","",""
"notification.imported.coriolis.error.title","Unknown item","","","","","","",""
"notification.imported.coriolis.error.text","{0}","","","","","","",""
"notification.imported.exception.failed.parse","Failed to parse deeplink","","","","","","",""
"notification.imported.exception.newer.version","The wishlist could not be imported because the link was made with a newer version of the app.","","","","","","",""
"notification.imported.exception.failed.decode","String could not be decoded","","","","","","",""
"notification.imported.failed.loadout","Failed to import loadout","","","","","","",""
"notification.imported.failed.odyssey.wishlist","Failed to import Odyssey wishlist","","","","","","",""
"notification.imported.failed.horizons.wishlist","Failed to import Horizons wishlist","","","","","","",""
"notification.imported.failed.edsy","Failed to import EDSY wishlist","","","","","","",""
"notification.imported.failed.ship","Failed to import ship","","","","","","",""
"notification.imported.failed.coriolis","Failed to import Coriolis wishlist","","","","","","",""
"notification.imported.failed.generic","Failed to import","","","","","","",""
"notification.imported.failed.generic.text","{0}","","","","","","",""
"notification.imported.failed.unknown.type.title","Failed to import","","","","","","",""
"notification.imported.failed.unknown.type.text","Unknown type","","","","","","",""
"notification.journal.init.error.title","Error initializing","","","","","","",""
"notification.journal.init.error.text","Check logs for errors and contact the developer for support","","","","","","",""
