"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"permit.name.four_sextantis","4 Sextantis","","","4 Sextantis","","","4 Sextantis","",""
"permit.name.achenar","Achenar","","","Achenar","","","Achenar","",""
"permit.name.alioth","Alioth","","","Alioth","","","Alioth","",""
"permit.name.beta_hydri","Beta Hydri","","","Beta Hydri","","","Beta Hydri","",""
"permit.name.cd_43_11917","CD-43 11917","","","CD-43 11917","","","CD-43 11917","",""
"permit.name.cd_44_1695","CD-44 1695","","","CD-44 1695","","","CD-44 1695","",""
"permit.name.crom","Crom","","","Crom","","","Crom","",""
"permit.name.exbeur","Exbeur","","","Exbeur","","","Exbeur","",""
"permit.name.facece","Facece","","","Facece","","","Facece","",""
"permit.name.hip_22460","HIP 22460","","","HIP 22460","","","HIP 22460","",""
"permit.name.hip_54530","HIP 54530","","","HIP 54530","","","HIP 54530","",""
"permit.name.hip_87621","HIP 87621","","","HIP 87621","","","HIP 87621","",""
"permit.name.hip_97950","HIP 97950","","","HIP 97950","","","HIP 97950","",""
"permit.name.hodack","Hodack","","","Hodack","","","Hodack","",""
"permit.name.hors","Hors","","","Hors","","","Hors","",""
"permit.name.hr_4413","HR 4413","","","HR 4413","","","HR 4413","",""
"permit.name.isinor","Isinor","","","Isinor","","","Isinor","",""
"permit.name.jotun","Jotun","","","Jotun","","","Jotun","",""
"permit.name.ltt_198","LTT 198","","","LTT 198","","","LTT 198","",""
"permit.name.luyten_347_14","Luyten 347-14","","","Luyten 347-14","","","Luyten 347-14","",""
"permit.name.mbooni","Mbooni","","","Mbooni","","","Mbooni","",""
"permit.name.nastrond","Nastrond","","","Nastrond","","","Nastrond","",""
"permit.name.peregrina","Peregrina","","","Peregrina","","","Peregrina","",""
"permit.name.pi_mensae","Pi Mensae","","","Pi Mensae","","","Pi Mensae","",""
"permit.name.pilots_federation_district","Pilots' Federation District","","","Pilots' Federation District","","","Район Федерации пилотов","",""
"permit.name.plx_695","PLX 695","","","PLX 695","","","PLX 695","",""
"permit.name.ross_128","Ross 128","","","Ross 128","","","Ross 128","",""
"permit.name.founders_world","Founders World","","","Founders World","","","Мир основателей","",""
"permit.name.sirius","Sirius","","","Sirius","","","Sirius","",""
"permit.name.sol","Sol","","","Sol","","","Sol","",""
"permit.name.summerland","Summerland","","","Summerland","","","Summerland","",""
"permit.name.terra_mater","Terra Mater","","","Terra Mater","","","Terra Mater","",""
"permit.name.tiliala","Tiliala","","","Tiliala","","","Tiliala","",""
"permit.name.van_maanens_star","van Maanen's Star","","","van Maanen's Star","","","van Maanen's Star","",""
"permit.name.vega","Vega","","","Vega","","","Vega","",""
"permit.name.unknown","UNKNOWN","","","DESCONOCIDO","","","НЕИЗВЕСТНОЕ","未知",""
