"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"permit.unlock.description.four_sextantis","Unknown","","","","","","","",""
"permit.unlock.description.achenar","Imperial Navy Rank: Squire","","","","","","","",""
"permit.unlock.description.alioth","The permit for this system can be obtained from the Alioth Independents.","","","","","","","",""
"permit.unlock.description.beta_hydri","Federal Navy Rank: Chief Petty Officer","","","","","","","",""
"permit.unlock.description.cd_43_11917","Attain Prestige in CQC.","","","","","","","",""
"permit.unlock.description.cd_44_1695","This system is currently locked by the Pilots' Federation, no permits are currently issued.","","","","","","","",""
"permit.unlock.description.crom","The permit for this system can be obtained via the Crom Silver Boys faction.","","","","","","","",""
"permit.unlock.description.exbeur","Federal Navy Rank: Lieutenant","","","","","","","",""
"permit.unlock.description.facece","Imperial Navy Rank: Earl","","","","","","","",""
"permit.unlock.description.hip_22460","Every commander gets the permit per default","","","","","","","",""
"permit.unlock.description.hip_54530","Permit mission offered at Malchiodi Plant (Horizons) or Grasp of Unity in Ts'ao Tach(Odyssey only) or Shewayish Pharmacology (it has universal catographics too)","","","","","","","",""
"permit.unlock.description.hip_87621","Every commander gets the permit per default","","","","","","","",""
"permit.unlock.description.hodack","The permit for this system can be obtained via the Hodack Prison Colony faction.","","","","","","","",""
"permit.unlock.description.hors","Federal Navy Rank: Post Commander","","","","","","","",""
"permit.unlock.description.hr_4413","This system is currently locked by the Pilots' Federation, no permits are currently issued.","","","","","","","",""
"permit.unlock.description.isinor","The permit for this system can be obtained via the Chapter of Isinor faction.","","","","","","","",""
"permit.unlock.description.jotun","The permit for this system can be obtained via the Dukes of Jotun faction.","","","","","","","",""
"permit.unlock.description.ltt_198","The permit for this system can be obtained via the LTT 198 faction.","","","","","","","",""
"permit.unlock.description.luyten_347_14","The permit for this system can be obtained via the Luyten 347-14 Prison Colony faction","","","","","","","",""
"permit.unlock.description.mbooni","Permit mission offered at Hunziker Terminal in LHS 1163. Could also be acquired by participation in one of Salvation's initiatives.","","","","","","","",""
"permit.unlock.description.nastrond","The permit for this system can be obtained via the Defence Party of Nastrond Colony faction.","","","","","","","",""
"permit.unlock.description.peregrina","The permit for this system can be obtained via the Peregrina Aristocrats faction.","","","","","","","",""
"permit.unlock.description.pi_mensae","The permit for this system can be obtained via the Pi Mensae Brotherhood faction.","","","","","","","",""
"permit.unlock.description.pilots_federation_district","Starter permit","","","","","","","",""
"permit.unlock.description.plx_695","Federal Navy Rank: Warrant Officer","","","","","","","",""
"permit.unlock.description.ross_128","Federal Navy Rank: Ensign","","","","","","","",""
"permit.unlock.description.founders_world","Attain Elite in Combat, Trade, Exploration, Mercenary, or Exobiology.","","","","","","","",""
"permit.unlock.description.sirius","The permit for this system can be obtained via the Sirius Corporation faction.","","","","","","","",""
"permit.unlock.description.sol","Federal Navy Rank: Petty Officer","","","","","","","",""
"permit.unlock.description.summerland","Imperial Navy Rank: Baron","","","","","","","",""
"permit.unlock.description.terra_mater","The permit for this system can be obtained via the Defence Brotherhood if Terra Mater faction.","","","","","","","",""
"permit.unlock.description.tiliala","The permit for this system can be obtained via the Conservatives of Tiliala or Traditional KAun Movement factions.","","","","","","","",""
"permit.unlock.description.van_maanens_star","The permit for this system can be obtained via the Sublime Order of van Maanen's Star faction.","","","","","","","",""
"permit.unlock.description.vega","Federal Navy Rank: Chief Petty Officer","","","","","","","",""
