"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"guardian.structure.layout.stickyhand","Stickyhand","","","","","","Stickyhand","","Stickyhand"
"guardian.structure.layout.bear","Bear","","","","","","Bear","","Bear"
"guardian.structure.layout.turtle","Turtle","","","","","","Turtle","","Turtle"
"guardian.structure.layout.bowl","Bowl","","","","","","Bowl","","Bowl"
"guardian.structure.layout.squid","Squid","","","","","","Squid","","Squid"
"guardian.structure.layout.robolobster","Robolobster","","","","","","Robolobster","","Robolobster"
"guardian.structure.layout.hammerbot","Hammerbot","","","","","","Hammerbot","","Hammerbot"
"guardian.structure.type.vessel","Vessel","","","","","","Судно","舰船","გემი"
"guardian.structure.type.weapon","Weapon","","","","","","Оружие","武器","იარაღი"
"guardian.structure.type.module","Module","","","","","","Модуль","模块","მოდული"
