"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"power.zemina_torval","Zemina Torval","","","Zemina Torval","Zemina Torval","","Земина Торвал","Zemina Torval",""
"power.yuri_grom","Yuri Grom","","","Yuri Grom","Yuri Grom","","Юрий Гром","Yuri Grom",""
"power.felicia_winters","Felicia Winters","","","Felicia Winters","Felicia Winters","","Фелиция Винтерс","Felicia Winters",""
"power.li_yong_rui","Li Yong-Rui","","","Li Yong-Rui","Li Yong-Rui","","Ли Йон-Руй","Li Yong-Rui",""
"power.archon_delaine","Archon Delaine","","","Archon Delaine","Archon Delaine","","Архонт Делен","Archon Delaine",""
"power.nakato_kaine","Nakato Kaine","","","Nakato Kaine","Nakato Kaine","","Накато Кейн","Nakato Kaine",""
"power.jerome_archer","Jerome Archer","","","Jerome Archer","Jerome Archer","","Джером Арчер","Jerome Archer",""
"power.denton_patreus","Denton Patreus","","","Denton Patreus","Denton Patreus","","Дентон Патреус","Denton Patreus",""
"power.pranav_antal","Pranav Antal","","","Pranav Antal","Pranav Antal","","Пранав Антал","Pranav Antal",""
"power.a_lavigny_duval","A. Lavigny-Duval","","","A. Lavigny-Duval","A. Lavigny-Duval","","Арисса Лавиньи-Дюваль","A. Lavigny-Duval",""
"power.aisling_duval","Aisling Duval","","","Aisling Duval","Aisling Duval","","Айслинг Дюваль","Aisling Duval",""
"power.edmund_mahon","Edmund Mahon","","","Edmund Mahon","Edmund Mahon","","Эдмунд Мэйхон","Edmund Mahon",""
"power.all","All powers","","","Todas las potencias","Toutes les puissances","","Все державы","所有势力",""
"power.none","None","","","Ninguno","Aucune","","Нет","无",""
