"messageKey","","en","de","es","fr","pt","ru","zh"
"power.perk.rank_decal","Rank decal for your power. Unlocks at ranks {1}","","Rank decal for your power. Unlocks at ranks {1}","Acceso a emblema de rango. Desbloqueado al rango {1}","Sticker de rang de votre puissance. Déverrouillé au rang {1}","Rank decal for your power. Unlocks at ranks {1}","Наклейка рейтинга для вашей державы. Открывается на ранге {1}","你效忠权力的等级贴花。于等级 {1} 解锁"
"power.perk.reduced_rebuy_by_opposing_power","Up to {0} reduced rebuy costs when killed by an opposing power. Unlocks at ranks {1}","","Up to {0} reduced rebuy costs when killed by an opposing power. Unlocks at ranks {1}","Hasta {0} de reducción del coste de recompra al morir a manos de una nave aliada con otra potencia. Desbloqueado al rango {1}","Jusqu’à {0} de réduction de rachat lorsque tué par une puissance adverse. Déverrouillé aux rangs {1}","Up to {0} reduced rebuy costs when killed by an opposing power. Unlocks at ranks {1}","{0} цены повторной покупки после смерти от рук капитана корабля другой державы. Открывается на ранге {1}","当被敌对权力击杀时至多减免 {0} 购回费用。于等级 {1} 解锁"
"power.perk.reduced_rebuy_in_own_territory","Up to {0} reduced rebuy costs when killed in your power’s territory. Unlocks at ranks {1}","","Up to {0} reduced rebuy costs when killed in your power’s territory. Unlocks at ranks {1}","Hasta [0} de reducción del coste de recompra al morir en territorio de tu potencia. Desbloqueado al rango {1}","Jusqu’à {0} de réduction de rachat lorsque tué dans le territoire de votre puissance. Déverrouillé aux rangs {1}","Up to {0} reduced rebuy costs when killed in your power’s territory. Unlocks at ranks {1}","{0} цены повторной покупки после смерти на территории вашей державы. Открывается на ранге {1}","当在你的权力所控制的星系内被击杀时至多减免 {0} 购回费用。于等级 {1} 解锁"
"power.perk.reduced_weapon_module_cost_in_own_territory","Up to {0} reduced weapon module cost in your power’s territory. Unlocks at ranks {1}","","Up to {0} reduced weapon module cost in your power’s territory. Unlocks at ranks {1}","Hasta {0} de reducción de coste de módulos en territorio de tu potencia. Desbloqueado al rango {1} ","Jusqu’à {0} de réduction du coût de vos modules d’armement dans le territoire de votre puissance. Déverrouillé aux rangs {1}","Up to {0} reduced weapon module cost in your power’s territory. Unlocks at ranks {1}","{0} стоимости модулей на территории вашей державы. Открывается на ранге {1}","在你的权力所控制的星系内至多减免 {0} 武器模块价格。于等级 {1} 解锁"
"power.perk.reduced_rearm_prices_in_own_territory","Up to {0} reduced rearm prices in your power’s territory. Unlocks at ranks {1}","","Up to {0} reduced rearm prices in your power’s territory. Unlocks at ranks {1}","Hasta {0} de reducción de coste de rearme en territorio de tu potencia. Desbloqueado al rango {1}","Jusqu’à {0} de réduction du prix des réapprovisionnements dans le territoire de votre puissance. Déverrouillé aux rangs {1}","Up to {0} reduced rearm prices in your power’s territory. Unlocks at ranks {1}","{0} стоимости боеприпасов на территории вашей державы. Открывается на ранге {1}","在你的权力所控制的星系内至多减免 {0} 装弹价格。于等级 {1} 解锁"
"power.perk.reduced_bounty_value_in_own_territory","Up to {0} reduced value on bounties placed on you in your power’s territory. Unlocks at ranks {1}","","Up to {0} reduced value on bounties placed on you in your power’s territory. Unlocks at ranks {1}","Hasta {0} de reducción de coste de recompensa contra ti en territorio de tu potencia. Desbloqueado al rango {1}","Jusqu’à {0} de réduction de la valeur des mises à prix qui vous sont attribuées dans le territoire de votre puissance. Déverrouillé aux rangs {1}","Up to {0} reduced value on bounties placed on you in your power’s territory. Unlocks at ranks {1}","{0} снижение штрафов и наград за голову на территории вашей державы. Открывается на ранге {1}","在你的权力所控制的星系内至多减免 {0} 悬赏你的赏金价值。于等级 {1} 解锁"
"power.perk.reduced_refuel_prices_in_own_territory","Up to {0} reduced refuel prices in your power’s territory. Unlocks at ranks {1}","","Up to {0} reduced refuel prices in your power’s territory. Unlocks at ranks {1}","Hasta {0} de reducción de coste de repostaje en territorio de tu potencia. Desbloqueado al rango {1}","Jusqu’à {0} de réduction du prix du ravitaillement en carburant dans le territoire de votre puissance. Déverrouillé aux rangs {1}","Up to {0} reduced refuel prices in your power’s territory. Unlocks at ranks {1}","{0} стоимости топлива на территории вашей державы. Открывается на ранге {1}","在你的权力所控制的星系内至多减免 {0} 加油价格。于等级 {1} 解锁"
"power.perk.reduced_repair_prices_in_own_territory","Up to {0} reduced repair prices in your power’s territory. Unlocks at ranks {1}","","Up to {0} reduced repair prices in your power’s territory. Unlocks at ranks {1}","Hasta {0} de reducción de coste de reparación en territorio de tu potencia. Desbloqueado al rango {1}","Jusqu’à {0} de réduction du prix des réparations dans le territoire de votre puissance. Déverrouillé aux rangs {1}","Up to {0} reduced repair prices in your power’s territory. Unlocks at ranks {1}","{0} стоимости ремонта на территории вашей державы. Открывается на ранге {1}","在你的权力所控制的星系内至多减免 {0} 维修价格。于等级 {1} 解锁"
"power.perk.increase_food_and_medicine_profit","Up to {0} increase on food and medicine profits in your power’s territory. Unlocks at ranks {1}","","Up to {0} increase on food and medicine profits in your power’s territory. Unlocks at ranks {1}","Hasta {0} de aumento de ganancias en alimentos y medicinas en territorio de tu potencia. Desbloqueado al rango {1}","Jusqu’à {0} d’augmentation des profits sur la nourriture et les médicaments dans le territoire de votre puissance. Déverrouillé aux rangs {1}","Up to {0} increase on food and medicine profits in your power’s territory. Unlocks at ranks {1}","{0} повышение прибыли на еду и медицину на территории вашей державы. Открывается на ранге {1}","在你的权力所控制的星系内至多增加 {0} 食物与药品的利润。于等级 {1} 解锁"
"power.perk.increase_minor_faction_reputation","Up to {0} increase in minor faction reputation gain in your power’s territory. Unlocks at ranks {1}","","Up to {0} increase in minor faction reputation gain in your power’s territory. Unlocks at ranks {1}","Hasta {0} de aumento de la ganancia de reputación de facción menor en territorio de tu potencia. Desbloqueado al rango {1}","Jusqu’à {0} d’augmentation des gains de réputation des factions mineures dans le territoire de votre puissance. Déverrouillé aux rangs {1}","Up to {0} increase in minor faction reputation gain in your power’s territory. Unlocks at ranks {1}","Доп. бонус {0} к повышению репутации с малыми фракциями на территории вашей державы. Открывается на ранге {1}","在你的权力所控制的星系内至多增加 {0} 派系声望获取。于等级 {1} 解锁"
