"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"blueprint.group.name.abrasion_blasters","Mining Tools - Abrasion Blasters","","Bergbauwerkzeuge - Abrasionsblaster","Herramientas de Minería - Destructor de Abrasión","","Ferramentas de Mineração - Detonadores de Abrasão","Инструменты добычи - Абразивные бластеры","采矿工具 - 冲蚀矿枪（Abrasion Blasters）",""
"blueprint.group.name.sub_surface_displacement_missiles","Mining Tools - Sub-surface Displacement Missiles","","","","","","Инструменты добычи - Вытесняющие ракеты для добычи глубинных залежей","",""
"blueprint.group.name.sub_surface_extraction_missiles","Sub-surface Extraction Missiles","","","","","","Ракета для извлечения груза из-под корпуса","",""
"blueprint.group.name.mining_lasers","Mining Tools - Mining Lasers","","Bergbauwerkzeuge - Bergbaulaser","Herramientas de Minería - Láseres de Minería","","Ferramentas de Mineração - Lasers de Mineração","Инструменты добычи - Проходочные лазеры","采矿工具 - 采矿激光（Mining Lasers）",""
"blueprint.group.name.seismic_charge_launchers","Mining Tools - Seismic Charge Launchers","","Bergbauwerkzeuge - Seismische Ladungswerfer","Herramientas de Minería - Lanzador de Carga Sísimca","Outils miniers - Lanceurs de charge sismique","Ferramentas de Mineração - Lançadores de Carga Sísmica","Инструменты добычи - Пусковые установки для сейсмических снарядов","采矿工具 - 深层震波炸药发射器（Seismic Charge Launchers）",""
"blueprint.group.name.mining_volley_repeaters","Mining Tools - Mining Volley Repeaters","","","","","","Инструменты добычи - Проходочные автопушки","采矿工具 - 挖矿加特林（Mining Volley Repeaters）",""
"blueprint.group.name.ax_missile_racks","Experimental - AX Missile Racks","","Experimentell - AX-Raketenaufhängung","Experimental - Lanzamisiles AX","Expérimental — Batterie de missiles AX","Experimental - Estantes de Mísseis AX","Экспериментальное - Блоки ракет АИ","实验性武器 - AX 导弹挂架（AX Missile Racks）",""
"blueprint.group.name.shock_cannons","Experimental - Shock Cannons","","Experimentell - Schockkanonen","Experimental - Cañones de choque","","Experimental - Canhões de Impacto","Экспериментальное - Шоковые орудия","实验性武器 - 冲击火炮（Shock Cannons）",""
"blueprint.group.name.guardian_shard_cannons","Experimental - Guardian Shard Cannons","","Experimentell - Guardian Splitterkanonen","Experimental - Cañón de Esquirlas Guardián","","Experimental - Canhões de Fragmentos Guardian","Экспериментальное - Осколочные орудия Стражей","实验性武器 - 守护者破片火炮（Shard Cannons）",""
"blueprint.group.name.guardian_gauss_cannons","Experimental - Guardian Gauss Cannons","","Experimentell - Guardian Gauss-Kanonen","Experimental - Cañón Gauss Guardián","","Experimental - Canhões Gauss Guardian","Экспериментальное - Пушки Гаусса Стражей","实验性武器 - 守护者高斯炮（Gauss Cannons）",""
"blueprint.group.name.guardian_plasma_chargers","Experimental - Guardian Plasma Chargers","","Experimentell - Guardian Plasma-Lader","Experimental - Cargador de Plasma Guardián","","Experimental - Carregadores de Plasma Guardian","Экспериментальное - Плазменные пушки Стражей","实验性武器 - 守护者电浆发射器（Plasma Chargers）",""
