"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"ship.stats.config","Configuration","","","Ajustes","Configuration","Configuração","Конфигурация","配置",""
"ship.stats.config.live","Live","","","Live","En direct","ao Vivo","Live","使用游戏内数据",""
"ship.stats.config.fuelreserve","Fuel reserve","","","Reserva de Combustible","Réserve de Carburant","Reservas de Combustível","Резерв топлива","燃料储备",""
"ship.stats.config.fuel","Fuel (Max. {0})","","","Combustible (Max. {0})","Carburant (Max. {0})","Comb (Max. {0})","Топливо (Макс. {0})","主燃料箱 (最大: {0})",""
"ship.stats.config.system","System","","","Sistemas","Système","Sistema","СИС","系统",""
"ship.stats.config.engine","Engine","","","Motores","Moteur","Motores","ДВГ","引擎",""
"ship.stats.config.weapon","Weapon","","","Armas","Arme","Armas","ОРУ","武器",""
"ship.stats.config.cargo_hatch","Cargo hatch","","","Escotilla de Carga","Écoutille de soute","Escotilha de Carga","Грузовой ковш","货舱门",""
"ship.stats.thermalpower","Thermals & power","","","Energía y Calor","","Térmicos e Energia","Нагрев и Мощность","热量&能量",""
"ship.stats.thermal","Thermals","","","Temperatura","","Térmicos","Нагрев","热量",""
"ship.stats.power","Power","","","Energía","","Energia","Мощность","能量",""
"ship.stats.thermal.idle.thermals","Idle","","","","","","В простое","闲置",""
"ship.stats.thermal.thruster.thermals","Full throttle","","","","","","Полный газ","最大推力",""
"ship.stats.thermal.fsd.thermals","FSD charging","","","","Chargement FSD","","При зарядке FSD","FSD充能",""
"ship.stats.thermal.idle.thermals.value","{0}%","","","{0}%","{0}%","","{0}%","{0}%",""
"ship.stats.thermal.thruster.thermals.value","{0}%","","","{0}%","{0}%","","{0}%","{0}%",""
"ship.stats.thermal.fsd.thermals.value","{0}%","","","{0}%","{0}%","","{0}%","{0}%",""
"ship.stats.thermal.thermals.value.percentage","{0}%","","","{0}%","{0}%","","{0}%","{0}%",""
"ship.stats.thermal.thermals.value.time","{0}","","","{0}","{0}","","{0}","{0}",""
"ship.stats.thermal.thermals.value.error","N/A","","","N/A","N/A","","Н/Д","N/A",""
"ship.stats.power.retracted.power","Retracted","","","Replegado","Rétracté","Recolhido","Убрано","收起",""
"ship.stats.power.deployed.power","Deployed","","","Desplegado","Déployé","Extendido","Выпущено","部署",""
"ship.stats.power.retracted.power.value","{0}/{1} MW","","","{0}/{1} MW","{0}/{1} MW","","{0}/{1} МВт","{0}/{1} MW",""
"ship.stats.power.deployed.power.value","{0}/{1} MW","","","{0}/{1} MW","{0}/{1} MW","","{0}/{1} МВт","{0}/{1} MW",""
"ship.stats.jumprange","Jump range","","","Rango de Salto","Portée de saut","","Дальность прыжка","跃迁范围",""
"ship.stats.jumprange.value","{0} Ly","","","{0} AL","{0} al","{0} Al","{0} с.л.","{0} Ly",""
