"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"ships.name.side_winder","Sidewinder","","","Sidewinder","Sidewinder","","Sidewinder","Sidewinder",""
"ships.name.eagle","Eagle","","","Eagle","Eagle","","Eagle","Eagle",""
"ships.name.hauler","Hauler","","","Hauler","Hauler","","Hauler","Hauler",""
"ships.name.adder","Adder","","","Adder","Adder","","Adder","Adder",""
"ships.name.viper_mk_iii","Viper Mk III","","","Viper Mk III","Viper Mk III","","Viper Mk III","Viper Mk III",""
"ships.name.cobra_mk_iii","Cobra Mk III","","","Cobra Mk III","Cobra Mk III","","Cobra Mk III","Cobra Mk III",""
"ships.name.type_6","Type-6 Transporter","","","Type-6 Transporter","Type-6 Transporter","","Type-6 Transporter","Type-6 Transporter",""
"ships.name.dolphin","Dolphin","","","Dolphin","Dolphin","","Dolphin","Dolphin",""
"ships.name.type_7","Type-7 Transporter","","","Type-7 Transporter","Type-7 Transporter","","Type-7 Transporter","Type-7 Transporter",""
"ships.name.asp","Asp Explorer","","","Asp Explorer","Asp Explorer","","Asp Explorer","Asp Explorer",""
"ships.name.vulture","Vulture","","","Vulture","Vulture","","Vulture","Vulture",""
"ships.name.empire_trader","Imperial Clipper","","","Imperial Clipper","Imperial Clipper","","Imperial Clipper","Imperial Clipper",""
"ships.name.federation_dropship","Federal Dropship","","","Federal Dropship","Federal Dropship","","Federal Dropship","Federal Dropship",""
"ships.name.orca","Orca","","","Orca","Orca","","Orca","Orca",""
"ships.name.type_8","Type-8 Transporter","","","Type-8 Transporter","Type-8 Transporter","","Type-8 Transporter","Type-8 Transporter",""
"ships.name.type_9","Type-9 Heavy","","","Type-9 Heavy","Type-9 Heavy","","Type-9 Heavy","Type-9 Heavy",""
"ships.name.python","Python","","","Python","Python","","Python","Python",""
"ships.name.beluga_liner","Beluga Liner","","","Beluga Liner","Beluga Liner","","Beluga Liner","Beluga Liner",""
"ships.name.fer_de_lance","Fer-de-Lance","","","Fer-de-Lance","Fer-de-Lance","","Fer-de-Lance","Fer-de-Lance",""
"ships.name.anaconda","Anaconda","","","Anaconda","Anaconda","","Anaconda","Anaconda",""
"ships.name.federation_corvette","Federal Corvette","","","Federal Corvette","Federal Corvette","","Federal Corvette","Federal Corvette",""
"ships.name.cutter","Imperial Cutter","","","Imperial Cutter","Imperial Cutter","","Imperial Cutter","Imperial Cutter",""
"ships.name.diamond_back","Diamondback Scout","","","Diamondback Scout","Diamondback Scout","","Diamondback Scout","Diamondback Scout",""
"ships.name.empire_courier","Imperial Courier","","","Imperial Courier","Imperial Courier","","Imperial Courier","Imperial Courier",""
"ships.name.diamond_back_xl","Diamondback Explorer","","","Diamondback Explorer","Diamondback Explorer","","Diamondback Explorer","Diamondback Explorer",""
"ships.name.empire_eagle","Imperial Eagle","","","Imperial Eagle","Imperial Eagle","","Imperial Eagle","Imperial Eagle",""
"ships.name.federation_dropship_mk_ii","Federal Assault Ship","","","Federal Assault Ship","Federal Assault Ship","","Federal Assault Ship","Federal Assault Ship",""
"ships.name.federation_gunship","Federal Gunship","","","Federal Gunship","Federal Gunship","","Federal Gunship","Federal Gunship",""
"ships.name.viper_mk_iv","Viper Mk IV","","","Viper Mk IV","Viper Mk IV","","Viper Mk IV","Viper Mk IV",""
"ships.name.cobra_mk_iv","Cobra Mk IV","","","Cobra Mk IV","Cobra Mk IV","","Cobra Mk IV","Cobra Mk IV",""
"ships.name.independant_trader","Keelback","","","Keelback","Keelback","","Keelback","Keelback",""
"ships.name.asp_scout","Asp Scout","","","Asp Scout","Asp Scout","","Asp Scout","Asp Scout",""
"ships.name.type_9_military","Type-10 Defender","","","Type-10 Defender","Type-10 Defender","","Type-10 Defender","Type-10 Defender",""
"ships.name.krait_mk_ii","Krait Mk II","","","Krait Mk II","Krait Mk II","","Krait Mk II","Krait Mk II",""
"ships.name.type_x","Alliance Chieftain","","","Alliance Chieftain","Alliance Chieftain","","Alliance Chieftain","Alliance Chieftain",""
"ships.name.type_x_2","Alliance Crusader","","","Alliance Crusader","Alliance Crusader","","Alliance Crusader","Alliance Crusader",""
"ships.name.type_x_3","Alliance Challenger","","","Alliance Challenger","Alliance Challenger","","Alliance Challenger","Alliance Challenger",""
"ships.name.krait_light","Krait Phantom","","","Krait Phantom","Krait Phantom","","Krait Phantom","Krait Phantom",""
"ships.name.mamba","Mamba","","","Mamba","Mamba","","Mamba","Mamba",""
"ships.name.python_nx","Python Mk II","","","Python Mk II","Python Mk II","","Python Mk II","Python Mk II",""
"ships.name.mandalay","Mandalay","","","Mandalay","Mandalay","","Mandalay","Mandalay",""
"ships.name.cobra_mk_v","Cobra Mk V","","","Cobra Mk V","Cobra Mk V","","Cobra Mk V","Cobra Mk V",""
"ships.name.corsair","Corsair","","","Corsair","Corsair","","Corsair","Corsair",""
"ships.name.panther_clipper_mk_ii","Panther Clipper Mk II","","","","Panther Clipper Mk II","","Panther Clipper Mk II","Panther Clipper Mk II",""
"ships.name.lakonminer","Type-11 Prospector","","","","","","Type-11 Prospector","Type-11 Prospector",""
"ships.name.explorer_nx","Caspian Explorer","","","","","","","",""
