"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"squadron.perk.name.bonus_mining_fragment","Increased mining fragment yield","","","Mayor producción de fragmentos de minería","","","Повышенная выработка руды","",""
"squadron.perk.name.cargo_insurance","Cargo insurance","","","Seguro de carga","","","Страхование груза","","ტვირთის დაზღვევა"
"squadron.perk.name.colonisation_claim_cost","Reduced system colonisation claim cost","","","Menor coste de reclamación de colonización del sistema","","","Сниженная стоимость подачи заявок на колонизацию систем","",""
"squadron.perk.name.colonisation_trade_bond","Increased colonisation delivery profits","","","Mayor beneficio de entrega de colonización","","","Повышенный доход за доставку для колонизации","",""
"squadron.perk.name.cqc_exp_gain","Increased CQC rank gains","","","Mayor ganancia de clasificación CQC","","","Ускоренный рост ранга CQC","",""
"squadron.perk.name.dss_efficiency","Increased minimum map efficiency target","","","Aumento del objetivo de eficiencia mínimo del mapa","","","Повышенный минимальный рейтинг эффективности сканирования","",""
"squadron.perk.name.exp_gain","Increased pilots’ federation rank gains","","","Mayor ganancia de rango en la federación de pilotos","","","Ускоренный рост ранга в Федерации Пилотов","",""
"squadron.perk.name.faction_influence","Increased faction influence gains","","","Mayor ganancia de influencia en facción","","","Повышенное влияние фракций","",""
"squadron.perk.name.fsd_boost_synthesis","Reduced FSD synthesis costs","","","Menor coste de síntesis del potenciador de MDD","","","Сниженные затраты на ускорение FSD с помощью синтеза","",""
"squadron.perk.name.limpet_synthesis","Reduced limpet synthesis costs","","","Menor coste de síntesis de drones","","","Снижение затрат на синтех дрона","",""
"squadron.perk.name.mission_reward_boost","Increased mission rewards","","","Mayores recompensas de misión","","","Повышенные награды за миссии","",""
"squadron.perk.name.notoriety_decay","Notoriety decay","","","Pérdida de notoriedad","","","Спад плохой репутации","",""
"squadron.perk.name.npc_crew_exp","Increased NPC crew rank gains","","","Mayor ganancia de rango de tripulación PNJ","","","Ускоренный рост опыта для ранга у экипажа неигровых персонажей","",""
"squadron.perk.name.powerplay_merits","Increased powerplay merity gains","","","Mayor ganancia de méritos en powerplay","","","Повышенные политические поощрения","",""
"squadron.perk.name.premium_ammo_synthesis","Reduced premium ammo synthesis costs","","","Menor coste de síntesis de munición premium","","","Сниженные затраты на синтез премиум-боеприпасов","",""
"squadron.perk.name.sale_wing_rewards","Increased wing trade rewards","","","Mayores recompensas de comercio de ala","","","Повышенные награды крыла в торговле","",""
"squadron.perk.name.voucher_bond_wing_rewards","Increased wing combat rewards","","","Mayores recompensas de combate de ala","","","Повышенные боевые награды крыла","",""
"squadron.perk.name.unknown","Unknown","","","Desconocido","","","Неизвестно","未知","უცნობი"
