"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"state.unknown","Unknown","","Unbekannt","Desconocido","Inconnu","Desconhecido","Неизвестно","未知","უცნობი"
"state.none","None","","Keiner","Ninguno","Aucun","Nenhum","Нет","无","არცერთი"
"state.boom","Boom","","Boom","Auge","Essor économique","Auge","Бум","Boom","Boom"
"state.bust","Bust","","","Quiebra","Faillite","Quebra","Спад","Bust","Bust"
"state.civilunrest","Civil Unrest","","","Disturbios","Émeutes","Distúrbios","Гражданские беспорядки","Civil Unrest","სამოქალაქო არეულობა"
"state.civilwar","Civil War","","","Guerra Civil","Guerre civile","Guerra Civil","Гражданская война","Civil War","სამოქალაქო ომი"
"state.election","Election","","","Elecciones","Élections","Eleições","Выборы","Election","არჩევნები"
"state.expansion","Expansion","","","Expansión","Expansion","Expansão","Экспансия","Expansion","ექსპანსია"
"state.famine","Famine","","","Hambruna","Famine","Fome","Голод","Famine","შიმშილი"
"state.investment","Investment","","","Inversión","Investissements","Investimento","Инвестирование","Investment","ინვესტიცია"
"state.lockdown","Lockdown","","","Bloqueo","Confinement","Quarentena","Изоляция","Lockdown","იზოლაცია"
"state.outbreak","Outbreak","","","Epidemia","Épidémie","Epidemia","Эпидемия","Outbreak","ეპიდემია"
"state.retreat","Retreat","","","Retirada","Retraite","Retirada","Отступление","Retreat","უკან დახევა"
"state.war","War","","","Guerra","Guerre","Guerra","Война","War","ომი"
"state.civilliberty","Civil Liberty","","","Libertad","Liberté civile","Liberdade Civil","Гражданская свобода","Civil Liberty","სამოქალაქო თავისუფლება"
"state.pirateattack","Pirate Attack","","","Ataque pirata","Attaque pirate","Ataque pirata","Атака пиратов","Pirate Attack","მეკობრეების შემოტევა"
"state.blight","Blight","","","Plaga","Fléau","Praga","Неурожай","Blight","მოსავლის უკმარისობა"
"state.drought","Drought","","","Sequía","Sécheresse","Seca","Засуха","Drought","გვალვა"
"state.infrastructurefailure","Infrastructure Failure","","","Fallo de Infraestructuras","Échec de l'infrastructure","Falha de Infra-estrutura","Сбой инфраструктуры","Infrastructure Failure","ინფარსტურქტურის გაუმართაობა"
"state.naturaldisaster","Natural Disaster","","","Desastre Natural","Catastrophe naturelle","Desastre Natural","Стихийные бедствия","Natural Disaster","სტიქიური უბედურება"
"state.publicholiday","Public Holiday","","","Día Festivo","Jour férié","Feriado","Официальные праздники","Public Holiday","სახალხო დღესასწაული"
"state.terrorism","Terrorist Attack","","","Ataque terrorista","Attaque terroriste","Ataque terrorista","Атака террористов","Terrorist Attack","ტერორისტული შეტევა"
"state.coldwar","Cold War","","","Guerra Fria","Guerre Froide","Guerra Fria","Холодная война","Cold War","ცივი ომი"
"state.colonisation","Colonisation","","","Colonización","Colonisation","Colonização","Колонизация","Colonisation","კოლონიზაცია"
"state.historicevent","Historic Event","","","Evento Historico","Événement historique","Evento Histórico","Историческое событие","Historic Event","ისტორიული მოვლენა"
"state.revolution","Revolution","","","Revolución","Révolution","Revolução","Революция","Revolution","რევოლუცია"
"state.technologicalleap","Technological Leap","","","Salto Tecnológico","Bond Technologique","Salto Tecnológico","Технологический скачок","Technological Leap","ტექნოლოგიური ნახტომი"
"state.tradewar","Trade War","","","Guerra comercial","Guerre Commerciale","Guerra comercial","Торговая война","Trade War","სავაჭრო ომი"
