messageKey,,en,de,es,fr,pt,ru
superpower.zemini_torval,Zemina Torval,,,,,,
superpower.yuri_grom,Yuri Grom,,,,,,
superpower.felicia_winters,Felicia Winters,,,,,,
superpower.li_yong_rui,Li Yong-Rui,,,,,,
superpower.archon_delane,Archon Delane,,,,,,
superpower.nakato_kaine,Nakato Kaine,,,,,,
superpower.jerome_archer,Jerome Archer,,,,,,
superpower.denton_patreus,Denton Patreus,,,,,,
superpower.pranav_antal,Pranav Antal,,,,,,
superpower.a_lavingny_duval,A. Lavingny-Duval,,,,,,
superpower.aisling_duval,Aisling Duval,,,,,,
superpower.edmund_mahon,Edmund Mahon,,,,,,
