messageKey,,en,de,es,fr,pt,ru
superpower.perk.rank_decal,Rank Decal,,,,,,
superpower.perk.reduced_rebuy_by_opposing_power,{0}% reduced rebuy costs when killed by an opposing power.,,,,,,
superpower.perk.reduced_rebuy_in_own_territory,{0}% reduced rebuy costs when killed in your power’s territory.,,,,,,
superpower.perk.reduced_weapon_module_cost_in_own_territory,{0}% reduced Weapon Module cost in your power’s territory.,,,,,,
superpower.perk.reduced_rearm_prices_in_own_territory,{0}% reduced Rearm Prices in your power’s territory.,,,,,,
superpower.perk.reduced_bounty_value_in_own_territory,{0}% reduced value on Bounties placed on you in your power’s territory.,,,,,,
superpower.perk.reduced_refuel_prices_in_own_territory,{0}% reduced Refuel Prices in your power’s territory.,,,,,,
superpower.perk.reduced_repair_prices_in_own_territory,{0}% reduced Repair Prices in your power’s territory.,,,,,,
superpower.perk.increase_food_and_medicine_profit,{0}% increase on food and medicine profits in your power’s territory.,,,,,,
superpower.perk.increase_miner_faction_reputation,{0}% increase in minor faction reputation gain in your power’s territory.,,,,,,
superpower.perk.increase_salvage_profit,{0}% increase salvage profits in your power’s territory.,,,,,,
superpower.perk.increase_bounty_payout,{0}% increase in bounty payouts in your power’s territory.,,,,,,
superpower.perk.increase_search_and_rescue_payout,{0}% increased Search and Rescue payout in your power’s territory.,,,,,,
superpower.perk.increase_mining_commodity_payout,{0}% increase in mining commodity payouts in your power’s territory.,,,,,,
superpower.perk.increase_imperial_slaves_commodity_payout,{0}% increase in Imperial Slaves commodity payouts in your power’s territory.,,,,,,
superpower.perk.increase_trade_bond_sales_award,{0}% awarded Trade Bond on sales in your power’s territory.,,,,,,
superpower.perk.increase_trade_bond_rare_goods_award,{0}% awarded Trade Bond for Rare Goods sales in your power’s territory.,,,,,,
superpower.perk.increase_organics_data_sales,{0}% increased Organics Data Sales in your power’s territory.,,,,,,
superpower.perk.increase_technology_commodity_profit,{0}% increase in technology commodity profits in your power’s territory.,,,,,,
superpower.perk.increase_black_market_profits,{0}% increase in black market Profits in your power’s territory.,,,,,,
superpower.perk.increase_exploration_data_sales,{0}% increased Exploration Data Sales in your power’s territory.,,,,,,
