"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"tab.community.goals.active.goal","Active goal(s)","","","Objetivo(s) activos","","","Активные цели","",""
"community.goal.progress.chart.xaxis","Time","","","Tiempo","","","Время","",""
"community.goal.progress.chart.yaxis","Amount","","","Cantidad","","","Количество","",""
"community.goal.progress.chart.commanders","Commanders","","","Comandantes","","","КМДРы","",""
"community.goal.progress.chart.progress","Total progress","","","Progreso total","","","Общий прогресс","",""
"community.goal.progress.chart.delta","Hourly contribution","","","Contribución por hora","","","Вклад в час","",""
"community.goal.progress.chart.tooltip","","","","","","","","",""
"community.goal.progress.chart.time","Time","","","Tiempo","","","Время","",""
"community.goal.band.chart.top","Top {0}","","","Top {0}","","","Топ {0}","",""
"community.goal.band.chart.percent","{0}%","","","{0}%","","","{0}%","",""
"community.goal.band.chart.mycontribution","My contribution","","","Mi contribución","","","Мой вклад","",""
"community.goal.band.chart.xaxis","Time","","","Tiempo","","","Время","",""
"community.goal.progress.value","Progress: {0} / {1}","","","Progreso: {0} / {1}","","","Прогресс: {0} / {1}","",""
"community.goal.progress.percent","{0}%","","","{0}%","","","{0}%","",""
"community.goal.progress.estimate","Estimated completion: {0}","","","Finalización estimada: {0}","","","Ожидаемое завершение: {0}","",""
"community.goal.reward.table.top","Top {0}","","","Top {0}","","","Топ {0}","",""
"community.goal.reward.table.percent","{0}%","","","{0}%","","","{0}%","",""
"community.goal.reward.table.tier","Tier","","","Nivel","","","Уровень","",""
"community.goal.reward.table.credits","{0} CR","","","{0} Cr","","","{0} Кр","",""
"community.goal.information.tierreached","Tier reached","","","Nivel alcanzado","","","Достигнут уровень","",""
"community.goal.information.maxtier","Max tier","","","Nivel máximo","","","Максимальный уровень","",""
"community.goal.information.location","Location","","","Ubicación","","","Местоположение","",""
"community.goal.information.expires","Expires","","","Caduca","","","Срок окончания","",""
"community.goal.information.expired","Expired","","","Caducado","","","Дата завершения","",""
"community.goal.information.activitytype","Activity type","","","Tipo de actividad","","","Вид деятельности","",""
"community.goal.information.contribution","My contribution","","","Mi contribución","","","Ваш вклад","",""
"community.goal.information.currentband","Current band","","","Rango actual","","","Вы находитесь в топ:","",""
"community.goal.information.currentband.top","Top {0}","","","Top {0}","","","Топ {0}","",""
"community.goal.information.currentband.percent","{0}%","","","{0}%","","","{0}%","",""
"community.goal.information.currentband.none","-","","","-","","","-","",""
"community.goal.date.format.currentyear","LLLL d, HH:mm","LLLL d, HH:mm","","LLLL d, HH:mm","","","LLLL d, HH:mm","",""
"community.goal.date.format.previousyear","LLLL d yyyy, HH:mm","LLLL d yyyy, HH:mm","","LLLL d yyyy, HH:mm","","","LLLL d yyyy, HH:mm","",""
"community.goal.band.prediction.current","Current","","","Actual","","","Текущий","",""
"community.goal.band.prediction.final","Final","","","Final","","","Финальный","",""
"community.goal.band.prediction.predicted","Predicted","","","Previsto","","","Прогнозируемый","",""
"community.goal.band.prediction.header","Band threshold","","","Umbral de predicción","","","Порог Топ %","",""
