"messageKey","","en","de","es","fr","pt","ru","zh"
"hge.most.recently.found","Most recently found in:","","","Recientemente encontrado en:","","Encontrado mais recentemente em:","Недавно найдено в:","最近发现于："
"hge.card.system","System","","","Sistema","Système","Sistema","Система","星系"
"hge.card.faction","Faction","","","Facción","Faction","Facção","Фракция","派系"
"hge.card.materials.expected","Potential materials","","","Materiales potenciales","Matériaux potentiels","Materiais potenciais","Вероятные материалы","可能的材料"
"hge.card.materials.found","Collected materials","","","Materiales recogidos","Matériaux collectés","Materiais coletados","Собранные материалы","已收集材料"
"hge.card.state","State","","","Estado","État","Estado","Состояние","状态"
"hge.card.states","States","","","Estados","États","Estados","Состояния","状态"
"hge.card.allegiance","Allegiance","","","lealtad","Allégeance","Lealdade","Принадлежность","所属"
"hge.card.population","Population","","","Población","Population","População","Население","人口"
"hge.card.economy","Economies","","","Economias","Économies","Economias","Экономика","经济"
"hge.card.fss.timer","This HGE will despawn when the timer expires.","","","Este HGE desaparecerá cuando el temporizador expire","","Este HGE desaparecerá quando o cronômetro expirar.","Этот сигнал исчезнет по истечению таймера","倒计时结束时该HGE就会消失。"
"hge.card.uss.timer","It is unknown when this HGE despawns.\nThis message is removed after a timer of 10 minutes.","","","No se conoce cuando desaparecerá este HGE.\nEste mensaje sera removido transcurridos 10 minutos.","","Não se sabe quando este HGE desaparecerá.\nEsta mensagem é removida após um cronômetro de 10 minutos.","Время исчезновения сигнала неизвестно.\nЭто сообщение будет удалено через 10 минут.","无法确认该HGE何时消失。\n十分钟后这条消息将被移除。"
"hge.explain","My scanned and visited High Grade Emissions","","","Mis Emisiones de Alto Grado visitadas y escaneadas","","Minhas Emissões de Alto Grau escaneadas e visitadas","Мои отсканированные и посещенные Высокоуровневые сигналы","我的已扫描与已到访的HGE"
"hge.tracking.disabled","Material tracking is disabled. Disable the tracking opt-out under Settings > Tracking.","","","El seguimiento de materiales esta deshabilitado. Deshabilite la exclusion de seguimiento en Ajustes > Seguimiento.","","O rastreamento de materiais está desabilitado. Desabilite a opção de desativar o rastreamento em Configurações > Rastreamento.","Отслеживание материалов отключено. включить - Настройки > Отслеживание","材料跟踪已禁用。在“设置” > “追踪” 下禁用停止跟踪。"
"hge.unknown","Unknown","","","Desconocido","Inconnu","Desconhecido","Неизвестно","未知"
"hge.fss","FSS Scanned","","","ECS Escaneado","","FSS escaneado","Сканировано через FSS","FSS已扫描"
"hge.uss","Visited","","","Visitado","","Visitado","Посещено","已到访"
"population.million","{0} Million","","","{0} Millones","{0} millions","{0} Milhões","Миллион","{0} 百万 (Million)"
"population.billion","{0} Billion","","","{0} Mil Millones","{0} milliards","{0} Bilhões","Миллиард","{0} 十亿 (Billion)"
"population.trillion","{0} Trillion","","","{0} Billones","{0} billions","{0} Trilhões","Триллион","{0} 万亿 (Trillion)"
