"messageKey","","en","de","es","fr","pt","ru","zh"
"loadout.equipment.level.current","Current grade","Current grade","Aktueller Grad","Grado actual","Niveau actuel","Grau atual","Текущий уровень","当前等级"
"loadout.equipment.level.target","Target grade","Target grade","Zielnote","Grado objetivo","Niveau cible","Grau alvo","Желаемый уровень","目标等级"
"loadout.equipment.modifications","Modifications","Modifications","Modifikationen","Modificaciones","","Modificações","Модификации","改造"
"loadout.equipment.stats.header.current","Current","Current","","Actual","Actuel","Atual","Текущий","当前"
"loadout.equipment.stats.header.modded","Modded","Modded","","Modificado","","Modificado","Отличия","改造后"
"loadout.equipment.stats.header.target","Target","Target","","Objetivo","Cible","Destino","Желаемый","目标"
"loadout.equipment.stats.toggle.all","All","All","","Todo","Tous","Todos","Все","全部"
"loadout.equipment.stats.toggle.changed","Changed","Changed","Geändert","Cambiado","Modifié","Alterado","Отличающиеся","改变过"
"loadout.equipment.stats","Stats","Stats","Statistik","Estadísticas","Statistiques","Estatísticas","Статистика","数据"
"loadout.equipment.warning","Target grade does not have enough modification slots","Target grade does not have enough modification slots","Zielklasse hat nicht genügend Modifikationsplätze","El grado objetivo no tiene suficientes espacios de modificación","Le grade cible n’a pas assez d’emplacements de modification","A nota alvo não tem slots de modificação suficientes","У желаемого уровня недостаточно слотов для модификации","目标等级没有足够的改造槽位"
"loadout.modification.clear","Clear","Clear","Löschen","Borrar","Effacer","Limpar","Убрать","清除"
"tab.loadout.add.suit","Add suit","Add suit","Anzug hinzufügen","Agregar traje","Ajouter une combinaison","Adicionar Traje","Добавить костюм","添加套装"
"tab.loadout.add.weapon","Add weapon","Add weapon","Waffe hinzufügen","Agregar arma","Ajouter une arme","Adicionar Arma","Добавить оружие","添加武器"
"tab.loadout.copy","Copy loadout to clipboard","Copy loadout to clipboard","Loadout in die Zwischenablage kopieren","Copiar equipamiento al portapapeles","Copier le chargement dans le presse-papiers","Copiar configuração para a área de transferência","Копировать снаряжение в буфер обмена","复制配装到剪贴板"
"tab.loadout.create","Create loadout","Create loadout","Loadout erstellen","Crear equipamiento","Créer un chargement","Criar configuração","Создать снаряжение","创建配装"
"tab.loadout.delete.confirm.content","Do you wish to continue?","Do you wish to continue?","Möchten Sie fortfahren?","¿Desea continuar?","Souhaitez-vous continuer?","Deseja continuar?","Продолжить?","确认继续吗？"
"tab.loadout.delete.confirm.header","You are about to delete your loadout","You are about to delete your loadout","Du bist dabei dein Loadout zu löschen","Estás a punto de eliminar tu equipamiento","Vous êtes sur le point de supprimer votre chargement","Você está prestes a apagar sua configuração","Вы собираетесь удалить свое снаряжение","即将删除你的配装"
"tab.loadout.delete.confirm.title","Confirm deletion","Confirm deletion","Löschen bestätigen","Confirmar borrado","Confirmer la suppression","Confirmar exclusão","Подтвердить удаление","确认删除"
"tab.loadout.delete","Delete loadout","Delete loadout","Loadout löschen","Eliminar equipamiento","Supprimer le chargement","Excluir configuração","Удалить снаряжение","删除配装"
"tab.loadout.rename.prompt","New name (max. 50 characters)","New name (max. 50 characters)","Neuer Name (max. 50 Zeichen)","Nuevo nombre (máx.50 caracteres)","Nouveau nom (max. 50 caractères)","Novo nome (máx. 50 caracteres)","Новое имя (макс. 50 символов)","新名称 (最多50个字符)"
"tab.loadout.rename","Rename loadout","Rename loadout","Loadout umbenennen","Cambiar nombre de equipamiento","Renommer le chargement","Renomear configuração","Переименовать снаряжение","重命名配装"
"loadout.create.new.wishlist","Create new","Create new","Erstelle neu","Crear nuevo","Créer un nouveau","Crie um novo","Создать новый","新建"
"tab.loadout.clone","Clone loadout","Clone loadout","Klonlast","Clonar equipamiento","Chargement de clone","Clonar configuração","Клонировать сборку","复制配装"
"blueprint.add.all.to.wishlist","Add all to wishlist","Add all to wishlist","Fügen Sie alle zur Wunschliste hinzu","Agregar todo a la lista de deseos","Ajouter tout à WishList","Adicione tudo à lista de desejos","Добавьте все в список желаний","全部加入愿望单"
"tab.loadout.create.prompt","Name (max. 50 characters)","","","Nombre (max. 50 carácteres)","","","Имя (50 символов макс.)","名称 (最多50个字符)"
"tab.loadout.delete.item","Delete","","","Borrar","","","Удалить","删除"
