"messageKey","","en","de","es","fr","pt","ru","zh"
"horizons.materials.nearest.trader","Closest trader","Closest trader","Nächster Händler","Comerciante más cercano","Commerçant le plus proche","Mediador mais próximo","Ближайший торговец","最近的材料商"
"total.type.name.sub_total","Total (Backpack + Ship)","Total (Backpack + Ship)","Gesamt (Rucksack + Schiff)","Total (Mochila + Nave)","Total (sac à dos + navire)","Total (Mochila + Nave)","Всего (рюкзак + корабль)","总数 (背包+飞船)"
"total.type.name.blueprint","Blueprint","Blueprint","Bauplan","Plano","Plan directeur","Projeto","Чертеж","蓝图"
"total.type.name.chemical","Chemical","Chemical","Chemie","Químico","Chimie","Químico","Химикаты","化学"
"total.type.name.circuit","Circuit","Circuit","Schaltung","Circuito","","Circuito","Схемы","电路"
"total.type.name.irrelevant","Irrelevant","Irrelevant","","Irrelevante","Non pertinent","Irrelevante","Неиспользуемые","无用"
"total.type.name.tech","Tech","Tech","","Tecnología","Technologie","Tecnologia","Техника","科技"
"total.type.name.total","Total","Total","Gesamt","Total","Total","","Всего","总数"
"storage.type.horizons.name.encoded","Encoded","Encoded","Codiert","Datos","Codé","Codificado","Зашифрованные","编码"
"storage.type.horizons.name.manufactured","Manufactured","Manufactured","Hergestellt","Materiales Procesados","Fabriqué","Fabricado","Производственные","人造"
"storage.type.horizons.name.other","Other","Other","Sonstiges","Otro","Autre","Outro","Другой","其他"
"storage.type.horizons.name.raw","Raw","Raw","Roh","Materias Primas","Brut","Bruto","Хим. элементы","元素"
"storage.type.name.asset","Assets","Assets","","Activos","Actifs","Ativos","Активы","素材"
"storage.type.name.data","Data","Data","Daten","Datos","Données","","Данные","数据"
"storage.type.name.good","Goods","Goods","Waren","Bienes","Marchandises","Bens","Товары","物品"
"storage.type.name.other","Other","Other","Andere","Otro","Autre","Outro","Прочее","其他"
"storage.type.name.trade","Trade","Trade","Handel","Comercio","Commerce","Comércio","Торговля","交易"
"total.type.name.powerplay","Powerplay","","","Powerplay","","","Powerplay","权力游戏"
"tab.trader.distance","({0}Ly)","","","({0}Al)","({0}al)","","({0}Св.л.)","({0}Ly)"
"tab.trader.distance.in.system","({0}Ls ±{1}Ls)","","","({0}sl ±{1}sl)","({0}sl ±{1}sl)","","({0}Св.с ±{1}Св.с)","({0}Ls ±{1}Ls)"
"quantity.header.collected","Available","","","","Disponible","","Доступно","可用"
"quantity.header.free","Free space","","","","","","Свободно","剩余空间"
