"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"tab.settings.commander","Commander","Commander","Kommandant","Comandante","Commandant","Comandante","Командир","指挥官",""
"tab.settings.journal.folder.select","Select Directory","Select Directory","Verzeichnis auswählen","Seleccionar directorio","Sélectionner un répertoire","Selecione o diretório","Выбрать каталог","选择目录",""
"tab.settings.journal.folder","Journal Folder","Journal Folder","Journalordner","Carpeta del diario","Dossier du journal","Caminho do Journal","Каталог с логом игры","日志文件夹",""
"tab.settings.language","Language","Language","Sprache","Idioma","Langue","Idioma","Язык","语言",""
"tab.settings.material.override.add","Add","Add","Hinzufügen","Agregar","Ajouter","Adicionar","Добавить","添加",""
"tab.settings.material.override.list","These materials are considered relevant","These materials are considered relevant","Diese Materialien gelten als relevant","Estos materiales se consideran relevantes","Ces matériaux sont considérés comme pertinents","Estes materiais são considerados relevantes","Эти материалы считаются нужными","这些材料将被认为是有用的",""
"tab.settings.material.override.remove","Remove","Remove","Entfernen","Eliminar","Supprimer","Remover","Удалить","移除",""
"tab.settings.material.override","Override materials","Override materials","Materialien überschreiben","Anular materiales","Remplacer les matériaux","Substituir materiais","Переопределить материалы","覆写材料",""
"tab.settings.notification.play","Play","Play","Spielen","Reproducir","Jouer","Jogar","Играть","播放",""
"tab.settings.notification.sound.clear","Clear","Clear","Löschen","Borrar","Effacer","Limpar","Очистить","清除",""
"tab.settings.notification.sound.custom","{0}","{0}","","{0}","{0}","","{0}","{0}",""
"tab.settings.notification.header.enabled","Enabled","Enabled","Ermöglicht","Activado","Activé","Habilitado","Включено","启用",""
"tab.settings.notification.header.notification","Notification","Notification","Benachrichtigung","Notificación","Notification","Notificação","Уведомления","通知",""
"tab.settings.notification.sound.select","Select File","Select File","Datei auswählen","Seleccionar archivo","Sélectionner un fichier","Selecionar Arquivo","Выбрать файл","选择文件",""
"tab.settings.notification.volume","Notification volume","Notification volume","Benachrichtigungsvolumen","Volumen de notificación","Volume de notification","Volume de notificação","Громкость уведомления","通知音量",""
"tab.settings.notification","Enable notification sounds","Enable notification sounds","Benachrichtigungstöne aktivieren","Activar sonidos de notificación","Activer les sons de notification","Habilitar sons de notificação","Включить звуки уведомлений","启用通知声音",""
"tab.settings.reading.direction","Reading Direction","Reading Direction","Leserichtung","Dirección de lectura","Direction de lecture","Direção de Leitura","Направление чтения","阅读方向",""
"tab.settings.solo.mode.explain","Consider unneeded engineer unlocking materials irrelevant","Consider unneeded engineer unlocking materials irrelevant","Betrachten Sie nicht benötigte Materialien zum Freischalten von Materialien als irrelevant","Considere irrelevantes los materiales de desbloqueo de ingenieros innecesarios","Considérez les matériaux de déverrouillage inutiles de l’ingénieur non pertinents","Considere materiais desnecessários de desbloqueio de engenheiros irrelevantes","Материалы, не нужные для разблокировки инженера, будут считаться «мусорными»","将不需要的工程师解锁材料视为无用的",""
"tab.settings.solo.mode","Solo Mode","Solo Mode","Solo-Modus","Modo Solo","Mode solo","Modo Solo","Соло режим","单人模式",""
"tab.settings.textsize","Text size","Text size","Textgröße","Tamaño del texto","Taille du texte","Tamanho do texto","Размер текста","字体大小",""
"tab.settings.tracking.opt.out.explain","disables tracking of material pickup locations(requires restart)","disables tracking of material pickup locations(requires restart)","deaktiviert die Verfolgung von Materialabholorten(requires restart)","Desactiva el seguimiento de las ubicaciones de recogida de material (Requiere Reinicio)","désactive le suivi des lieux de ramassage des matériaux(requires restart)","desativa o rastreamento de locais de coleta de material(requires restart)","Отключает отслеживание мест получения материалов(requires restart)","禁用材料拾取位置跟踪 (需要重启)",""
"tab.settings.tracking.opt.out","Tracking opt-out","Tracking opt-out","Tracking-Deaktivierung","Exclusión de seguimiento","Désactivation du suivi","Desativação de rastreamento","Отказ от отслеживания","停止跟踪",""
"tab.settings.url.scheme","Handle edomh:// links","Handle edomh:// links","Behandeln Sie edomh:// Links","Manejar enlaces edomh://","Gérer les liens edomh://","Manuseio de links edomh://","Регистрация edomh:// ссылок","处理 edomh:// 链接",""
"tab.settings.url.scheme.button.register","Register application","Register application","Anwendung registrieren","Registrar aplicación","Enregistrer la demande","Registrar inscrição","Зарегистрировать приложение","注册应用",""
"tab.settings.url.scheme.button.unregister","Unregister application","Unregister application","Unregisteranwendung","Retirar Registro","Application non enregistrée","Aplicativo não registrado","Разрегистрировать приложение","取消注册应用",""
