"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"tabs.shipeditor","Ship Editor","","Schiffseditor","Editor de Naves","Éditeur de vaisseau","Editor de naves","Редактор кораблей","舰船编辑器","გემის რედაქტორი"
"tabs.ships.blueprints","Blueprints","","Baupläne","Plano","Plans","Projetos","Чертежи","蓝图","Blueprints"
"tabs.ships.experimental.effects","Experimental effects","","Experimentelle Effekte","Efectos Experimentales","Effets expérimentaux","Efeitos experimentais","Экспериментальные эффекты","实验效果","ექსპერიმენტული ეფექტები"
"tab.ships.create","Create ship","","Schiff erstellen","Crear nave","Créer un vaisseau","Criar nave","Создать корабль","创建舰船","გემის შექმნა"
"tab.ships.quick.create","Quick create ship","","Schiff schnell erstellen","","","","Быстрое создание корабля","快速创建舰船","გემის სწრაფი შექმნა"
"tab.ships.clone","Clone ship","","Schiff klonen","Clonar nave","Cloner le vaisseau","Clonar nave","Клонировать корабль","复制舰船","გემის კლონირება"
"tab.ships.options","Options","Options","Optionen","Opciones","Options","Opções","Опции","选项","პარამეტრები"
"tab.ships.rename","Rename ship","","Schiff umbennen","Renombrar nave","Renommer le vaisseau","Renomear nave","Переименовать корабль","重命名舰船","გემის გადარქმევა"
"tab.ships.delete","Delete ship","","Schiffe löschen","Borrar nave","Supprimer le vaisseau","Excluir nave","Удалить корабль","删除舰船","გემის წაშლა"
"tab.ships.reset","Reset ship","","Schiff zurücksetzen","Restablecer nave","Réinitialiser le vaisseau","Redefinir nave","Сбросить корабль","重置舰船","გემის განულება"
"tab.ships.rename.prompt","New name (max. 50 characters)","New name (max. 50 characters)","Neuer Name (max. 50 Zeichen)","Nuevo nombre (máx.50 caracteres)","Nouveau nom (max. 50 caractères)","Novo nome (máx. 50 caracteres)","Новое имя (макс.50 знаков)","新名称 (最多50个字符)","ახალი სახელი (მაქს. 50 სიმბოლო)"
"tab.ships.delete.confirm.content","Do you wish to continue?","Do you wish to continue?","Möchten Sie fortfahren?","¿Desea continuar?","Souhaitez-vous continuer?","Você deseja continuar?","Вы хотите продолжить?","确认继续吗？","გსურთ გაგრძელება?"
"tab.ships.delete.confirm.header","You are about to delete your ship","","Du bist dabei dein Schiff zu löschen","Estás a punto de borrar tu nave","Vous êtes sur le point de supprimer votre vaisseau","Você está prestes a excluir sua nave","Вы собираетесь удалить свой корабль","即将删除你的舰船","გემის წაშლას ცდილობთ"
"tab.ships.delete.confirm.title","Confirm deletion","Confirm deletion","Löschen bestätigen","Confirmar borrado","Confirmer la suppression","Confirmar exclusão","Подтвердить удаление","确认删除","წაშლის დამტკიცება"
"tab.ships.reset.confirm.content","All changes will be lost. Do you wish to continue?","","Alle Änderungen gehen verloren. Möchten Sie fortfahren?","Todos los cambios se perderán ¿Quieres continuar?","Toutes les modifications seront perdues. Voulez-vous continuer ?","Todas as alterações serão perdidas. Você deseja continuar?","Хотите продолжить?","所有更改都将丢失。你确认要继续吗？","ყველა ცვლილება დაიკარგება. გსურთ გაგრძელება?"
"tab.ships.reset.confirm.header","You are about to reset your ship","","Du bist dabei dein Schiff zurückzusetzen","Estás a punto de restablecer tu nave","Vous êtes sur le point de réinitialiser votre vaisseau","Você está prestes a redefinir sua nave","Вы собираетесь сбросить свой корабль","即将重置你的舰船",""
"tab.ships.reset.confirm.title","Confirm reset","","Reset bestätigen","Confirmar reinicio","Confirmer la réinitialisation","Confirmar redefinição","Подтвердить сброс","确认重置",""
"tab.ships.copy","Copy ship to clipboard","","Schiff in Zwischenablage kopieren","Copiar nave al portapapeles","Copier le vaisseau dans le presse-papiers","Copiar nave para a área de transferência","Копировать корабль в буфер обмена","复制舰船到剪贴板","გემის კოპირება"
"ship.view.header.ship.name","Ship name","","Schiffsname","Nombre de la nave","Nom du vaisseau","Nome da nave","Имя корабля","舰船名称","გემის სახელი"
"ship.view.header.price","Price","","Preis","Precio","Prix","Preço","Цена","价格","ფასი"
"ship.view.header.size","Size","","Größe","Tamaño","Taille","Tamanho","Размер","尺寸","ზომა"
