"messageKey","","en","de","es","fr","pt","ru","zh"
"tab.wishlist.blueprint.tooltip.craftable","Engineers crafting this blueprint:\n{0} \n\nThis blueprint might be craftable after trading assets","Engineers crafting this blueprint:\n{0} \n\nThis blueprint might be craftable after trading assets","Ingenieure, die diesen Bauplan herstellen:\n{0} \n\nDieser Bauplan ist erst nach dem freischalten des Ingenieur verfügbar.","Ingenieros que elaboran este plano:\n{0} \n\nEste plano podría fabricarse después de intercambiar activos","Ingénieurs élaborant ce plan:\n{0} \n\nCe plan peut être fabriqué après avoir échangé des actifs","Engenheiros elaborando este projeto:\n{0} \n\nEste projeto pode ser criado após a negociação de ativos","Инженеры, создающие этот чертеж:\n{0} \n\nЭтот чертеж можно создать после обмена активами","能制作该蓝图的工程师：\n{0} \n\n这张蓝图可能在交易部分素材后可以制作"
"tab.wishlist.blueprint.tooltip","Engineers crafting this blueprint:\n{0}","Engineers crafting this blueprint:\n{0}","Ingenieure, die diesen Bauplan herstellen:\n{0}","Ingenieros que crean este plano:\n{0}","Ingénieurs élaborant ce plan:\n{0}","Engenheiros elaborando este projeto:\n{0}","Инженеры, создающие этот чертеж:\n{0}","能制作该蓝图的工程师：\n{0}"
"tab.wishlist.copy","Copy wishlist to clipboard","Copy wishlist to clipboard","Wunschliste in die Zwischenablage kopieren","Copiar lista de deseos al portapapeles","Copier la liste de souhaits dans le presse-papiers","Copiar lista de desejos para a área de transferência","Скопировать список желаемого в буфер обмена","复制愿望单到剪贴板"
"tab.wishlist.create","Create wishlist","Create wishlist","Wunschliste erstellen","Crear lista de deseos","Créer une liste de souhaits","Criar lista de desejos","Создать список желаемого","创建愿望单"
"tab.wishlist.delete.confirm.content","Do you wish to continue?","Do you wish to continue?","Möchten Sie fortfahren?","¿Desea continuar?","Souhaitez-vous continuer?","Você deseja continuar?","Вы хотите продолжить?","确认继续吗？"
"tab.wishlist.delete.confirm.header","You are about to delete your wishlist","You are about to delete your wishlist","Sie sind dabei, Ihre Wunschliste zu löschen","Estás a punto de eliminar tu lista de deseos","Vous êtes sur le point de supprimer votre liste de souhaits","Você está prestes a deletar sua lista de desejos","Вы собираетесь удалить свой список желаемого","即将删除你的愿望单"
"tab.wishlist.delete.confirm.title","Confirm deletion","Confirm deletion","Löschen bestätigen","Confirmar la eliminación","Confirmer la suppression","Confirme a exclusão","Подтвердить удаление","确认删除"
"tab.wishlist.delete","Delete wishlist","Delete wishlist","Wunschliste löschen","Eliminar lista de deseos","Supprimer la liste de souhaits","Excluir lista de desejos","Удалить список желаемого","删除愿望单"
"tab.wishlist.export","Export wishlist","Export wishlist","Wunschliste exportieren","Exportar lista de deseos","Exporter la liste de souhaits","Exportar lista de desejos","Экспорт списка желаний","导出愿望单"
"tab.wishlist.hide.completed","Hide completed","Hide completed","Abgeschlossene ausblenden","Ocultar completado","Masquer terminé","Ocultar concluído","Скрыть завершённые","隐藏完成的项目"
"tab.wishlist.no.blueprint","No blueprints selected","No blueprints selected","Keine Baupläne ausgewählt","No se seleccionaron planos","Aucun plan sélectionné","Nenhum projeto selecionado","Чертежи не выбраны","未选择蓝图"
"tab.wishlist.options","Options","Options","Optionen","Opciones","","Opções","Опции","选项"
"tab.wishlist.rename.prompt","New name (max. 50 characters)","New name (max. 50 characters)","Neuer Name (max. 50 Zeichen)","Nuevo nombre (máx.50 caracteres)","Nouveau nom (max. 50 caractères)","Novo nome (máx. 50 caracteres)","Новое имя (макс.50 знаков)","新名称 (最多50个字符)"
"tab.wishlist.rename","Rename wishlist","Rename wishlist","Wunschliste umbenennen","Cambiar el nombre de la lista de deseos","Renommer la liste de souhaits","Renomear lista de desejos","Переименовать список желаемого","重命名心愿单"
"tab.wishlist.required.materials","Required materials","Required materials","Erforderliche Materialien","Materiales necesarios","Matériaux requis","Materiais necessários","Необходимые материалы","所需材料"
"tab.wishlist.selected.blueprints","Selected blueprints","Selected blueprints","Ausgewählte Baupläne","Planos seleccionados","Plans sélectionnés","Projetos selecionados","Выбранные чертежи","选中的蓝图"
"tab.wishlist.travel.path.column.actions.hide","Hide blueprints","Hide blueprints","Baupläne ausblenden","Ocultar planos","Masquer les plans","Ocultar projetos","Скрыть чертежи","隐藏蓝图"
"tab.wishlist.travel.path.column.actions.remove","Remove blueprints","Remove blueprints","Baupläne entfernen","Eliminar planos","Supprimer les plans","Remover projetos","Удалить чертежи","移除蓝图"
"tab.wishlist.travel.path.column.actions","Actions","Actions","Aktionen","Acciones","","Ações","Действия","操作"
"tab.wishlist.travel.path.column.blueprints","Blueprints:","Blueprints:","Baupläne:","Planos:","Plans:","","Чертежи:","蓝图："
"tab.wishlist.travel.path.column.distance","Distance:","Distance:","Entfernung:","Distancia:","","Distância:","Расстояние:","距离："
"tab.wishlist.travel.path.column.engineer","Engineer:","Engineer:","Ingenieur:","Ingeniero:","Ingénieur:","Engenheiro:","Инженер:","工程师："
"tab.wishlist.travel.path","Shortest travel path","Shortest travel path","Kürzeste Entfernung","Ruta de viaje más corta","Chemin de déplacement le plus court","Caminho de viagem mais curto","Кратчайший путь","最短路径"
"wishlist.blueprint.horizons.title.synthesis","{0} - {1}","{0} - {1}","","{0} - {1}","","","{0} - {1}","{0} - {1}"
"wishlist.blueprint.horizons.title.techbroker","{0} - {1}","{0} - {1}","","{0} - {1}","","","{0} - {1}","{0} - {1}"
"wishlist.blueprint.horizons.title.experimental","{0} - {1}","{0} - {1}","","{0} - {1}","","","{0} - {1}","{0} - {1}"
"wishlist.blueprint.horizons.title.module","{0} - {1} ({2})","{0} - {1} ({2})","","{0} - {1} ({2})","","","{0} - {1} ({2})","{0} - {1} ({2})"
"wishlist.blueprint.horizons.title.engineer","{0}","{0}","","{0}","","","{0}","{0}"
"tab.wishlist.travel.path.column.blueprints.blueprint.odyssey","• {0}{1,choice,1#|1< ({1})}","• {0}{1,choice,1#|1< ({1})}","","• {0}{1,choice,1#|1< ({1})}","","","• {0}{1,choice,1#|1< ({1})}","• {0}{1,choice,1#|1< ({1})}"
"tab.wishlist.travel.path.column.blueprints.blueprint.horizons","• {0} - {1}{2,choice,1#|1< ({2})}","• {0} - {1}{2,choice,1#|1< ({2})}","","• {0} - {1}{2,choice,1#|1< ({2})}","","","• {0} - {1}{2,choice,1#|1< ({2})}","• {0} - {1}{2,choice,1#|1< ({2})}"
"tab.wishlist.selected.blueprints.hint.white","White","White","Weiß","Blanco","Blanc","Branco","Белый","白色"
"tab.wishlist.selected.blueprints.hint.white.horizons.explain","This blueprint can’t be crafted. Collect or trade the required materials.","This blueprint can’t be crafted. Collect or trade the required materials.","Dieser Bauplan kann nicht hergestellt werden. Sammeln oder handeln Sie die erforderlichen Materialien.","Este plano no puede ser elaborado. Recoger o intercambiar los materiales requeridos.","Ce plan ne peut pas être fabriqué. Collecter ou échanger les matériaux requis.","Este plano não pode ser criado. Coletar ou negociar os materiais necessários.","Этот чертеж не может быть изготовлен. Соберите или обменяйте необходимые материалы.","该蓝图无法被制作。收集或交易所需的材料。"
"tab.wishlist.selected.blueprints.hint.white.odyssey.explain","This blueprint can’t be crafted","This blueprint can’t be crafted","Dieser Bauplan kann nicht hergestellt werden","Este plano no se puede elaborar","Ce plan ne peut pas être fabriqué","Este plano não pode ser criado","Невозможно сделать (не хватает материалов)","该蓝图无法被制作"
"tab.wishlist.selected.blueprints.hint.yellow","Yellow","Yellow","Gelb","Amarillo","Jaune","Amarelo","Желтый","黄色"
"tab.wishlist.selected.blueprints.hint.yellow.horizons.explain","This individual blueprint can be crafted if you are able to trade for the remaining commodities","This individual blueprint can be crafted if you are able to trade for the remaining commodities","Dieser individuelle Bauplan kann hergestellt werden, wenn Sie in der Lage sind, gegen die verbleibenden Rohstoffe zu handeln","Este plano individual se puede elaborar si es capaz de comerciar por los productos básicos restantes","Ce plan individuel peut être fabriqué si vous êtes en mesure de faire du commerce contre les produits restants","Este plano individual pode ser criado se você puder negociar pelas commodities restantes","Можно сделать если обменять необходимые материалы у торговца материалами","如果你能交易到剩余的商品，则可以单独制作该蓝图"
"tab.wishlist.selected.blueprints.hint.yellow.odyssey.explain","This individual blueprint can be crafted if you are able to trade for the remaining assets","This individual blueprint can be crafted if you are able to trade for the remaining assets","Dieser individuelle Bauplan kann hergestellt werden, wenn Sie in der Lage sind, gegen die verbleibenden Materialien zu handeln","Este plano individual se puede elaborar si puede comerciar con los activos restantes","Ce plan individuel peut être fabriqué si vous pouvez échanger contre les actifs restants","Este plano individual pode ser criado se você puder negociar pelos ativos restantes","Можно сделать если обменять материалы у бармена","如果你能交易到剩余的素材，则可以单独制作该蓝图"
"tab.wishlist.selected.blueprints.hint.green","Green","Green","Grün","Verde","Vert","Verde","Зеленый","绿色"
"tab.wishlist.selected.blueprints.hint.green.horizons.explain","This individual blueprint can be crafted","This individual blueprint can be crafted","Dieser individuelle Bauplan kann gestaltet werden","Este plano individual se puede elaborar","Ce plan individuel peut être conçu","Este plano individual pode ser criado","Можно изготовить","该蓝图可被单独制作"
"tab.wishlist.selected.blueprints.hint.green.odyssey.explain","This individual blueprint can be crafted","This individual blueprint can be crafted","Dieser individuelle Bauplan kann gestaltet werden","Este plano individual se puede elaborar","Ce plan individuel peut être conçu","Este plano individual pode ser criado","Можно изготовить","该蓝图可被单独制作"
"tab.wishlist.option.all","All wishlists (read only)","All wishlists (read only)","Alle Wunschlisten (nur lesen)","Todas las listas de deseos (solo lectura)","Toutes les listes de souhaits (lecture seule)","Todas as listas de desejos (somente leitura)","Все списки желаний (только чтение)","所有愿望单 (只读)"
"horizons.wishlist.edsy","Create on EDSY","Create on EDSY","Auf EDSY erstellen","Crear en EDSY","Créer sur EDSY","Crie em EDSY","Создать на EDSY","在 EDSY 上创建"
"horizons.wishlist.edsy.tooltip","Return to the app by going to OPS > EXPORT > EDOMH","Return to the app by going to OPS > EXPORT > EDOMH","Kehren Sie zur App zurück, indem Sie zu OPS > Export > EDOMH gehen","Regrese a la aplicación yendo a OPS > Exportar > EDOMH","Retour à l’application en allant à OPS > Export > EDOMH","Retorne ao aplicativo indo para OPS > Export > EDOMH","Вернитесь в приложение, перейдя в OPS > Export > EDOMH","通过 “操作” > “导出” > “EDOMH” 返回该应用"
"tab.wishlist.material.hint.red","Red","Red","Rot","Rojo","Rouge","Vermelho","Красный","红色"
"tab.wishlist.material.hint.red.explain","You need to collect or trade this material","You need to collect or trade this material","Sie müssen dieses Material sammeln oder handeln","Necesita recolectar o cambiar este material","Vous devez collecter ou échanger ce matériel","Você precisa coletar ou negociar este material","Вам нужно собрать или обменять этот материал","你需要收集或交易这种材料"
"tab.wishlist.material.hint.yellow","Yellow","Yellow","Gelb","Amarillo","Jaune","Amarelo","Желтый","黄色"
"tab.wishlist.material.hint.yellow.explain","You own enough of this material, but you need to collect some from your fleetcarrier","You own enough of this material, but you need to collect some from your fleetcarrier","Sie besitzen genug von diesem Material, müssen aber einige von Ihrem Carrier holen","Usted posee lo suficiente de este material, pero debe recolectar algunos de su Portanaves","Vous possédez suffisamment de ce matériel, mais vous devez en collecter quelques-uns de votre fleetcarrier","Você possui o suficiente desse material, mas precisa coletar alguns do seu FleetCarrier","У вас есть достаточно этого материала, но вам нужно взять несколько из своего флотоносца","你拥有数量足够的该材料，但你需要从你的航母上取一些"
"tab.wishlist.material.hint.green","Green","Green","Grün","Verde","Vert","Verde","Зеленый","绿色"
"tab.wishlist.material.hint.green.explain","You have the required amount of this material","You have the required amount of this material","Sie haben die erforderliche Menge des Materials","Tiene la cantidad requerida de este material","Vous avez le montant requis de ce matériel","Você tem a quantidade necessária deste material","У вас есть необходимое количество этого материала","你拥有数量足够的该材料"
"tab.wishlist.travel.path.column.blueprints.blueprint.horizons.experimental","⁃ {0} - {1}{2,choice,1#|1< ({2})}","⁃ {0} - {1}{2,choice,1#|1< ({2})}","","⁃ {0} - {1}{2,choice,1#|1< ({2})}","","","⁃ {0} - {1}{2,choice,1#|1< ({2})}","⁃ {0} - {1}{2,choice,1#|1< ({2})}"
"horizons.wishlist.coriolis","Create on Coriolis","Create on Coriolis","Auf Coriolis erstellen","Crear en Coriolis","Créer sur Coriolis","Crie em Coriolis","Создать на Coriolis","在 Coriolis 上创建"
"horizons.wishlist.coriolis.tooltip","Return to the app by going to MATERIALS NEEDED FOR THIS BUILD > SEND TO EDOMH","Return to the app by going to MATERIALS NEEDED FOR THIS BUILD > SEND TO EDOMH","Kehren Sie zur App zurück, indem Sie zu MATERIALS NEEDED FOR THIS BUILD > SEND TO EDOMH gehen","Regrese a la aplicación yendo a MATERIALS NEEDED FOR THIS BUILD > SEND TO EDOMH","Retour à l’application en allant à MATERIALS NEEDED FOR THIS BUILD > SEND TO EDOMH","Retorne ao aplicativo indo para MATERIALS NEEDED FOR THIS BUILD > SEND TO EDOMH","Вернитесь в приложение, перейдя в MATERIALS NEEDED FOR THIS BUILD > SEND TO EDOMH","通过 “这个配船方案需要的材料” > “发送至EDOMH” 返回该应用"
"horizons.wishlist.shipbuilder","Create in Ship Editor","Create in Ship Editor","Im Schiff-Editor erstellen","Crear en el editor de naves","Créer dans l’éditeur de vaisseaux","Crie no editor de naves","Создать в редакторе кораблей","在舰船编辑器中创建"
"wishlist.percentage.per.grade","Percentage per grade to complete:","","","Porcentaje por grado a completar","","","Процент на уровнь улучшения для для завершения:","每级的完成百分比："
"wishlist.percentage.per.grade.explain","If a grade is less or equal to 20% and a higher grade is configured, the materials for the lower grade are excluded, assuming that the higher grade can be crafted immediately","","","Si un grado es mejor o igual al 20% y un grado mayor es configurado, los materiales para el grado menor serán excluidos, asumiedo que los de grado mayor pueden ser creados imadiatamente.","","","Если уровень меньше или равен 20% и настроен более высокий уровень, материалы для более низкого уровня исключаются, предполагая, что более высокий уровень может быть изготовлен немедленно.","如果一个等级小于等于20%而一个更高的等级又被设置，那么就会假设较高等级可以直接被制作，而较低等级的材料将会被去除"
