"messageKey","","en","de","es","fr","pt","ru","zh"
"material.tooltip.barter.sell.price","Barter sell price: ${0}","Barter sell price: ${0}","Tauschverkaufs-Preis: ${0}","Precio de venta de trueque: ${0}","Prix de vente de troc: ${0}","Preço de venda de permuta: ${0}","Цена продажи по бартеру: ${0}","酒保售卖价值：${0}"
"material.tooltip.barter.trade","Barter trade buy/sell: {0}","Barter trade buy/sell: {0}","Tauschhandel Kaufen/Verkaufen: {0}","Compra / venta de trueque: {0}","Commerce de troc acheter/vendre: {0}","Troca de compra / venda: {0}","Бартерная торговля, покупка / продажа: {0}","酒保交易买入/卖出：{0}"
"material.tooltip.data.download","Download time: {0} seconds","Download time: {0} seconds","Downloadzeit: {0} Sekunden","Tiempo de descarga: {0} segundos","Temps de téléchargement: {0} secondes","Tempo de download: {0} segundos","Время загрузки: {0} секунд","下载时间：{0} 秒"
"material.tooltip.data.upload","Upload time: {0} seconds","Upload time: {0} seconds","Upload-Zeit: {0} Sekunden","Tiempo de carga: {0} segundos","Temps de téléchargement: {0} secondes","Tempo de upload: {0} segundos","Время загрузки: {0} секунд","上传时间：{0} 秒"
"material.tooltip.illegal","This material is prohibited in some systems and can only be sold in anarchy systems","This material is prohibited in some systems and can only be sold in anarchy systems","Dieses Material ist in einigen Systemen verboten und kann nur in Anarchiesystemen verkauft werden","Este material está prohibido en algunos sistemas y solo se puede vender en sistemas de anarquía.","Ce matériel est interdit dans certains systèmes et ne peut être vendu que dans des systèmes anarchiques","Este material é proibido em alguns sistemas e só pode ser vendido em sistemas anarquistas","Этот материал запрещен в некоторых системах и может продаваться только в системах c анархией","这种材料在一些星系中是非法的，只能在无政府(Anarchy)星系中出售"
"material.tooltip.statistics.economies","Economies:","Economies:","Wirtschaft:","Economías:","Économies:","Economias:","Экономика:","经济："
"material.tooltip.unknown","Unknown material, please report to the developer.","Unknown material, please report to the developer.","Unbekanntes Material, bitte dem Entwickler melden.","Material desconocido, por favor informe al desarrollador.","Matériel inconnu, veuillez le signaler au développeur.","Material desconhecido, por favor informe ao desenvolvedor.","Неизвестный материал, сообщите разработчику.","未知材料，请向开发者报告此问题。"
"material.tooltip.used.in.recipes","Used in recipes:","Used in recipes:","In Bauplänen verwendet:","Usado en recetas:","Utilisé dans les recettes:","Usado nos Projetos:","Используется в рецептах:","用于配方："
"material.tooltip.text.no","No","No","Nein","No","Non","Não","Нет","否"
"material.tooltip.text.yes","Yes","Yes","Ja","Sí","Oui","Sim","Да","是"
"material.tooltip.is.rare","Rare:","Rare:","Selten:","Raro:","Rare :","Cru:","Редкий:","稀有："
"material.tooltip.type","Type:","Type:","Typ:","Tipo:","Taper:","Tipo:","Тип:","类型："
"material.tooltip.type.raw","Type: Raw","Type: Raw","Typ: Element","Tipo: Materia Prima","Type: brut","Tipo: cru","Тип: Элементы","类型：天然"
"material.tooltip.type.encoded","Type: Encoded","Type: Encoded","Typ: Verschlüsselt","Tipo: Datos","Type: codé","Tipo: codificado","Тип: Зашифрованные данные","类型：编码"
"material.tooltip.type.manufactured","Type: Manufactured","Type: Manufactured","Typ: Gefertigt","Tipo: Manufacturado","Type: fabriqué","Tipo: fabricado","Тип: Промышленные материалы","类型：人造"
"material.tooltip.fleetcarrier","Fleet carrier","Fleet carrier","Carrier","Portanaves","Transporteur de flotte","Porta-Frota","Флотоносец","航母"
"material.tooltip.fleetcarrier.not.linked","Frontier account link not available","Frontier account link not available","Frontier Konto Verbindung nicht verfügbar","Enlace a cuenta de Frontier no disponible","Lien de compte Frontier non disponible","Link da conta de Frontier não disponível","Аккаунт Frontier не привязан","Frontier账号链接不可用"
"material.tooltip.fleetcarrier.buy","Buy {0}({1} remaining) @ ${2}","Buy {0}({1} remaining) @ ${2}","Kaufen {0} ({1} verbleibend) @ $ {2}","Comprar {0} ({1} restante) @ $ {2}","Acheter {0} ({1} restant) @ $ {2}","Compre {0} ({1} restante) @ $ {2}","Купить {0} ({1} оставшееся) @ $ {2}","以 ${2} 价格买入 {0} 个 (剩余 {1} 个)"
"material.tooltip.fleetcarrier.sell","Sell {0} @ ${1}","Sell {0} @ ${1}","Verkaufen {0} @ $ {1}","Vender {0} @ $ {1}","Vendre {0} @ $ {1}","Vender {0} @ $ {1}","Продать {0} @ $ {1}","以 ${1} 价格卖出 {0} 个"
"material.tooltip.fleetcarrier.storage","Stored amount: {0}","Stored amount: {0}","Gelagerte Menge: {0}","Cantidad almacenada: {0}","Montant stocké: {0}","Quantidade armazenada: {0}","Хранящаяся сумма: {0}","库存数量：{0}"
"material.tooltip.statistics.avg","Best average collected per visit:","Best average collected per visit:","Höchster Durchschnitt pro Besuch:","El mejor promedio recogido por visita:","Meilleure moyenne collectée par visite:","Melhor média coletada por visita:","Лучшее среднее значение за визит:","每次最佳平均收集数量："
"material.tooltip.statistics.runs","Most collected in a single visit:","Most collected in a single visit:","Am meisten bei einem Besuch gesammelt:","Mayor recolección en una sola visita:","La plupart collectés en une seule visite:","Mais coletado em uma única visita:","Наиболее собрано за один визит:","单程最多收集数量："
"material.tooltip.statistics.settlements","Most collected in locations:","Most collected in locations:","Meist gesammelte Orte:","Mayor recolección en ubicaciones:","La plupart collectés dans les endroits:","Mais coletado em locais:","Большинство собрано в местах:","最多收集地点："
