system,body,distance,material,x,y,z
Graea Hypue HV-X d1-62,1,14.923884,polonium,-283.46875,-714.53125,13219.25
Wregoe JY-H b24-2,A 1,6.667841,polonium,1000,161.25,-541.25
Col 132 Sector IP-D c13-13,B 1,143.758477,polonium,992.65625,-145.28125,-582.15625
Clookeou QY-V b58-2,A 1,6.755051,polonium,-1249.0625,-974.78125,12999.59375
Synuefe FU-I c12-18,4,47.750726,polonium,493.59375,-99.375,-523.65625
Prai Hypoo QC-C d0,3,471.296746,polonium,-9343.90625,-413.125,7899.125
Col 173 Sector CG-O d6-29,6,1406.971377,polonium,1324.03125,-497.3125,-174.71875
Col 173 Sector QC-B c14-4,B 5,494.270628,polonium,1775.40625,-363.84375,-98.6875
Synuefe YL-F b30-1,2,12.307903,polonium,474.8125,-249.875,-419.875
Synuefe GP-X b34-2,B 3,365.568554,polonium,419.65625,-149.9375,-314.59375
Pencil Sector AF-A d118,5,125.837432,polonium,876.875,-19.9375,-107.40625
Synuefe WR-D c15-13,C 1,18296.71458,polonium,754.21875,-50.09375,-411.375
Synuefe MS-J c25-5,B 6,450.838771,polonium,441.21875,-152.8125,19.8125
Shrogaae LK-A d1381,2,1119.611661,polonium,4980.9375,182.125,20721.46875
Synuefe IS-R d5-9,5,200.098639,polonium,634.1875,-316.875,-570.21875
Praea Euq AM-Y c26,3,50.238416,polonium,928.09375,29.1875,269.40625
Col 132 Sector CJ-P b23-3,B 1,269.958846,polonium,1564.65625,118.25,-620.5625
Graea Hypue QY-R d4-34,4,77.235227,polonium,-968.71875,-953.8125,13489.71875
Synuefe JD-I d10-7,1,142.090619,polonium,529.15625,-592.03125,-132.09375
Synuefe PC-U c19-13,DE 2,249937.5293,polonium,403.03125,-218.625,-203.5625
Graea Hypue WV-F b17-16,B 1,15917.69329,polonium,-935.09375,-81.90625,13385.875
Col 173 Sector QG-I c11-0,1,243.176548,polonium,977.71875,16.1875,-222.75
Col 173 Sector HS-S d4-39,2,56.429329,polonium,1128.75,-79.90625,-309.9375
Graea Hypue JC-T d4-266,3,146.704917,polonium,-566.34375,-457.53125,13416.25
Synuefe FK-P c22-6,4,84.472123,polonium,812.03125,-91.65625,-93.53125
Col 173 Sector DQ-Z b29-1,B 1,8317.572244,polonium,1781.4375,-279.375,-60.21875
Col 173 Sector YZ-P d5-12,A 5,1142.895859,polonium,1333.8125,-450.65625,-228.28125
Graea Hypue WT-R d4-65,1,306.873891,polonium,-633.96875,-1053.78125,13436.8125
Col 173 Sector AI-P c7-20,C 3,868.442359,polonium,990.65625,22.03125,-380.5
Col 173 Sector LH-M b23-0,B 3,629.995707,polonium,1020.375,-240,-203.65625
Col 173 Sector VM-O b37-6,1,9.515849,polonium,1097.25,41,100.8125
Swoilz EA-Y d1-1,1,259.678854,polonium,920.4375,-601.8125,422.90625
Col 173 Sector YV-T b33-5,A 1,9.248967,polonium,1122.5625,-137.03125,18.40625
Swoilz AX-Y b3-1,A 5,42.336973,polonium,858.625,-677.375,295.09375
HIP 46740,A 1,334.361962,polonium,390.71875,1.1875,31.75
Synuefe PP-M d8-7,4,155.309388,polonium,377.28125,-189.6875,-319
Col 132 Sector EW-M d7-23,CD 3,68450.04739,polonium,1594.09375,-215.21875,-501.75
Tr 10 Sector CL-Y d3,AB 2,197.507071,polonium,1345.28125,7.03125,-181.46875
Synuefe HP-E b45-8,D 4,159566.3834,polonium,688.59375,-120.40625,-87.21875
Col 132 Sector HZ-U c17-5,A 3,96.135034,polonium,1266.9375,-120.75,-382.59375
Synuefe BY-F d12-52,B 2,10996.35737,polonium,374.46875,-91.25,38.46875
Graea Hypue UK-V b3-3,A 4,39.672009,polonium,-1248.90625,-1027.15625,13106.3125
Wregoe DQ-G d10-38,5,48.171566,polonium,874.625,31.78125,-178.5625
Synuefe OS-Y b47-3,A 4,38.602365,polonium,471,-176.625,-30.15625
Col 173 Sector DB-V d3-14,5,1133.145202,polonium,1595.625,157.09375,-411.3125
Col 173 Sector VP-W d2-44,6,1661.054485,polonium,1076.375,125.34375,-453.34375
Graea Hypue QA-U d4-190,AB 1,22655.24739,polonium,-1272.21875,-88.15625,13416.75
Col 132 Sector PU-H b26-0,A 1,9.22382,polonium,1618.40625,-122.65625,-561.34375
Graea Hypue ZV-U d3-301,B 9,116647.0825,polonium,-1093.59375,-432.25,13396.59375
Col 173 Sector DW-E b27-4,C 1,20157.05822,polonium,986.53125,-279.96875,-117.59375
Col 132 Sector JN-J d9-26,B 3,31754.67888,polonium,1517.59375,-147.1875,-322.8125
Col 132 Sector XP-M b37-3,B 3,678.377923,polonium,1335,-106.09375,-314.78125
Synuefe TI-R c21-21,C 5,16505.83639,polonium,546.1875,-60.65625,-133.15625
Col 173 Sector UR-H c11-9,E 2,3918.842354,polonium,922.84375,-91.15625,-194.09375
Blae Eork MV-F c27-4,C 4,20218.0923,polonium,8659.125,-242.625,2678.28125
Col 173 Sector ZL-L b24-2,B 1,358.466586,polonium,896.78125,-134.90625,-182.09375
Synuefe FH-S d5-58,A 5,247.367233,polonium,816.5,-56.46875,-579.375
Col 173 Sector HE-D b27-1,B 1,266.000071,polonium,1234.125,-451.0625,-123.90625
Graea Hypue HI-R d5-393,A 8,1722.235124,polonium,-1029.03125,-504.15625,13561.21875
Synuefe ZR-I b43-10,B 1,856.070184,polonium,811.40625,-60.4375,-144.71875
Col 173 Sector HF-C c14-26,5,108.422388,polonium,888.65625,-137.78125,-93.40625
Col 132 Sector ZV-K b38-0,D 3,4713.628709,polonium,1300.84375,-124.5625,-302.0625
Synuefe GK-U b34-0,A 5,35.450937,polonium,776.5,-505,-321.875
Puppis Dark Region B Sector MX-T b3-6,C 1,1096.568258,polonium,1356.3125,11.1875,-373.25
NGC 3199 Sector IM-V c2-5,B 1,231361.4311,polonium,14619.96875,-220.375,3560.375
Wregoe OR-N d6-99,A 1,250.719547,polonium,941.03125,-6.65625,-467.78125
Eorl Auwsy VT-Z d13-1211,1,260.479538,polonium,5023.15625,118,20622.1875
Col 173 Sector CO-F c12-24,3,46.212483,polonium,918.15625,-175.75,-158.46875
Col 173 Sector TJ-P d6-29,1,42.24219,polonium,1542.3125,-13.96875,-126.4375
Graea Hypue PO-Y d1-9,3,182.718019,polonium,-1092.75,-365.59375,13196.65625
HIP 29647,B 2,33017.26481,polonium,521.5625,-257,-127.15625
Synuefe OQ-C b46-1,A 2,32.045596,polonium,699.78125,-133.96875,-66.75
Wregoe KJ-L b49-5,B 1,1986.263205,polonium,740.3125,74.5625,-4.65625
Col 173 Sector OJ-H b26-3,A 2,24.909955,polonium,919.53125,-201.8125,-141.375
Col 132 Sector OS-R b34-3,B 1,31339.37946,polonium,1360.34375,-134.3125,-375.75
Col 173 Sector RU-O d6-49,1,220.547522,polonium,930.21875,-246.25,-174.59375
Synuefe IU-E b45-0,D 1,4209.031941,polonium,740.875,-99.875,-102.40625
Graea Hypue PU-V b3-4,C 2,3080.492601,polonium,-1269.59375,-990.0625,13103.125
Wregoe GC-D d12-111,4,70.850363,polonium,465.125,34.875,36.28125
Col 132 Sector EI-Z b30-2,C 1,1083.927905,polonium,1089.875,-76.15625,-449.0625
Col 135 Sector LC-V d2-50,5,884.905452,polonium,1051.1875,-186.3125,-335.65625
Col 140 Sector MN-T d3-26,B 1,3153.220256,polonium,1152.875,-99.0625,-414.46875
Shrogaae UU-A c56,2,15.203668,polonium,4906.0625,159.46875,20699.625
Synuefe CV-U b49-1,AB 1,151.951178,polonium,508.375,-209.90625,3.125
Vela Dark Region DL-Y d4,C 11,59963.31219,polonium,955.75,-163.0625,-104.65625
Synuefe XN-S c20-7,4,93.172859,polonium,643.375,-175.25,-157.375
IC 2391 Sector FL-Y d24,B 1,70118.02954,polonium,655.71875,-59.5625,32.21875
Swoilz YU-V d3-10,B 9,14223.69584,polonium,916.125,-49.875,564.90625
Puppis Dark Region B Sector GR-W d1-112,4,60.860947,polonium,1274.5,31.25,-333
IC 2391 Sector BL-X b1-5,B 2,257.840146,polonium,517.6875,-81.3125,-62.0625
Wregoe ZZ-G d10-74,4,230.848856,polonium,876.375,149.90625,-127.34375
Synuefe VA-C d14-74,A 1,162.068084,polonium,1034.3125,-245.96875,202
Eta Carina Sector JR-W c1-6,3,49.260555,polonium,8612.0625,-200.59375,2655.84375
