system,body,distance,x,y,z,material
Pyrivo TJ-X d2-13,B 1 d a,427355.4461,-1897,-184.15625,54244.46875,antimony
Outopps VK-W d2-0,B 2 a,141084.4864,-1201.84375,761.96875,-2065.90625,antimony
Dryaa Hypai JN-A d1-1,B 1 d a,75909.79509,7872.3125,-330.21875,-12426.1875,antimony
Oochoxt IC-U c19-3,D 2 f a,50216.41144,1395.25,-222.0625,-1476.15625,antimony
Fojau VY-S d3-0,C 8 d a,254571.9413,-34224.53125,-19,3098.5,antimony
Thuecheae OP-K c10-1,C 1 a,166958.5404,-2123.40625,-462.8125,53164.1875,antimony
Phrio Greau VY-D c1-0,B 2 a,28112.95646,-36182,-101.15625,36095.84375,antimony
Spasau UV-P c8-11,CD 1 a,95341.8342,27565,-80.75,32597.125,antimony
Smaidau AQ-V d3-5,B 3 f a,21743.85103,-9286.3125,-142.375,-9631.6875,antimony
Groeb LC-D d12-24,BC 1 d a,108483.9097,-11937.8125,-16.9375,-10245.9375,antimony
Oochost QS-S d4-1,B 1 a,82025.66275,-351.84375,-652.40625,-1871.875,antimony
Hypao Chraea CH-C d0,E 3 b a,53748.9253,-28209.4375,992.625,32219.0625,antimony
Dryu Aescs GV-Y d3,B 2 b a,498298.567,17288.5625,235.21875,-12456.75,antimony
Truechou TM-J c10-0,B 2 a,14154.89697,1213.34375,614.625,53139.625,antimony
Plua Thua JY-I d9-3,B 3 d,67284.03758,14138.75,251.375,-2803.8125,antimony
Gludgeia IV-X d1-7,B 3 a,114786.3208,2386.3125,574.1875,-4739.78125,antimony
Blo Chrea SF-V d3-7,B 4 a,27833.90248,-5109.40625,943.34375,53079.1875,antimony
Flyue Flyiae TI-K c11-47,BC 4 a,15315.73558,-21690.78125,-118.875,37827.21875,antimony
Flyooe Dryai PD-Q d6-2,B 1 e a,252264.3703,-29736.90625,-224.875,-499.5625,antimony
Plae Auscs TO-Z d13-0,B 3 a,28517.17274,27699.84375,-11.46875,41101.40625,antimony
Xothue XY-Z d8,D 1 a,394622.5129,-31168.375,744.40625,29750.96875,antimony
Joorau YD-K d8-9,BC 7 a,26895.3703,27982.75,2.0625,39345.1875,antimony
Hypao Bra UU-O d6-39,B 5 a,24664.61405,-25302.84375,482.375,35373.5,antimony
Schigneia BA-A d74,B 1 a,104091.3327,-15329.3125,38.21875,39946.59375,antimony
Preia Byoea GD-Z d1-30,B 2 a,73288.34051,5073.625,-106.65625,51589.65625,antimony
Whoifa WX-F d12-3,C 3 a,17834.52184,-32061.28125,-44.09375,6393.21875,antimony
Slyaips PE-X d2-0,BC 1 a,135832.3147,189.40625,-252.6875,-8500.84375,antimony
Hypiae Aip JB-O d6-15,B 1 a,157271.6988,4710,176.25,-5581.78125,antimony
Outopps WX-S c17-0,B 7 a,218455.1603,-224.375,56.3125,-1579.59375,antimony
Myeadou IG-X d1-18,B 3 b,409009.5958,3190.03125,325.125,-7282.1875,antimony
Oombaiwns JL-X c17-1,B 3 a,21464.35961,-32881.9375,-254.96875,47077.5625,antimony
Plaa Theia KO-Z d13-11,B 5 b,18560.51608,7831.625,2.5,-2419.4375,antimony
Col 107 Sector PJ-G d11-89,C 3 b,157560.3377,2686.15625,-62.6875,-4604.625,antimony
Bleou Theia BQ-G d10-5,B 7 a,26792.10478,28828.625,25.53125,2434.28125,antimony
Dryi Flee QI-K d8-1,B 4 b,161103.7988,-37817.59375,79.84375,18868.15625,antimony
Pleia Thaa IV-G c10-2,C 5 c,12206.97774,13468.125,24.8125,-3182.6875,antimony
Prai Greau CG-F d11-0,B 9 b,50826.85608,-9456.125,-1142.3125,52454.5625,antimony
Smoorea SO-X d2-167,BC 1 d,418240.9478,-20972.8125,-69.9375,38893.84375,antimony
Col 107 Sector DX-J d9-40,BC 5 f,62392.0839,2363.96875,-35.09375,-4749.8125,antimony
Qaugneau MS-U d2-118,B 7 a,34053.77725,-2572.96875,-14.59375,55511.03125,antimony
Scheau Phio XA-V d3-9,B 5 a,329054.0658,1533.59375,-351.75,-5836.59375,antimony
Pyrivo HM-K d9-33,C 2 d,38977.99074,-1355.28125,-371.46875,54797.78125,antimony
Tiln MU-V d3-0,B 4 b a,25625.66092,19139.09375,-93.28125,-12253.1875,antimony
Col 107 Sector XF-N d7-81,B 3 a,410481.4503,2356.9375,-117.75,-4945.3125,antimony
Col 107 Sector DX-J d9-40,BC 5 e,62392.09952,2363.96875,-35.09375,-4749.8125,antimony
Thuecheae ZX-F d12-41,BC 9 b,61813.30592,-2318.3125,-104.125,53784.625,antimony
Eullowry FR-N d6-0,B 3 f,55430.50952,-34341.71875,52.3125,4617.0625,antimony
